subject_id,dose,group_id,identity_drop,baseline_identity_BA,post_identity_BA
1,HIGH,N,0.007875,0.37,0.362125
1,HIGH,P,0.11249999999999995,0.37,0.25749999999999995
1,LOW,N,0.0,0.37,0.37
1,LOW,P,0.0,0.37,0.37
1,MEDIUM,N,0.0,0.37,0.37
1,MEDIUM,P,0.0,0.37,0.37
3,HIGH,N,-0.005125543478260876,0.78875,0.7938755434782608
3,HIGH,P,0.058124999999999954,0.78875,0.730625
3,LOW,N,-0.000275,0.78875,0.789025
3,LOW,P,0.0,0.78875,0.78875
3,MEDIUM,N,-0.0012723958333333333,0.78875,0.7900223958333333
3,MEDIUM,P,0.0,0.78875,0.78875
5,HIGH,N,0.04464285714285714,0.575,0.5303571428571427
5,HIGH,P,0.0524999999999999,0.575,0.5225
5,LOW,N,0.0,0.575,0.575
5,LOW,P,0.0,0.575,0.575
5,MEDIUM,N,0.020524999999999998,0.575,0.5544749999999999
5,MEDIUM,P,0.0,0.575,0.575
6,HIGH,N,0.008871683673469386,0.75,0.7411283163265306
6,HIGH,P,0.009375000000000038,0.75,0.740625
6,LOW,N,0.0,0.75,0.75
6,LOW,P,0.0,0.75,0.75
6,MEDIUM,N,-0.00017499999999999954,0.75,0.750175
6,MEDIUM,P,0.0,0.75,0.75
7,HIGH,N,0.002014130434782598,0.8825,0.8804858695652173
7,HIGH,P,0.007499999999999973,0.8825,0.875
7,LOW,N,0.0001,0.8825,0.8824
7,LOW,P,0.0,0.8825,0.8825
7,MEDIUM,N,0.0006479166666666662,0.8825,0.8818520833333333
7,MEDIUM,P,0.0,0.8825,0.8825
9,HIGH,N,0.002525510204081623,0.745,0.7424744897959183
9,HIGH,P,0.00124999999999995,0.745,0.74375
9,LOW,N,0.0,0.745,0.745
9,LOW,P,0.0,0.745,0.745
9,MEDIUM,N,0.0006249999999999962,0.745,0.744375
9,MEDIUM,P,0.0,0.745,0.745
10,HIGH,N,0.0011750000000000074,0.9450000000000001,0.9438249999999999
10,HIGH,P,-0.004999999999999951,0.9450000000000001,0.95
10,LOW,N,0.0,0.9450000000000001,0.9450000000000001
10,LOW,P,0.0,0.9450000000000001,0.9450000000000001
10,MEDIUM,N,0.0,0.9450000000000001,0.9450000000000001
10,MEDIUM,P,0.0,0.9450000000000001,0.9450000000000001
11,HIGH,N,0.0048054347826086835,0.7625,0.7576945652173912
11,HIGH,P,0.01124999999999995,0.7625,0.75125
11,LOW,N,0.0007249999999999985,0.7625,0.761775
11,LOW,P,0.0,0.7625,0.7625
11,MEDIUM,N,0.0009458333333333297,0.7625,0.7615541666666666
11,MEDIUM,P,0.0,0.7625,0.7625
14,HIGH,N,-0.018035714285714276,0.3975,0.4155357142857143
14,HIGH,P,0.026250000000000023,0.3975,0.37125
14,LOW,N,0.0,0.3975,0.3975
14,LOW,P,0.0,0.3975,0.3975
14,MEDIUM,N,-0.008799999999999995,0.3975,0.4063
14,MEDIUM,P,0.0,0.3975,0.3975
16,HIGH,N,0.048341836734693874,0.6475,0.5991581632653061
16,HIGH,P,0.03249999999999997,0.6475,0.615
16,LOW,N,0.0,0.6475,0.6475
16,LOW,P,0.0,0.6475,0.6475
16,MEDIUM,N,0.02015,0.6475,0.6273500000000001
16,MEDIUM,P,0.0,0.6475,0.6475
17,HIGH,N,-0.014690661047027502,0.10083333333333333,0.11552399438036083
17,HIGH,P,-0.00749999999999999,0.10083333333333333,0.10833333333333332
17,LOW,N,-1.6666666666666667e-05,0.10083333333333333,0.10085
17,LOW,P,0.0,0.10083333333333333,0.10083333333333333
17,MEDIUM,N,-0.0071763888888888875,0.10083333333333333,0.10800972222222223
17,MEDIUM,P,0.0,0.10083333333333333,0.10083333333333333
19,HIGH,N,0.01057717391304348,0.655,0.6444228260869566
19,HIGH,P,-0.015,0.655,0.67
19,LOW,N,0.0001,0.655,0.6549
19,LOW,P,0.0,0.655,0.655
19,MEDIUM,N,0.0017437499999999996,0.655,0.65325625
19,MEDIUM,P,0.0,0.655,0.655
22,HIGH,N,0.006657608695652172,0.7575000000000001,0.7508423913043478
22,HIGH,P,0.008750000000000056,0.7575000000000001,0.74875
22,LOW,N,0.000325,0.7575000000000001,0.7571749999999999
22,LOW,P,0.0,0.7575000000000001,0.7575000000000001
22,MEDIUM,N,0.0012406250000000004,0.7575000000000001,0.756259375
22,MEDIUM,P,0.0,0.7575000000000001,0.7575000000000001
25,HIGH,N,0.0593877551020408,0.395,0.33561224489795916
25,HIGH,P,0.05625,0.395,0.33874999999999994
25,LOW,N,0.0,0.395,0.395
25,LOW,P,0.0,0.395,0.395
25,MEDIUM,N,0.017724999999999994,0.395,0.377275
25,MEDIUM,P,0.0,0.395,0.395
28,HIGH,N,0.0024250000000000044,0.5725,0.5700750000000001
28,HIGH,P,0.17000000000000007,0.5725,0.40249999999999997
28,LOW,N,0.0,0.5725,0.5725
28,LOW,P,0.0,0.5725,0.5725
28,MEDIUM,N,0.0,0.5725,0.5725
28,MEDIUM,P,0.0,0.5725,0.5725
30,HIGH,N,0.012576530612244887,0.9525,0.9399234693877552
30,HIGH,P,0.0175,0.9525,0.935
30,LOW,N,0.0,0.9525,0.9525
30,LOW,P,0.0,0.9525,0.9525
30,MEDIUM,N,0.005199999999999995,0.9525,0.9473
30,MEDIUM,P,0.0,0.9525,0.9525
38,HIGH,N,0.01722717391304348,0.605,0.5877728260869566
38,HIGH,P,0.02125000000000005,0.605,0.58375
38,LOW,N,0.0010999999999999994,0.605,0.6039
38,LOW,P,0.0,0.605,0.605
38,MEDIUM,N,0.003669791666666666,0.605,0.6013302083333334
38,MEDIUM,P,0.0,0.605,0.605
40,HIGH,N,0.00518695652173914,0.56,0.554813043478261
40,HIGH,P,0.04625000000000005,0.56,0.5137499999999999
40,LOW,N,-0.00032499999999999906,0.56,0.5603250000000001
40,LOW,P,0.0,0.56,0.56
40,MEDIUM,N,0.0005541666666666693,0.56,0.5594458333333334
40,MEDIUM,P,0.0,0.56,0.56
45,HIGH,N,0.00037499999999999995,0.965,0.964625
45,HIGH,P,0.01125,0.965,0.9537500000000001
45,LOW,N,0.0,0.965,0.965
45,LOW,P,0.0,0.965,0.965
45,MEDIUM,N,0.0,0.965,0.965
45,MEDIUM,P,0.0,0.965,0.965
48,HIGH,N,0.006599999999999998,0.7975000000000001,0.7909
48,HIGH,P,-0.01124999999999995,0.7975000000000001,0.80875
48,LOW,N,0.0,0.7975000000000001,0.7975000000000001
48,LOW,P,0.0,0.7975000000000001,0.7975000000000001
48,MEDIUM,N,0.0,0.7975000000000001,0.7975000000000001
48,MEDIUM,P,0.0,0.7975000000000001,0.7975000000000001
49,HIGH,N,0.007984693877551038,0.8225,0.814515306122449
49,HIGH,P,0.026249999999999975,0.8225,0.79625
49,LOW,N,0.0,0.8225000000000001,0.8225000000000001
49,LOW,P,0.0,0.8225,0.8225
49,MEDIUM,N,0.004425000000000008,0.8225000000000001,0.8180750000000001
49,MEDIUM,P,0.0,0.8225,0.8225
