fold,seed,protected_block_id,dose,group_id,subject_id,harm,baseline_BA,post_BA,identity_drop
0,0,5,HIGH,N,1,0.0,0.72,0.72,0.0
0,0,5,HIGH,N,3,0.0,0.97,0.97,0.0
0,0,5,HIGH,N,6,0.0,0.8400000000000002,0.8400000000000002,0.0
0,0,5,HIGH,N,10,0.0,0.75,0.75,0.0
0,0,5,HIGH,N,17,0.0,0.72,0.72,0.0
0,0,5,HIGH,N,28,0.0,0.92,0.92,0.0
0,0,5,HIGH,N,45,0.0,0.86,0.86,0.0
0,0,5,HIGH,N,48,0.0,0.59,0.59,0.0
0,0,5,HIGH,N,54,0.0,0.5700000000000001,0.5700000000000001,0.0
0,0,5,HIGH,P,1,0.0799999999999999,0.72,0.64,0.0699999999999999
0,0,5,HIGH,P,3,0.2199999999999999,0.97,0.75,0.03
0,0,5,HIGH,P,6,0.25,0.8400000000000001,0.5900000000000001,0.035
0,0,5,HIGH,P,10,0.04,0.75,0.71,-0.02
0,0,5,HIGH,P,17,0.1299999999999999,0.72,0.5900000000000001,-0.03
0,0,5,HIGH,P,28,0.1799999999999999,0.92,0.74,0.2250000000000001
0,0,5,HIGH,P,45,0.15,0.86,0.71,0.02
0,0,5,HIGH,P,48,0.0299999999999999,0.59,0.56,-0.0349999999999999
0,0,5,HIGH,P,54,-0.03,0.5700000000000001,0.6000000000000001,0.1
0,0,5,LOW,N,1,0.0,0.72,0.72,0.0
0,0,5,LOW,N,3,0.0,0.97,0.97,0.0
0,0,5,LOW,N,6,0.0,0.8400000000000002,0.8400000000000002,0.0
0,0,5,LOW,N,10,0.0,0.75,0.75,0.0
0,0,5,LOW,N,17,0.0,0.72,0.72,0.0
0,0,5,LOW,N,28,0.0,0.92,0.92,0.0
0,0,5,LOW,N,45,0.0,0.86,0.86,0.0
0,0,5,LOW,N,48,0.0,0.59,0.59,0.0
0,0,5,LOW,N,54,0.0,0.5700000000000001,0.5700000000000001,0.0
0,0,5,LOW,P,1,0.0,0.72,0.72,0.0
0,0,5,LOW,P,3,0.0,0.97,0.97,0.0
0,0,5,LOW,P,6,0.0,0.8400000000000001,0.8400000000000001,0.0
0,0,5,LOW,P,10,0.0,0.75,0.75,0.0
0,0,5,LOW,P,17,0.0,0.72,0.72,0.0
0,0,5,LOW,P,28,0.0,0.92,0.92,0.0
0,0,5,LOW,P,45,0.0,0.86,0.86,0.0
0,0,5,LOW,P,48,0.0,0.59,0.59,0.0
0,0,5,LOW,P,54,0.0,0.5700000000000001,0.5700000000000001,0.0
0,0,5,MEDIUM,N,1,0.0,0.72,0.72,0.0
0,0,5,MEDIUM,N,3,0.0,0.97,0.97,0.0
0,0,5,MEDIUM,N,6,0.0,0.8400000000000002,0.8400000000000002,0.0
0,0,5,MEDIUM,N,10,0.0,0.75,0.75,0.0
0,0,5,MEDIUM,N,17,0.0,0.72,0.72,0.0
0,0,5,MEDIUM,N,28,0.0,0.92,0.92,0.0
0,0,5,MEDIUM,N,45,0.0,0.86,0.86,0.0
0,0,5,MEDIUM,N,48,0.0,0.59,0.59,0.0
0,0,5,MEDIUM,N,54,0.0,0.5700000000000001,0.5700000000000001,0.0
0,0,5,MEDIUM,P,1,0.0,0.72,0.72,0.0
0,0,5,MEDIUM,P,3,0.0,0.97,0.97,0.0
