fold,seed,protected_block_id,dose,group_id,control_id,subject_id,baseline_BA,post_BA,harm,alpha,head,outer_test_used,outer_membership_enumerated
0,0,5,LOW,P,P,1,0.72,0.72,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,3,0.97,0.97,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,6,0.8400000000000001,0.8400000000000001,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,10,0.75,0.75,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,17,0.72,0.72,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,28,0.9199999999999999,0.9199999999999999,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,45,0.86,0.86,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,48,0.59,0.59,0.0,0.0,refit,False,False
0,0,5,LOW,P,P,54,0.5700000000000001,0.5700000000000001,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,1,0.72,0.72,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,3,0.97,0.97,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,6,0.8400000000000001,0.8400000000000001,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,10,0.75,0.75,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,17,0.72,0.72,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,28,0.9199999999999999,0.9199999999999999,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,45,0.86,0.86,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,48,0.59,0.59,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_001,54,0.5700000000000001,0.5700000000000001,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_002,1,0.72,0.72,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_002,3,0.97,0.97,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_002,6,0.8400000000000001,0.8400000000000001,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_002,10,0.75,0.75,0.0,0.0,refit,False,False
0,0,5,LOW,N,N_B5_002,17,0.72,0.72,0.0,0.0,refit,False,False
