fold,seed,protected_block_id,dose,target_identity_drop_train,protected_Dmax_train,outer_test_used,outer_membership_enumerated
0,0,5,LOW,0.004044117647058809,0.016176470588235237,False,False
0,0,5,MEDIUM,0.008088235294117618,0.016176470588235237,False,False
0,0,5,HIGH,0.012132352941176427,0.016176470588235237,False,False
0,1,5,LOW,0.007095588235294117,0.02838235294117647,False,False
0,1,5,MEDIUM,0.014191176470588235,0.02838235294117647,False,False
0,1,5,HIGH,0.021286764705882352,0.02838235294117647,False,False
0,1,6,LOW,0.005147058823529407,0.02058823529411763,False,False
0,1,6,MEDIUM,0.010294117647058815,0.02058823529411763,False,False
0,1,6,HIGH,0.015441176470588222,0.02058823529411763,False,False
1,0,4,LOW,0.005808823529411769,0.023235294117647076,False,False
1,0,4,MEDIUM,0.011617647058823538,0.023235294117647076,False,False
1,0,4,HIGH,0.017426470588235307,0.023235294117647076,False,False
1,0,6,LOW,0.005772058823529394,0.023088235294117576,False,False
1,0,6,MEDIUM,0.011544117647058788,0.023088235294117576,False,False
1,0,6,HIGH,0.017316176470588182,0.023088235294117576,False,False
1,1,4,LOW,0.006911764705882367,0.02764705882352947,False,False
1,1,4,MEDIUM,0.013823529411764734,0.02764705882352947,False,False
1,1,4,HIGH,0.0207352941176471,0.02764705882352947,False,False
2,0,5,LOW,0.01275735294117647,0.05102941176470588,False,False
2,0,5,MEDIUM,0.02551470588235294,0.05102941176470588,False,False
2,0,5,HIGH,0.03827205882352941,0.05102941176470588,False,False
2,0,6,LOW,0.0034926470588235448,0.013970588235294179,False,False
2,0,6,MEDIUM,0.0069852941176470895,0.013970588235294179,False,False
2,0,6,HIGH,0.010477941176470634,0.013970588235294179,False,False
2,1,5,LOW,0.009338235294117647,0.03735294117647059,False,False
2,1,5,MEDIUM,0.018676470588235294,0.03735294117647059,False,False
2,1,5,HIGH,0.02801470588235294,0.03735294117647059,False,False
2,1,6,LOW,0.008308823529411757,0.03323529411764703,False,False
2,1,6,MEDIUM,0.016617647058823515,0.03323529411764703,False,False
2,1,6,HIGH,0.024926470588235272,0.03323529411764703,False,False
