fold,seed,protected_block_id,protected_coordinate_ids,protected_rank,pool_size,candidate_count,persistence_supported_count,accepted_count,accepted_distance_max,accepted_max_abs_z_max,protected_train_R_persist,block_eligible,matching_selection,outer_test_used,outer_membership_enumerated,protected_Dmax_train,medium_eligible_controls
0,0,5,"[12, 13, 14, 15]",4,16,1820,1820,50,1.8353799861370181,4.626345480278642,0.30249164397953615,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.016176470588235237,50
0,1,5,"[13, 14, 15, 16]",4,13,715,715,50,1.4931887865395852,2.797855828687375,0.21280496967484672,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.02838235294117647,50
0,1,6,"[17, 18, 19]",3,13,286,286,50,1.77876082990461,3.5643454287896117,0.24246136570602173,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.02058823529411763,50
1,0,4,"[9, 10, 11, 12]",4,13,715,715,50,1.1683451991872769,2.560848842360541,0.30730750444420024,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.023235294117647076,50
1,0,6,"[17, 18, 19]",3,13,286,286,50,1.1863031927213903,2.1583868607137484,0.33597996948018194,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.023088235294117576,48
1,1,4,"[9, 10, 11, 12]",4,13,715,715,50,1.3414579232025339,3.080560203931301,0.31976967545268964,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.02764705882352947,50
2,0,5,"[12, 13, 14, 15]",4,12,495,495,50,1.2029364051387417,2.018236047214133,0.5256376984311932,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.05102941176470588,50
2,0,6,"[16, 17, 18, 19]",4,12,495,495,50,2.0828278967833884,3.8213545880774102,0.20157695425076916,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.013970588235294179,50
2,1,5,"[8, 9, 10, 11]",4,8,70,70,50,3.2844641265184,5.735257246117576,0.5043706917251854,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.03735294117647059,50
2,1,6,"[12, 13, 14, 15]",4,8,70,70,50,3.439257328417818,6.57357450471474,0.3587678003776021,True,top_k_train_only_standardized_structural_distance_after_persistence_certification,False,False,0.03323529411764703,50
