fold,seed,protected_block_id,group_id,dose,target_identity_drop_train,alpha,drop_train,train_max_drop,eligible,outer_test_used,outer_membership_enumerated
0,0,5,P_B5,LOW,0.004044117647058809,0.0,0.0,0.016176470588235237,True,False,False
0,0,5,N_B5_001,LOW,0.004044117647058809,0.0,0.0,0.031470588235294084,True,False,False
0,0,5,N_B5_002,LOW,0.004044117647058809,0.0,0.0,0.036911764705882366,True,False,False
0,0,5,N_B5_003,LOW,0.004044117647058809,0.0,0.0,0.045882352941176485,True,False,False
0,0,5,N_B5_004,LOW,0.004044117647058809,0.0,0.0,0.036323529411764754,True,False,False
0,0,5,N_B5_005,LOW,0.004044117647058809,0.0,0.0,0.043970588235294095,True,False,False
0,0,5,N_B5_006,LOW,0.004044117647058809,0.0,0.0,0.03161764705882353,True,False,False
0,0,5,N_B5_007,LOW,0.004044117647058809,0.0,0.0,0.045882352941176485,True,False,False
0,0,5,N_B5_008,LOW,0.004044117647058809,0.0,0.0,0.03573529411764709,True,False,False
0,0,5,N_B5_009,LOW,0.004044117647058809,0.0,0.0,0.05132352941176466,True,False,False
0,0,5,N_B5_010,LOW,0.004044117647058809,0.0,0.0,0.0489705882352941,True,False,False
0,0,5,N_B5_011,LOW,0.004044117647058809,0.0,0.0,0.045588235294117596,True,False,False
0,0,5,N_B5_012,LOW,0.004044117647058809,0.0,0.0,0.03279411764705886,True,False,False
0,0,5,N_B5_013,LOW,0.004044117647058809,0.0,0.0,0.035882352941176476,True,False,False
0,0,5,N_B5_014,LOW,0.004044117647058809,0.0,0.0,0.056617647058823495,True,False,False
0,0,5,N_B5_015,LOW,0.004044117647058809,0.0,0.0,0.057499999999999996,True,False,False
0,0,5,N_B5_016,LOW,0.004044117647058809,0.0,0.0,0.04500000000000004,True,False,False
0,0,5,N_B5_017,LOW,0.004044117647058809,0.0,0.0,0.05220588235294121,True,False,False
0,0,5,N_B5_018,LOW,0.004044117647058809,0.0,0.0,0.04088235294117637,True,False,False
0,0,5,N_B5_019,LOW,0.004044117647058809,0.0,0.0,0.04338235294117643,True,False,False
0,0,5,N_B5_020,LOW,0.004044117647058809,0.0,0.0,0.033235294117647085,True,False,False
0,0,5,N_B5_021,LOW,0.004044117647058809,0.0,0.0,0.04941176470588232,True,False,False
0,0,5,N_B5_022,LOW,0.004044117647058809,0.0,0.0,0.03529411764705881,True,False,False
0,0,5,N_B5_023,LOW,0.004044117647058809,0.0,0.0,0.036470588235294144,True,False,False
0,0,5,N_B5_024,LOW,0.004044117647058809,0.0,0.0,0.03955882352941176,True,False,False
0,0,5,N_B5_025,LOW,0.004044117647058809,0.0,0.0,0.04823529411764704,True,False,False
0,0,5,N_B5_026,LOW,0.004044117647058809,0.0,0.0,0.037058823529411755,True,False,False
0,0,5,N_B5_027,LOW,0.004044117647058809,0.0,0.0,0.049117647058823544,True,False,False
0,0,5,N_B5_028,LOW,0.004044117647058809,0.0,0.0,0.048088235294117654,True,False,False
0,0,5,N_B5_029,LOW,0.004044117647058809,0.0,0.0,0.05088235294117649,True,False,False
0,0,5,N_B5_030,LOW,0.004044117647058809,0.0,0.0,0.05426470588235294,True,False,False
0,0,5,N_B5_031,LOW,0.004044117647058809,0.0,0.0,0.061470588235294166,True,False,False
0,0,5,N_B5_032,LOW,0.004044117647058809,0.0,0.0,0.05647058823529405,True,False,False
0,0,5,N_B5_033,LOW,0.004044117647058809,0.0,0.0,0.04102941176470587,True,False,False
0,0,5,N_B5_034,LOW,0.004044117647058809,0.0,0.0,0.03955882352941176,True,False,False
0,0,5,N_B5_035,LOW,0.004044117647058809,0.0,0.0,0.03470588235294114,True,False,False
0,0,5,N_B5_036,LOW,0.004044117647058809,0.0,0.0,0.059558823529411775,True,False,False
0,0,5,N_B5_037,LOW,0.004044117647058809,0.0,0.0,0.06264705882352939,True,False,False
0,0,5,N_B5_038,LOW,0.004044117647058809,0.0,0.0,0.04470588235294115,True,False,False
0,0,5,N_B5_039,LOW,0.004044117647058809,0.0,0.0,0.027647058823529413,True,False,False
0,0,5,N_B5_040,LOW,0.004044117647058809,0.0,0.0,0.05323529411764705,True,False,False
0,0,5,N_B5_041,LOW,0.004044117647058809,0.0,0.0,0.042941176470588205,True,False,False
0,0,5,N_B5_042,LOW,0.004044117647058809,0.0,0.0,0.03249999999999997,True,False,False
0,0,5,N_B5_043,LOW,0.004044117647058809,0.0,0.0,0.03999999999999998,True,False,False
0,0,5,N_B5_044,LOW,0.004044117647058809,0.0,0.0,0.05882352941176472,True,False,False
0,0,5,N_B5_045,LOW,0.004044117647058809,0.0,0.0,0.05897058823529411,True,False,False
0,0,5,N_B5_046,LOW,0.004044117647058809,0.0,0.0,0.04470588235294115,True,False,False
0,0,5,N_B5_047,LOW,0.004044117647058809,0.0,0.0,0.05220588235294116,True,False,False
0,0,5,N_B5_048,LOW,0.004044117647058809,0.0,0.0,0.06117647058823522,True,False,False
0,0,5,N_B5_049,LOW,0.004044117647058809,0.0,0.0,0.06308823529411761,True,False,False
0,0,5,N_B5_050,LOW,0.004044117647058809,0.0,0.0,0.04794117647058821,True,False,False
0,0,5,P_B5,MEDIUM,0.008088235294117618,0.0,0.0,0.016176470588235237,True,False,False
0,0,5,N_B5_001,MEDIUM,0.008088235294117618,0.0,0.0,0.031470588235294084,True,False,False
0,0,5,N_B5_002,MEDIUM,0.008088235294117618,0.0,0.0,0.036911764705882366,True,False,False
0,0,5,N_B5_003,MEDIUM,0.008088235294117618,0.0,0.0,0.045882352941176485,True,False,False
0,0,5,N_B5_004,MEDIUM,0.008088235294117618,0.0,0.0,0.036323529411764754,True,False,False
0,0,5,N_B5_005,MEDIUM,0.008088235294117618,0.0,0.0,0.043970588235294095,True,False,False
0,0,5,N_B5_006,MEDIUM,0.008088235294117618,0.0,0.0,0.03161764705882353,True,False,False
0,0,5,N_B5_007,MEDIUM,0.008088235294117618,0.0,0.0,0.045882352941176485,True,False,False
0,0,5,N_B5_008,MEDIUM,0.008088235294117618,0.0,0.0,0.03573529411764709,True,False,False
0,0,5,N_B5_009,MEDIUM,0.008088235294117618,0.0,0.0,0.05132352941176466,True,False,False
0,0,5,N_B5_010,MEDIUM,0.008088235294117618,0.0,0.0,0.0489705882352941,True,False,False
0,0,5,N_B5_011,MEDIUM,0.008088235294117618,0.0,0.0,0.045588235294117596,True,False,False
0,0,5,N_B5_012,MEDIUM,0.008088235294117618,0.0,0.0,0.03279411764705886,True,False,False
0,0,5,N_B5_013,MEDIUM,0.008088235294117618,0.0,0.0,0.035882352941176476,True,False,False
0,0,5,N_B5_014,MEDIUM,0.008088235294117618,0.0,0.0,0.056617647058823495,True,False,False
0,0,5,N_B5_015,MEDIUM,0.008088235294117618,0.0,0.0,0.057499999999999996,True,False,False
0,0,5,N_B5_016,MEDIUM,0.008088235294117618,0.0,0.0,0.04500000000000004,True,False,False
0,0,5,N_B5_017,MEDIUM,0.008088235294117618,0.0,0.0,0.05220588235294121,True,False,False
0,0,5,N_B5_018,MEDIUM,0.008088235294117618,0.0,0.0,0.04088235294117637,True,False,False
0,0,5,N_B5_019,MEDIUM,0.008088235294117618,0.0,0.0,0.04338235294117643,True,False,False
0,0,5,N_B5_020,MEDIUM,0.008088235294117618,0.0,0.0,0.033235294117647085,True,False,False
0,0,5,N_B5_021,MEDIUM,0.008088235294117618,0.0,0.0,0.04941176470588232,True,False,False
0,0,5,N_B5_022,MEDIUM,0.008088235294117618,0.0,0.0,0.03529411764705881,True,False,False
0,0,5,N_B5_023,MEDIUM,0.008088235294117618,0.0,0.0,0.036470588235294144,True,False,False
0,0,5,N_B5_024,MEDIUM,0.008088235294117618,0.0,0.0,0.03955882352941176,True,False,False
0,0,5,N_B5_025,MEDIUM,0.008088235294117618,0.0,0.0,0.04823529411764704,True,False,False
0,0,5,N_B5_026,MEDIUM,0.008088235294117618,0.0,0.0,0.037058823529411755,True,False,False
0,0,5,N_B5_027,MEDIUM,0.008088235294117618,0.0,0.0,0.049117647058823544,True,False,False
0,0,5,N_B5_028,MEDIUM,0.008088235294117618,0.0,0.0,0.048088235294117654,True,False,False
0,0,5,N_B5_029,MEDIUM,0.008088235294117618,0.0,0.0,0.05088235294117649,True,False,False
0,0,5,N_B5_030,MEDIUM,0.008088235294117618,0.0,0.0,0.05426470588235294,True,False,False
0,0,5,N_B5_031,MEDIUM,0.008088235294117618,0.0,0.0,0.061470588235294166,True,False,False
0,0,5,N_B5_032,MEDIUM,0.008088235294117618,0.0,0.0,0.05647058823529405,True,False,False
0,0,5,N_B5_033,MEDIUM,0.008088235294117618,0.0,0.0,0.04102941176470587,True,False,False
0,0,5,N_B5_034,MEDIUM,0.008088235294117618,0.0,0.0,0.03955882352941176,True,False,False
0,0,5,N_B5_035,MEDIUM,0.008088235294117618,0.0,0.0,0.03470588235294114,True,False,False
0,0,5,N_B5_036,MEDIUM,0.008088235294117618,0.0,0.0,0.059558823529411775,True,False,False
0,0,5,N_B5_037,MEDIUM,0.008088235294117618,0.0,0.0,0.06264705882352939,True,False,False
0,0,5,N_B5_038,MEDIUM,0.008088235294117618,0.0,0.0,0.04470588235294115,True,False,False
0,0,5,N_B5_039,MEDIUM,0.008088235294117618,0.0,0.0,0.027647058823529413,True,False,False
0,0,5,N_B5_040,MEDIUM,0.008088235294117618,0.0,0.0,0.05323529411764705,True,False,False
0,0,5,N_B5_041,MEDIUM,0.008088235294117618,0.0,0.0,0.042941176470588205,True,False,False
0,0,5,N_B5_042,MEDIUM,0.008088235294117618,0.0,0.0,0.03249999999999997,True,False,False
0,0,5,N_B5_043,MEDIUM,0.008088235294117618,0.0,0.0,0.03999999999999998,True,False,False
0,0,5,N_B5_044,MEDIUM,0.008088235294117618,0.0,0.0,0.05882352941176472,True,False,False
0,0,5,N_B5_045,MEDIUM,0.008088235294117618,0.0,0.0,0.05897058823529411,True,False,False
0,0,5,N_B5_046,MEDIUM,0.008088235294117618,0.0,0.0,0.04470588235294115,True,False,False
0,0,5,N_B5_047,MEDIUM,0.008088235294117618,0.0,0.0,0.05220588235294116,True,False,False
0,0,5,N_B5_048,MEDIUM,0.008088235294117618,0.0,0.0,0.06117647058823522,True,False,False
0,0,5,N_B5_049,MEDIUM,0.008088235294117618,0.0,0.0,0.06308823529411761,True,False,False
