subject_id,dose,group_id,harm,baseline_BA,post_BA,identity_drop
1,HIGH,N,-0.0049,0.72,0.7249,0.007875
1,HIGH,P,0.057499999999999926,0.72,0.6625000000000001,0.11249999999999995
1,LOW,N,0.0,0.72,0.72,0.0
1,LOW,P,0.0,0.72,0.72,0.0
1,MEDIUM,N,0.0,0.72,0.72,0.0
1,MEDIUM,P,0.0,0.72,0.72,0.0
3,HIGH,N,0.0025152173913043467,0.96,0.9574847826086956,-0.005125543478260876
3,HIGH,P,0.11874999999999991,0.96,0.84125,0.058124999999999954
3,LOW,N,5e-05,0.96,0.95995,-0.000275
3,LOW,P,0.0,0.96,0.96,0.0
3,MEDIUM,N,-2.7083333333333335e-05,0.96,0.9600270833333333,-0.0012723958333333333
3,MEDIUM,P,0.0,0.96,0.96,0.0
5,HIGH,N,-0.0006122448979591831,0.7250000000000001,0.7256122448979592,0.04464285714285714
5,HIGH,P,0.03999999999999995,0.725,0.685,0.0524999999999999
5,LOW,N,0.0,0.7250000000000001,0.7250000000000001,0.0
5,LOW,P,0.0,0.725,0.725,0.0
5,MEDIUM,N,0.00035000000000000005,0.7250000000000001,0.72465,0.020524999999999998
5,MEDIUM,P,0.0,0.725,0.725,0.0
6,HIGH,N,0.0020316326530612104,0.8450000000000001,0.8429683673469388,0.008871683673469386
6,HIGH,P,0.12624999999999997,0.845,0.71875,0.009375000000000038
6,LOW,N,0.0,0.8450000000000001,0.8450000000000001,0.0
6,LOW,P,0.0,0.845,0.845,0.0
6,MEDIUM,N,0.0004749999999999962,0.8450000000000001,0.8445250000000001,-0.00017499999999999954
6,MEDIUM,P,0.0,0.845,0.845,0.0
7,HIGH,N,0.008017391304347806,0.6799999999999999,0.6719826086956522,0.002014130434782598
7,HIGH,P,0.05499999999999988,0.6799999999999999,0.625,0.007499999999999973
7,LOW,N,0.0001999999999999995,0.6799999999999999,0.6798,0.0001
7,LOW,P,0.0,0.6799999999999999,0.6799999999999999,0.0
7,MEDIUM,N,0.0012479166666666615,0.6799999999999999,0.6787520833333333,0.0006479166666666662
7,MEDIUM,P,0.0,0.6799999999999999,0.6799999999999999,0.0
9,HIGH,N,0.007857142857142854,0.77,0.7621428571428572,0.002525510204081623
9,HIGH,P,-0.005000000000000003,0.77,0.775,0.00124999999999995
9,LOW,N,0.0,0.77,0.77,0.0
9,LOW,P,0.0,0.77,0.77,0.0
9,MEDIUM,N,0.0033499999999999997,0.77,0.76665,0.0006249999999999962
9,MEDIUM,P,0.0,0.77,0.77,0.0
10,HIGH,N,0.0018999999999999991,0.755,0.7531,0.0011750000000000074
10,HIGH,P,0.0675,0.755,0.6875,-0.004999999999999951
10,LOW,N,0.0,0.755,0.755,0.0
10,LOW,P,0.0,0.755,0.755,0.0
10,MEDIUM,N,0.0,0.755,0.755,0.0
10,MEDIUM,P,0.0,0.755,0.755,0.0
11,HIGH,N,-0.0012260869565217242,0.665,0.6662260869565217,0.0048054347826086835
