fold,seed,protected_block_id,dose,group_id,control_id,subject_id,baseline_identity_BA,post_identity_BA,identity_drop,alpha,outer_test_used,outer_membership_enumerated
0,0,5,LOW,P,P,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,P,P,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,P,P,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,P,P,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,P,P,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,P,P,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,P,P,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,P,P,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,P,P,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_001,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_002,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_003,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_004,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,10,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,17,0.005,0.005,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,28,0.6100000000000001,0.6100000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,45,0.94,0.94,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,48,0.8500000000000001,0.8500000000000001,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_005,54,0.675,0.675,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_006,1,0.345,0.345,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_006,3,0.925,0.925,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_006,6,0.76,0.76,0.0,0.0,False,False
0,0,5,LOW,N,N_B5_006,10,0.925,0.925,0.0,0.0,False,False
