fold,seed,subject_id,same_similarity,mismatched_similarity,R_persist,mismatch_subject,outer_test_used,outer_membership_enumerated
0,0,1,0.7944362461566925,0.3799476623535156,0.4144885838031769,3,False,False
0,0,3,0.8499681353569031,-0.03374866407830268,0.8837167994352058,6,False,False
0,0,6,0.8869781196117401,0.5687587857246399,0.3182193338871002,10,False,False
0,0,10,0.9348779916763306,0.583716481924057,0.35116150975227356,17,False,False
0,0,17,0.3140976130962372,0.28726768493652344,0.026829928159713745,28,False,False
0,0,28,0.8949979245662689,-0.015332413837313652,0.9103303384035826,45,False,False
0,0,45,0.821210116147995,-0.0783279612660408,0.8995380774140358,48,False,False
0,0,48,0.9215979278087616,0.4133348912000656,0.508263036608696,54,False,False
0,0,54,0.7638793885707855,0.4350573718547821,0.3288220167160034,1,False,False
0,1,1,0.8455173671245575,0.41388238966464996,0.43163497745990753,3,False,False
0,1,3,0.8773083686828613,0.18771374970674515,0.6895946189761162,6,False,False
0,1,6,0.9173738360404968,0.5330003798007965,0.3843734562397003,10,False,False
0,1,10,0.9692788422107697,0.44858893752098083,0.5206899046897888,17,False,False
0,1,17,0.45598675310611725,0.2958029508590698,0.16018380224704742,28,False,False
0,1,28,0.8414889574050903,-0.1519845724105835,0.9934735298156738,45,False,False
0,1,45,0.8833507895469666,-0.27064336836338043,1.153994157910347,48,False,False
0,1,48,0.9137919843196869,0.4635659009218216,0.4502260833978653,54,False,False
0,1,54,0.8485555648803711,0.5293292254209518,0.31922633945941925,1,False,False
1,0,3,0.8158065974712372,0.5380358994007111,0.2777706980705261,7,False,False
1,0,7,0.8960400819778442,-0.4806118905544281,1.3766519725322723,11,False,False
1,0,11,0.8052673935890198,-0.3362395763397217,1.1415069699287415,17,False,False
1,0,17,0.16021350771188736,-0.018643543822690845,0.1788570515345782,19,False,False
1,0,19,0.8502905964851379,0.08690503425896168,0.7633855622261763,22,False,False
1,0,22,0.8379268050193787,-0.23212911933660507,1.0700559243559837,38,False,False
1,0,38,0.6274111866950989,0.5828364491462708,0.044574737548828125,40,False,False
1,0,40,0.684847891330719,0.30425502359867096,0.38059286773204803,50,False,False
1,0,50,0.17104148119688034,-0.1837717369198799,0.35481321811676025,3,False,False
1,1,3,0.8599169552326202,0.48168663680553436,0.3782303184270859,7,False,False
1,1,7,0.9356773495674133,-0.3751913160085678,1.3108686655759811,11,False,False
1,1,11,0.7477317452430725,-0.28149597346782684,1.0292277187108994,17,False,False
1,1,17,0.12227947637438774,0.05751933157444,0.06476014479994774,19,False,False
1,1,19,0.8330781161785126,0.0038974573835730553,0.8291806587949395,22,False,False
1,1,22,0.8374971449375153,-0.058615995571017265,0.8961131405085325,38,False,False
1,1,38,0.7771540582180023,0.7826075255870819,-0.00545346736907959,40,False,False
1,1,40,0.7273412644863129,0.1433098167181015,0.5840314477682114,50,False,False
1,1,50,0.31707341223955154,-0.2731260657310486,0.5901994779706001,3,False,False
2,0,5,0.8778383433818817,0.169338196516037,0.7085001468658447,6,False,False
2,0,6,0.9416585862636566,-0.13837642222642899,1.0800350084900856,9,False,False
2,0,9,0.3660811185836792,0.12648704461753368,0.23959407396614552,14,False,False
2,0,14,0.45562484860420227,0.027078780345618725,0.42854606825858355,16,False,False
2,0,16,0.7257729470729828,0.503941535949707,0.22183141112327576,17,False,False
2,0,17,0.24686168879270554,0.20979928970336914,0.037062399089336395,25,False,False
2,0,25,0.4172222167253494,0.35127654671669006,0.06594567000865936,30,False,False
2,0,30,0.9563564658164978,0.4015673100948334,0.5547891557216644,49,False,False
2,0,49,0.8904207944869995,0.5419008284807205,0.348519966006279,5,False,False
2,1,5,0.8469832539558411,0.39921730756759644,0.44776594638824463,6,False,False
2,1,6,0.8840014040470123,-0.2044534981250763,1.0884549021720886,9,False,False
2,1,9,0.5681598782539368,0.027213075198233128,0.5409468030557036,14,False,False
2,1,14,0.4469364285469055,-0.11334941908717155,0.5602858476340771,16,False,False
2,1,16,0.7600466012954712,0.4965490698814392,0.263497531414032,17,False,False
2,1,17,0.10218588821589947,0.07333735935389996,0.02884852886199951,25,False,False
2,1,25,0.3859289735555649,0.19355588406324387,0.19237308949232101,30,False,False
2,1,30,0.9354739189147949,0.17384013533592224,0.7616337835788727,49,False,False
2,1,49,0.879181981086731,0.5281057059764862,0.35107627511024475,5,False,False
