task,folds,median_robust_gain_BA_pp,mean_robust_gain_BA_pp,positive_folds,nonnegative_folds,eligible_folds
OpenBMI_ERP,5,0.006192,0.051379,3,5,3
OpenBMI_MI,5,0.000000,0.000000,0,5,0
OpenBMI_SSVEP,5,0.000000,0.000000,0,5,0
WBCIC_MI,5,0.083333,0.103908,3,5,3
