task,fold,session,variant,mean_relative_P_movement,median_relative_P_movement,max_C_preservation_abs_error,label
OpenBMI_ERP,3,S1,PCA_POSITIVE_ONLY_ROUTING,0.16203820705413818,0.1322648823261261,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,SHUFFLED_UTILITY_ROUTING,0.13009990751743317,0.09995344281196594,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,PCA_SIGNED_UTILITY_ROUTING,0.16218937933444977,0.13236717879772186,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,RANDOM_BASIS_0,0.01049170270562172,0.008523298427462578,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,RANDOM_BASIS_1,0.011743400245904922,0.009092438966035843,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,RANDOM_BASIS_2,0.008587568067014217,0.00698108458891511,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,RANDOM_BASIS_3,0.008836101740598679,0.007222880609333515,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S1,RANDOM_BASIS_4,0.012067499570548534,0.009647026658058167,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,PCA_POSITIVE_ONLY_ROUTING,0.16450829803943634,0.13346481323242188,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,SHUFFLED_UTILITY_ROUTING,0.13162001967430115,0.1017690896987915,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,PCA_SIGNED_UTILITY_ROUTING,0.1646178513765335,0.13352972269058228,3.814697265625e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,RANDOM_BASIS_0,0.01055883802473545,0.008637071587145329,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,RANDOM_BASIS_1,0.011600518599152565,0.009110172279179096,1.9073486328125e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,RANDOM_BASIS_2,0.008640036918222904,0.007032410241663456,3.814697265625e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,RANDOM_BASIS_3,0.009151089936494827,0.007365005556493998,3.814697265625e-06,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_ERP,3,S2,RANDOM_BASIS_4,0.012001766823232174,0.009591681882739067,3.814697265625e-06,POST_HOC_HELDOUT_DIAGNOSTIC
