task,dataset,fold,seed,subjects,subject_equal_BA,subject_equal_macro_F1,subject_equal_accuracy
OpenBMI_MI,OpenBMI,0,0,14,0.7285714285714285,0.720771529123329,0.7285714285714285
OpenBMI_MI,OpenBMI,1,0,14,0.7349999999999998,0.7269902361300734,0.7349999999999998
OpenBMI_MI,OpenBMI,2,0,14,0.7314285714285714,0.7221297362658587,0.7314285714285714
OpenBMI_MI,OpenBMI,3,0,14,0.737142857142857,0.7305024533014957,0.737142857142857
OpenBMI_MI,OpenBMI,4,0,14,0.7378571428571428,0.7312209289271177,0.7378571428571428
OpenBMI_ERP,OpenBMI,0,0,14,0.8527056277056275,0.8222196743112474,0.8904401154401155
OpenBMI_ERP,OpenBMI,1,0,14,0.848961038961039,0.8103978606009614,0.8804473304473303
OpenBMI_ERP,OpenBMI,2,0,14,0.8452164502164502,0.809163953136028,0.8805555555555556
OpenBMI_ERP,OpenBMI,3,0,14,0.8512554112554113,0.8122767355675649,0.8823953823953822
OpenBMI_ERP,OpenBMI,4,0,14,0.8515584415584415,0.8014618862313257,0.8707792207792208
OpenBMI_SSVEP,OpenBMI,0,0,14,0.8664285714285717,0.8623764113183245,0.8664285714285717
OpenBMI_SSVEP,OpenBMI,1,0,14,0.8592857142857142,0.8523009870288762,0.8592857142857142
OpenBMI_SSVEP,OpenBMI,2,0,14,0.8864285714285716,0.879762510840646,0.8864285714285716
OpenBMI_SSVEP,OpenBMI,3,0,14,0.8885714285714287,0.8873898401999111,0.8885714285714287
OpenBMI_SSVEP,OpenBMI,4,0,14,0.8842857142857142,0.8785940774822191,0.8842857142857142
WBCIC_MI,WBCIC,0,0,10,0.6295,0.5796963200410348,0.6295
WBCIC_MI,WBCIC,1,0,10,0.746,0.7377907622410979,0.746
WBCIC_MI,WBCIC,2,0,10,0.745,0.734314486984653,0.745
WBCIC_MI,WBCIC,3,0,10,0.687,0.680720655438852,0.687
WBCIC_MI,WBCIC,4,0,10,0.758,0.7483127141014478,0.758
