task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials,checkpoint_sha256
OpenBMI_MI,OpenBMI,0,0,4,0.81,0.8076728413807066,0.81,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,12,0.71,0.7013695808876532,0.71,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,13,0.62,0.6193910256410255,0.62,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,17,0.59,0.5829518868884143,0.59,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,18,0.72,0.7181964573268921,0.72,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,24,0.6000000000000001,0.554367201426025,0.6,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,25,0.99,0.9899989998999901,0.99,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,29,0.74,0.7291666666666667,0.74,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,36,0.9299999999999999,0.9298245614035088,0.93,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,37,0.79,0.7837503861600247,0.79,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,39,0.73,0.7293233082706767,0.73,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,42,0.64,0.6216897856242118,0.64,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,51,0.6599999999999999,0.6587715776796468,0.66,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,0,0,54,0.67,0.6643271284711627,0.67,100,4177cf40eefd18ebd88c307156dc1e6daecfe4129cb90a4e23ba9a7552562294
OpenBMI_MI,OpenBMI,1,0,4,0.8500000000000001,0.8492613807657522,0.85,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,12,0.74,0.7395833333333333,0.74,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,13,0.69,0.6897207486738064,0.69,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,17,0.59,0.5829518868884143,0.59,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,18,0.75,0.74997499749975,0.75,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,24,0.56,0.5024875621890548,0.56,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,25,0.97,0.96999699969997,0.97,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,29,0.71,0.6938021328265231,0.71,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,36,0.9299999999999999,0.9298245614035088,0.93,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
OpenBMI_MI,OpenBMI,1,0,37,0.75,0.7384663667747673,0.75,100,1b30499ccad2e1950d8b373d26c2efe002089e1660b92d66320801069677d800
