task,dataset,seed,fold_replicates,heldout_subject_equal_BA_mean,heldout_subject_equal_BA_std,heldout_subject_equal_macro_F1_mean,heldout_subject_equal_accuracy_mean
OpenBMI_MI,OpenBMI,0,5,0.734,0.003931816841292197,0.7263229767495749,0.734
OpenBMI_ERP,OpenBMI,0,5,0.8499393939393938,0.002969370383263825,0.8111040219694254,0.8809235209235208
OpenBMI_SSVEP,OpenBMI,0,5,0.8770000000000001,0.01324224840641284,0.8720847653739954,0.8770000000000001
WBCIC_MI,WBCIC,0,5,0.7131000000000001,0.0542821333405385,0.696166987761417,0.7131000000000001
