dataset,source_seed,n_samples,accuracy,macro_f1,balanced_accuracy,cohen_kappa,nll,brier,top_label_ece,constant_prediction,recall_0,recall_1,recall_2,recall_3,recall_4,support_0,support_1,support_2,support_3,support_4,predicted_frequency_0,predicted_frequency_1,predicted_frequency_2,predicted_frequency_3,predicted_frequency_4
hmc,0,83621,0.6119635019911266,0.5826498639688514,0.5993372310550407,0.5030463379093755,0.9769403746172525,0.5110594767424003,0.028478899550079238,False,0.712524983344437,0.2789776104616604,0.5621211619356762,0.8060025542784164,0.6370598452550135,15010,10094,30191,15660,12666.0,0.19623061192762584,0.12396407600961482,0.27872185216632184,0.2122433360041138,0.18884012389232369
hmc,1,83621,0.6034847705719855,0.5784326472345391,0.5932288998244848,0.4924938825577818,0.9968051592559588,0.5200224959777906,0.021183994323002033,False,0.7240506329113924,0.3027541113532792,0.5515882216554603,0.771455938697318,0.616295594504974,15010,10094,30191,15660,12666.0,0.20036832852991474,0.13400939955274394,0.2794872101505603,0.19999760825629925,0.1861374535104818
hmc,2,83621,0.604250128556224,0.5812426145880145,0.596098359820947,0.4949431753777048,0.9973487755221665,0.5216800956097764,0.018779814843311985,False,0.7171885409726849,0.32890826233405984,0.5472160577655593,0.7855683269476373,0.601610611084794,15010,10094,30191,15660,12666.0,0.20061946161849295,0.14886212793437056,0.2703029143396994,0.20281986582317837,0.17739563028425873
hmc,3,83621,0.6030542567058514,0.5750835988068672,0.5957102142754331,0.49378087819591054,0.9951674823280636,0.5210467305466553,0.024124985877812734,False,0.7315789473684211,0.26857539132157715,0.5292968103077076,0.8021711366538953,0.6469287857255644,15010,10094,30191,15660,12666.0,0.2054388251754942,0.12289975006278327,0.26157304983198,0.21211179010057282,0.19797658482916972
hmc,4,83621,0.6063668217313832,0.5815966955084966,0.5984478065539538,0.4972684798686441,0.9886175366830618,0.5180465300050737,0.028246541970045957,False,0.661292471685543,0.32197344957400437,0.5486403232751482,0.8244572158365262,0.6358755723985473,15010,10094,30191,15660,12666.0,0.17663027230002032,0.13763289125937264,0.2709845612944117,0.22433360041137992,0.1904186747348154
eegmmidb,0,5853,0.41260891850333165,0.4102849000259293,0.412513884693168,0.21674111265532492,1.300807481969287,0.6960240111599544,0.050802510670264825,False,0.519674355495251,0.4534803583735355,0.3405994550408719,0.3363013698630137,,1474,1451,1468,1460,,0.2841277977105758,0.24910302409021015,0.238851870835469,0.22791730736374508,
eegmmidb,1,5853,0.40423714334529304,0.4039132292334945,0.4042000463686231,0.20563620684662487,1.463451206532264,0.749838784298629,0.15499965713387898,False,0.46132971506105835,0.44934527911784977,0.3821525885558583,0.323972602739726,,1474,1451,1468,1460,,0.24517341534255938,0.2564496839227746,0.2749017597813087,0.22347514095335724,
eegmmidb,2,5853,0.41226721339484024,0.41262589867644023,0.4123461883351999,0.21643976185502267,1.366333788001506,0.7202124208310895,0.09801318492519535,False,0.44572591587516963,0.47002067539627845,0.36103542234332425,0.3726027397260274,,1474,1451,1468,1460,,0.22825901247223646,0.26704254228600716,0.24876131898171877,0.25593712626003756,
eegmmidb,3,5853,0.4079958995386981,0.40565123180826795,0.40800139127530805,0.21066046974405628,1.3102858575334784,0.7004746924614813,0.06051269173622129,False,0.49592944369063774,0.4720882150241213,0.32220708446866486,0.34178082191780823,,1474,1451,1468,1460,,0.27353493934734324,0.26379634375533917,0.22484196138732274,0.23782675550999488,
eegmmidb,4,5853,0.4155134119255083,0.41244042911489354,0.41556635552122434,0.2207643813459449,1.3516282772385277,0.7138892030235293,0.077530292268698,False,0.4993215739484396,0.5051688490696071,0.3310626702997275,0.3267123287671233,,1474,1451,1468,1460,,0.2574747992482488,0.29318298308559715,0.22928412779771057,0.22005808986844352,
