dataset,probability_tps_sanity,all_true_classes,predicted_frequency,dataset_balanced_accuracy,dataset_balanced_accuracy_pass,median_subject_balanced_accuracy,median_subject_balanced_accuracy_pass,seed_balanced_accuracy_std,seed_stability_pass,nonconstant_subject_rate,nonconstant_subject_pass,v5_overlap_max_abs_diff,v5_overlap_pass,pass
hmc,True,True,True,0.5965645023059718,True,0.6257827497167221,True,0.002159083156172962,True,1.0,True,4.172325134277344e-07,True,True
eegmmidb,True,True,True,0.41052557323870464,True,0.4016798418972332,True,0.003976463065533526,True,1.0,True,3.5762786865234375e-07,True,True
