dataset,n_subjects,static_global_size,subject_oracle_size,block_oracle_size,subject_oracle_gain,block_oracle_gain,block_oracle_gain_ci_low,block_oracle_gain_ci_high,block_vs_subject_gain,permuted_oracle_gain,contiguous_minus_permuted,contiguous_minus_permuted_ci_low,contiguous_minus_permuted_ci_high,positive_gain_subject_rate,dynamic_subject_rate,positive_seed_count,loo_positive,global_full_set_rate
hmc,90,3.0024143612004695,2.2764355576987376,2.1781174214957812,0.2400081196535311,0.2719634775396337,0.23259754278821362,0.3085256928344818,0.031955357886102584,0.2532467043476626,0.01871677319197112,0.0105659643306756,0.027653446039697802,0.8888888888888888,1.0,5,True,0.0
eegmmidb,65,3.6149425132238204,3.2246946499759566,3.1597041121814264,0.10369084457465752,0.12202823735357063,0.09647316159007274,0.1471771526423336,0.018337392778913098,0.11026056930848413,0.01176766804508649,0.0064114749989717095,0.017085696854901883,0.9230769230769231,1.0,5,True,0.0
