gate,dataset,pass,details_json
BACKBONE,hmc,True,"{""all_true_classes"": true, ""dataset"": ""hmc"", ""dataset_balanced_accuracy"": 0.5965645023059718, ""dataset_balanced_accuracy_pass"": true, ""median_subject_balanced_accuracy"": 0.6257827497167221, ""median_subject_balanced_accuracy_pass"": true, ""nonconstant_subject_pass"": true, ""nonconstant_subject_rate"": 1.0, ""pass"": true, ""predicted_frequency"": true, ""probability_tps_sanity"": true, ""seed_balanced_accuracy_std"": 0.0021590831561729, ""seed_stability_pass"": true, ""v5_overlap_max_abs_diff"": 4.172325134277344e-07, ""v5_overlap_pass"": true}"
BACKBONE,eegmmidb,True,"{""all_true_classes"": true, ""dataset"": ""eegmmidb"", ""dataset_balanced_accuracy"": 0.4105255732387046, ""dataset_balanced_accuracy_pass"": true, ""median_subject_balanced_accuracy"": 0.4016798418972332, ""median_subject_balanced_accuracy_pass"": true, ""nonconstant_subject_pass"": true, ""nonconstant_subject_rate"": 1.0, ""pass"": true, ""predicted_frequency"": true, ""probability_tps_sanity"": true, ""seed_balanced_accuracy_std"": 0.0039764630655335, ""seed_stability_pass"": true, ""v5_overlap_max_abs_diff"": 3.5762786865234375e-07, ""v5_overlap_pass"": true}"
BLOCK_PROTOCOL,hmc,True,"{""blocks_pass"": true, ""canonical_blocks"": 1392, ""dataset"": ""hmc"", ""max_based_rate"": 0.0, ""method_development_subjects"": 90, ""pass"": true, ""quantile_pass"": true, ""retained_subjects"": 90, ""retention_rate"": 1.0, ""subjects_pass"": true}"
BLOCK_PROTOCOL,eegmmidb,True,"{""blocks_pass"": true, ""canonical_blocks"": 390, ""dataset"": ""eegmmidb"", ""max_based_rate"": 0.0, ""method_development_subjects"": 65, ""pass"": true, ""quantile_pass"": true, ""retained_subjects"": 65, ""retention_rate"": 1.0, ""subjects_pass"": true}"
A,hmc,False,"{""A1"": true, ""A2"": true, ""A3"": true, ""A4"": true, ""A5"": false, ""A6"": true, ""A7"": true, ""A8"": true, ""A9"": true, ""dataset"": ""hmc"", ""pass"": false}"
A,eegmmidb,False,"{""A1"": true, ""A2"": true, ""A3"": true, ""A4"": false, ""A5"": false, ""A6"": true, ""A7"": true, ""A8"": true, ""A9"": true, ""dataset"": ""eegmmidb"", ""pass"": false}"
