fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,u_abs_mean,u_abs_CI95,u_abs_sign_probability,u_spec_mean,u_spec_CI95,u_spec_sign_probability,raw_BA_change,same_rank_random_BA_change,u_abs_bootstrap,u_spec_bootstrap,random_interventions
2,0,mi,0,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-4.13460003306721e-06,"[-0.0004375032159860483, 0.00043967930989554776]",0.4864,-0.005041136925463187,"[-0.005938236444683051, -0.004199422313351086]",0.0,0.0021063112745098042,-0.008574410232843138,"{'mean': -4.13460003306721e-06, 'ci95': [-0.0004375032159860483, 0.00043967930989554776], 'sign_probability': 0.4864, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.005041136925463187, 'ci95': [-0.005938236444683051, -0.004199422313351086], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,1,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.0005455373239624845,"[-0.0024394240958342758, 0.0012148406113213208]",0.2816,-0.005430384637847477,"[-0.007555272054757635, -0.0035695054457434397]",0.0,-0.0009191176470588237,-0.00747280943627451,"{'mean': -0.0005455373239624845, 'ci95': [-0.0024394240958342758, 0.0012148406113213208], 'sign_probability': 0.2816, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.005430384637847477, 'ci95': [-0.007555272054757635, -0.0035695054457434397], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,2,2,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.00122754516449656,"[-0.0003360439209410197, 0.0026848285205708132]",0.9403,-0.01064826123080914,"[-0.014160062946862043, -0.007767463926587298]",0.0,-0.0035424325980392152,-0.018254633884803924,"{'mean': 0.00122754516449656, 'ci95': [-0.0003360439209410197, 0.0026848285205708132], 'sign_probability': 0.9403, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.01064826123080914, 'ci95': [-0.014160062946862043, -0.007767463926587298], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,3,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.014486406887066653,"[0.005658366034569289, 0.024642357838228168]",0.9997,-0.00686947862555615,"[-0.015582292080244482, 0.002302403060813279]",0.0652,-0.025716145833333332,-0.032843520220588236,"{'mean': 0.014486406887066653, 'ci95': [0.005658366034569289, 0.024642357838228168], 'sign_probability': 0.9997, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.00686947862555615, 'ci95': [-0.015582292080244482, 0.002302403060813279], 'sign_probability': 0.0652, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,4,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.014168370980514903,"[0.00764329460173709, 0.02157128719808764]",1.0,-0.007811824154758495,"[-0.014450418054893329, -0.0012916061443227949]",0.0107,-0.024662990196078434,-0.03328814338235293,"{'mean': 0.014168370980514903, 'ci95': [0.00764329460173709, 0.02157128719808764], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.007811824154758495, 'ci95': [-0.014450418054893329, -0.0012916061443227949], 'sign_probability': 0.0107, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,5,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.03240632694442764,"[0.02517450985869226, 0.039790187194120114]",1.0,0.013708690129553032,"[0.007050225719136704, 0.020652077172368246]",1.0,-0.051068474264705885,-0.02759286917892157,"{'mean': 0.03240632694442764, 'ci95': [0.02517450985869226, 0.039790187194120114], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': 0.013708690129553032, 'ci95': [0.007050225719136704, 0.020652077172368246], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,mi,6,4,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.036498257094957035,"[0.025928202941684537, 0.05036929675772923]",1.0,0.020841684642647056,"[0.007989556340473205, 0.03728537325751434]",0.9998,-0.053021599264705885,-0.025389093137254907,"{'mean': 0.036498257094957035, 'ci95': [0.025928202941684537, 0.05036929675772923], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': 0.020841684642647056, 'ci95': [0.007989556340473205, 0.03728537325751434], 'sign_probability': 0.9998, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,erp,0,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.0015821487948114467,"[0.0006874573730658553, 0.002480570931933432]",0.9998,-0.0006644695193992373,"[-0.0017140766363248482, 0.0003975199680579502]",0.1102,-0.0022786458333333335,-0.0032776118259803914,"{'mean': 0.0015821487948114467, 'ci95': [0.0006874573730658553, 0.002480570931933432], 'sign_probability': 0.9998, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.0006644695193992373, 'ci95': [-0.0017140766363248482, 0.0003975199680579502], 'sign_probability': 0.1102, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,erp,1,1,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.0005935027501087128,"[-0.0009373659419879636, -0.00024371485518659026]",0.0003,-0.0028350105370456404,"[-0.0034398363623178337, -0.002250803875648057]",0.0,-0.0009574142156862744,-0.0029710477941176476,"{'mean': -0.0005935027501087128, 'ci95': [-0.0009373659419879636, -0.00024371485518659026], 'sign_probability': 0.0003, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.0028350105370456404, 'ci95': [-0.0034398363623178337, -0.002250803875648057], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
2,0,erp,2,2,True,34,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,2.6228545960299973e-05,"[-0.000792085444886288, 0.00084927738780691]",0.5216,-0.005032645713949604,"[-0.006020922534213664, -0.004030055383630705]",0.0,-0.002470128676470588,-0.007985026041666666,"{'mean': 2.6228545960299973e-05, 'ci95': [-0.000792085444886288, 0.00084927738780691], 'sign_probability': 0.5216, 'draws': 10000, 'n_unique_subjects': 34}","{'mean': -0.005032645713949604, 'ci95': [-0.006020922534213664, -0.004030055383630705], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 34}",100
