dataset,total_subject_window_observations,H_BER_positive_count,H_BER_negative_count,H_BER_zero_count,biological_subjects_with_harmful_event,total_correct_to_wrong_flips,total_wrong_to_correct_flips,CUMULATIVE_DECISION_ENDPOINT_UNDERPOWERED
OpenBMI,216,63,67,86,41,178,194,False
WBCIC,164,58,73,33,32,461,515,False
