dataset,subject_id,observations,mean_H_BBR_epoch,mean_H_CE_epoch,mean_H_BER_epoch,total_correct_to_wrong,total_wrong_to_correct
OpenBMI,1,4,-0.004409752786159515,-0.018101640045642853,-0.010416666666666685,4,7
OpenBMI,10,4,-0.002166740596294403,-0.00023078173398971558,-0.010416666666666602,5,8
OpenBMI,11,4,-0.00030172616243362427,-0.008188873529434204,-0.017361111111111133,7,12
OpenBMI,12,4,-0.00406239926815033,-0.01062389463186264,0.010416666666666657,5,2
OpenBMI,13,4,-0.0005809292197227478,-0.0025839656591415405,0.010416666666666657,6,3
OpenBMI,14,4,-0.0027387887239456177,-0.005492500960826874,0.003472222222222293,5,4
OpenBMI,15,4,-0.002579290419816971,-0.008898437023162842,-0.00347222222222221,1,2
OpenBMI,16,4,-0.0004294067621231079,-0.0008488297462463379,-0.006944444444444475,3,5
OpenBMI,17,4,-0.0017568841576576233,0.01075214147567749,0.01388888888888895,12,8
OpenBMI,18,4,-0.001609116792678833,-0.005852226167917252,0.0,2,2
OpenBMI,19,4,-0.0005148500204086304,0.012173943221569061,0.010416666666666685,4,1
OpenBMI,2,4,-0.0013946965336799622,-0.0008577927947044373,0.0,5,5
OpenBMI,20,4,-0.006296664476394653,-0.01679467409849167,-0.013888888888888895,0,4
OpenBMI,21,4,-0.0023797526955604553,-0.0031987223774194717,0.0034722222222222376,1,0
OpenBMI,22,4,-0.0003414824604988098,0.004103220999240875,-0.0034722222222222376,5,6
OpenBMI,23,4,-0.004653416574001312,-0.008116465061903,-0.00347222222222221,3,4
OpenBMI,24,4,-0.0011034682393074036,0.005280822515487671,-2.7755575615628914e-17,5,5
OpenBMI,25,4,0.0019123591482639313,0.0018384288996458054,-0.003472222222222182,2,3
OpenBMI,26,4,-0.0017687678337097168,-0.0013990215957164764,0.00347222222222221,1,0
OpenBMI,27,4,0.000605504959821701,0.005277331918478012,0.006944444444444475,2,0
OpenBMI,28,4,-0.004258926957845688,-0.005801580846309662,-0.00347222222222221,1,2
OpenBMI,29,4,-0.0020288601517677307,-0.008355557918548584,-0.003472222222222182,5,6
OpenBMI,3,4,-0.0022677481174468994,-0.0010724812746047974,0.010416666666666657,3,0
OpenBMI,30,4,-0.003671124577522278,-0.0067200250923633575,0.010416666666666685,5,2
OpenBMI,31,4,-0.0008301287889480591,-0.0006713848561048508,0.0,1,1
OpenBMI,32,4,-0.0018264129757881165,-0.006479471921920776,0.0,1,1
OpenBMI,33,4,-0.0019284449517726898,-0.0030616112053394318,-0.0069444444444444475,0,2
OpenBMI,34,4,-0.0009564533829689026,0.015843704342842102,-0.013888888888888867,4,8
OpenBMI,35,4,-0.002527765929698944,-0.004866631701588631,0.0,2,2
OpenBMI,36,4,-0.0021903179585933685,7.634144276380539e-05,0.0,0,0
OpenBMI,37,4,-0.0035298913717269897,-0.01026516780257225,-0.00347222222222221,2,3
OpenBMI,38,4,-0.0025192871689796448,-0.012875929474830627,0.00694444444444442,5,3
OpenBMI,39,4,-0.0001324191689491272,0.00542788952589035,0.006944444444444475,4,2
OpenBMI,4,4,-0.0028624534606933594,-0.009568393230438232,-0.024305555555555525,1,8
OpenBMI,40,4,0.0013676509261131287,0.015437733381986618,0.01736111111111116,10,5
OpenBMI,41,4,0.0012219175696372986,-0.001370348036289215,0.006944444444444475,5,3
OpenBMI,42,4,-0.00011162459850311279,-0.0016572996973991394,0.01041666666666663,3,0
OpenBMI,43,4,-0.0032161474227905273,-0.008644850924611092,-0.01736111111111116,1,6
OpenBMI,44,4,-0.002479519695043564,0.0004200022667646408,-0.00694444444444442,1,3
OpenBMI,45,4,-0.0017829984426498413,-0.004789620637893677,0.0034722222222222376,5,4
OpenBMI,46,4,-0.0005296841263771057,-0.0019466876983642578,-0.00347222222222221,2,3
OpenBMI,47,4,-0.0031592734158039093,-0.0033408142626285553,0.0069444444444444475,3,1
OpenBMI,48,4,-0.0004910081624984741,-0.0008614435791969299,-0.00694444444444442,3,5
OpenBMI,49,4,-0.00466734915971756,-0.01741015538573265,-0.010416666666666657,0,3
OpenBMI,5,4,-0.0007130876183509827,-0.002688828855752945,2.7755575615628914e-17,2,2
OpenBMI,50,4,-0.0017247572541236877,0.0002663135528564453,0.01041666666666663,11,8
OpenBMI,51,4,-0.0019072666764259338,-0.005546011030673981,-0.017361111111111133,1,6
OpenBMI,52,4,-0.0035944730043411255,-0.0008125118911266327,0.017361111111111077,5,0
OpenBMI,53,4,-0.0032404884696006775,-0.0032244697213172913,0.00347222222222221,1,0
OpenBMI,54,4,0.0009885430335998535,0.0010166987776756287,-0.00347222222222221,4,5
OpenBMI,6,4,-0.002458617091178894,-0.002071954309940338,-0.0069444444444444475,0,2
OpenBMI,7,4,-0.002681650221347809,-0.0029012449085712433,-0.010416666666666657,1,4
OpenBMI,8,4,-0.008671805262565613,-0.02353125810623169,-0.013888888888888867,2,6
OpenBMI,9,4,-0.0030301809310913086,-0.004017036408185959,-0.00347222222222221,6,7
WBCIC,1,4,-0.014429517090320587,-0.019434139132499695,0.0018382352941176405,9,7
WBCIC,11,4,-0.00989481806755066,-0.008128520101308823,-0.003676470588235281,3,7
WBCIC,12,4,-0.0028960034251213074,0.009743914008140564,-0.003676470588235309,21,25
WBCIC,13,4,-0.004229530692100525,-0.004216916859149933,2.7755575615628914e-17,13,13
WBCIC,14,4,-0.002144366502761841,0.007665723562240601,-0.007352941176470562,24,32
WBCIC,16,4,-0.0010217353701591492,0.006943047046661377,-0.0018382352941176128,27,29
WBCIC,17,4,-0.020252972841262817,-0.021030306816101074,0.004595588235294129,27,22
WBCIC,18,4,-0.002838708460330963,0.00022807717323303223,0.006433823529411797,14,7
WBCIC,19,4,-0.009946376085281372,-0.007828816771507263,-2.7755575615628914e-17,11,11
WBCIC,2,4,-0.003504909574985504,0.0018761754035949707,-0.0045955882352940736,11,16
WBCIC,21,4,-0.01333155483007431,-0.015150327235460281,0.0018382352941176683,13,11
WBCIC,22,4,-0.014241605997085571,-0.004240348935127258,0.006433823529411742,22,15
WBCIC,23,4,-0.02113313600420952,-0.023121751844882965,-0.0027437363834422746,2,5
WBCIC,24,4,-0.015022721141576767,-0.014196839183568954,-0.0018314270152505474,1,3
WBCIC,25,4,-0.014759130775928497,-0.013466455042362213,-0.0018382352941176405,2,4
WBCIC,26,4,-0.015724867582321167,-0.012104596942663193,0.0009531590413943136,6,5
WBCIC,27,4,-0.0004088655114173889,0.003966882824897766,-0.004595588235294101,23,28
WBCIC,28,4,-0.00986025482416153,-0.008672207593917847,0.0027573529411764053,14,11
WBCIC,29,4,-0.011440366506576538,0.000818990170955658,-0.003676470588235309,8,12
WBCIC,3,4,-0.020276430994272232,-0.023433377966284752,-0.0018382352941176683,7,9
WBCIC,30,4,-0.00889408029615879,-0.007321319542825222,0.0009191176470588203,2,1
WBCIC,31,4,-0.009429164230823517,-0.002717547118663788,0.007352941176470562,21,13
WBCIC,32,4,-0.0019324496388435364,0.012455180287361145,-0.0008510348583878058,21,22
WBCIC,33,4,-0.015622496604919434,-0.015782922506332397,-0.0009191176470588203,4,5
WBCIC,34,4,-0.0018106698989868164,0.010704576969146729,-0.0036764705882353366,24,28
WBCIC,35,4,-0.015017582103610039,-0.011906927451491356,-0.0018382352941176405,0,2
WBCIC,36,4,-0.00613238662481308,-0.005292985588312149,-0.0027573529411764885,4,7
WBCIC,37,4,-0.012036297470331192,-0.014137297868728638,-0.005514705882352922,6,12
WBCIC,38,4,-0.009979143738746643,-0.009024471044540405,-0.004595588235294129,17,22
WBCIC,41,4,-0.008796826004981995,-0.0006368979811668396,-0.003676470588235281,10,14
WBCIC,42,4,-0.018775515258312225,-0.02251420170068741,0.0009191176470587925,15,14
WBCIC,44,4,-0.005066432058811188,-0.0027018189430236816,0.003676470588235309,13,9
WBCIC,45,4,-0.004628326743841171,-0.005871433764696121,-0.004595588235294101,2,7
WBCIC,47,4,-0.022873029112815857,-0.024210717529058456,-0.005514705882352922,7,13
WBCIC,48,4,-0.016094353049993515,-0.014347076416015625,-0.0018382352941176683,12,14
WBCIC,49,4,-0.016027599573135376,-0.01654498465359211,0.0018382352941176405,3,1
WBCIC,5,4,-0.013475678861141205,-0.012956708669662476,-0.004595588235294129,4,9
WBCIC,50,4,-0.022790633141994476,-0.024540945887565613,-0.002757352941176461,3,6
WBCIC,6,4,-0.006719306111335754,-0.004649657756090164,0.00643382352941177,11,4
WBCIC,7,4,-0.013121891766786575,-0.009555689990520477,-0.00643382352941177,7,14
WBCIC,9,4,-0.015011906623840332,-0.005475141108036041,-0.008272058823529438,17,26
