dataset,BBR_same_subject_AUROC,BBR_different_subject_AUROC,BBR_AUROC_advantage,BBR_AUROC_advantage_CI95,CE_same_subject_AUROC,CE_different_subject_AUROC,CE_AUROC_advantage,CE_AUROC_advantage_CI95,BBR_same_subject_Spearman,BBR_different_subject_Spearman,BBR_Spearman_advantage,BBR_Spearman_advantage_CI95,CE_same_subject_Spearman,CE_different_subject_Spearman,CE_Spearman_advantage,CE_Spearman_advantage_CI95
OpenBMI,0.4828301691046789,0.5878203133105093,-0.10499014420583042,"[-0.22637008101851835, 0.017241872033804798]",0.5524431995020229,0.575785869903517,-0.02334267040149407,"[-0.1476781750258571, 0.10395674196129785]",0.07452515231137395,0.1149361620772912,-0.040411009765917244,"[-0.24621082715880505, 0.16734653432287305]",0.18433975555514973,0.09657250780491751,0.08776724775023222,"[-0.11995948564967475, 0.2873347437964419]"
WBCIC,0.44079375406636306,0.4808067664281067,-0.04001301236174365,"[-0.10616166415061871, 0.026599852693602655]",0.46421600520494466,0.5013012361743656,-0.03708523096942096,"[-0.15359113148114684, 0.07764428935415968]",0.01162932137945487,0.040913156828533886,-0.029283835449079018,"[-0.14988975039397714, 0.09206149104109258]",0.004100916490691128,-0.012427559973963982,0.01652847646465511,"[-0.1988756783842716, 0.2302724381789319]"
