dataset,fold,tau_raw_median_abs_anchor_margin,tau,tau_floor,tau_source,current_anchor_raw_check,frozen_before_outcome
OpenBMI,0,2.061469078063965,2.061469078063965,0.001,previous_decision_audit_legal_source_refit_anchor,2.061469078063965,True
OpenBMI,1,2.3248565196990967,2.3248565196990967,0.001,previous_decision_audit_legal_source_refit_anchor,2.324856758117676,True
OpenBMI,2,2.4413065910339355,2.4413065910339355,0.001,previous_decision_audit_legal_source_refit_anchor,2.4413065910339355,True
OpenBMI,3,2.6375298500061035,2.6375298500061035,0.001,previous_decision_audit_legal_source_refit_anchor,2.6375303268432617,True
OpenBMI,4,2.343686819076538,2.343686819076538,0.001,previous_decision_audit_legal_source_refit_anchor,2.343687057495117,True
WBCIC,0,1.2805280685424805,1.2805280685424805,0.001,previous_decision_audit_legal_source_refit_anchor,1.2805278301239014,True
WBCIC,1,1.120287299156189,1.120287299156189,0.001,previous_decision_audit_legal_source_refit_anchor,1.120287299156189,True
WBCIC,2,2.680941343307495,2.680941343307495,0.001,previous_decision_audit_legal_source_refit_anchor,2.680940628051758,True
WBCIC,3,1.9502851963043213,1.9502851963043213,0.001,previous_decision_audit_legal_source_refit_anchor,1.9502854347229004,True
WBCIC,4,2.3118042945861816,2.3118042945861816,0.001,previous_decision_audit_legal_source_refit_anchor,2.31180477142334,True
