dataset,certificate,quintile,mean_certificate,mean_H_BBR_epoch,smooth_harm_frequency,mean_H_CE_epoch,mean_H_BER_epoch,decision_harm_frequency,correct_to_wrong_frequency,subject_count,observation_count
OpenBMI,BBR,1,-0.007519668148068542,-0.003990859470584176,0.11363636363636363,-0.011401998725804415,-0.0015782828282828176,0.3409090909090909,0.012626262626262626,30,44
OpenBMI,BBR,2,-0.003866645594149135,-0.002818089584971583,0.046511627906976744,-0.005172742660655532,-0.0009689922480620249,0.32558139534883723,0.008074935400516795,31,43
OpenBMI,BBR,3,-0.0025392230058652026,-0.0015631144823029983,0.2558139534883721,-0.0013093315931253654,-0.005167958656330726,0.2558139534883721,0.014534883720930232,33,43
OpenBMI,BBR,4,-0.0016002792588889945,-0.0016869989245436913,0.13953488372093023,-0.002560634685810222,-0.0019379844961240318,0.16279069767441862,0.007428940568475452,33,43
OpenBMI,BBR,5,0.0003387417615835317,1.3982487279315328e-05,0.4883720930232558,0.005098147274449814,0.004521963824289416,0.37209302325581395,0.014534883720930232,28,43
OpenBMI,CE,1,-0.02637917675416578,-0.003166513348167593,0.18181818181818182,-0.012014215981418436,-0.00536616161616161,0.2727272727272727,0.01452020202020202,33,44
OpenBMI,CE,2,-0.009902252339173195,-0.0029843224342479264,0.13953488372093023,-0.007025233361610147,-0.0038759689922480663,0.2558139534883721,0.008397932816537468,30,43
OpenBMI,CE,3,-0.004411951877003492,-0.0020528418380160664,0.16279069767441862,-0.003822077238975569,1.0327656043024712e-17,0.27906976744186046,0.012919896640826873,32,43
OpenBMI,CE,4,-0.000794746071035259,-0.001555275085360505,0.2558139534883721,-0.0005866419090781101,2.581914010756178e-18,0.27906976744186046,0.008397932816537468,36,43
OpenBMI,CE,5,0.00812558981395045,-0.0003052981093872425,0.3023255813953488,0.008115845710732216,0.004198966408268752,0.37209302325581395,0.012919896640826873,29,43
WBCIC,BBR,1,-0.048219912318569244,-0.04182438642689676,0.0,-0.0382988482262149,-0.001667822010959271,0.3939393939393939,0.014600980829246544,27,33
WBCIC,BBR,2,-0.012575703179181524,-0.012223243487603737,0.0,-0.005325406112454154,0.0001138839374133555,0.42424242424242425,0.010475872060626324,28,33
WBCIC,BBR,3,-0.004073523500031142,-0.003732359770572547,0.0,0.0004954078432285424,-0.0015572390572390652,0.36363636363636365,0.007912626769196478,26,33
WBCIC,BBR,4,-0.0011478683348589886,-0.001124560155651786,0.21212121212121213,0.002738865035952944,-0.0016702977487291232,0.3333333333333333,0.014265017274044355,21,33
WBCIC,BBR,5,0.004136537230806425,0.00429611187428236,0.9375,0.00030082056764513254,-0.001257829520697168,0.25,0.004252384783358235,32,32
WBCIC,CE,1,-0.05130424864138618,-0.04049860121625842,0.030303030303030304,-0.03909348561005159,-0.0018906384102462578,0.3939393939393939,0.013599375766358265,27,33
WBCIC,CE,2,-0.011265122148236542,-0.009008963225465832,0.2727272727272727,-0.007613146169619126,-0.0011116062586650716,0.42424242424242425,0.009918644823358965,25,33
WBCIC,CE,3,-0.0040660788319214726,-0.0023697163119460597,0.2727272727272727,-0.0015803028010960782,-0.00022199115336371617,0.30303030303030304,0.006908077994428969,24,33
WBCIC,CE,4,-0.00034812794977121734,-0.0005369093833547649,0.36363636363636365,-4.125657406720248e-05,-0.00044563279857398694,0.3333333333333333,0.00657528139975482,26,33
WBCIC,CE,5,0.009459952809265815,-0.0023970715701580048,0.1875,0.008487099315971136,-0.002404173474945523,0.3125,0.014827586206896552,19,32
