dataset,metric,BBR,CE,BBR_minus_CE,BBR_minus_CE_CI95
OpenBMI,H_BER Spearman,0.07452515231137395,0.18433975555514973,-0.10981460324377577,"[-0.30330627908425084, 0.08463608864855884]"
OpenBMI,decision-harm AUROC,0.4828301691046789,0.5524431995020229,-0.06961303039734401,"[-0.20426660986371437, 0.06354873979655881]"
WBCIC,H_BER Spearman,0.01162932137945487,0.004100916490691128,0.007528404888763742,"[-0.20523963451650648, 0.2145470380774588]"
WBCIC,decision-harm AUROC,0.44079375406636306,0.46421600520494466,-0.023422251138581596,"[-0.15172316064446087, 0.1053820735988645]"
