dataset,spearman,kendall,pearson,auroc,sign_accuracy,top_minus_bottom,n_observations,n_subjects,event_count,spearman_CI95,kendall_CI95,auroc_CI95,top_minus_bottom_CI95,CE_H_CE_AUROC,CE_H_CE_Spearman
OpenBMI,0.46959597042117673,0.3360034453057708,0.4818871817112874,0.7016244314489929,0.7870370370370371,0.00411168122014334,216,54,45,"[0.34121936740150843, 0.5834091857021242]","[0.24156586488399134, 0.4257417625191535]","[0.5991005547646344, 0.7910335247752801]","[0.002118387255211209, 0.005691553071834319]",0.7590115198810851,0.5272008478310053
WBCIC,0.9774216805190917,0.8889720185545414,0.9865817880302694,0.9891466269419025,0.9573170731707317,0.046799703035503626,164,41,37,"[0.955176175364035, 0.9886865337753109]","[0.8473708000602682, 0.921342358764508]","[0.971896788482835, 0.9987903225806452]","[0.03963488866575062, 0.05307624018751085]",0.8590492076730609,0.8239903146382271
