dataset,fold,n_subjects,n_observations,BBR_H_BER_AUROC,BBR_H_BER_Spearman,CE_H_BER_AUROC,CE_H_BER_Spearman,BBR_H_BBR_AUROC,BBR_H_BBR_Spearman,same_subject_AUROC,different_subject_AUROC,same_minus_different_AUROC,same_subject_Spearman,different_subject_Spearman,same_subject_CE_AUROC,different_subject_CE_AUROC,same_minus_different_CE_AUROC,same_subject_CE_Spearman,different_subject_CE_Spearman,harmful_event_count,harmful_flip_count,same_subject_spearman_positive,same_subject_CE_spearman_positive
OpenBMI,0,43,43,0.4220430107526882,-0.011441363617181214,0.47311827956989244,0.08931891197146134,0.5692307692307692,0.18514044095439447,0.4220430107526882,0.5698924731182795,-0.14784946236559132,-0.011441363617181214,-0.026772790864204032,0.47311827956989244,0.5403225806451613,-0.06720430107526881,0.08931891197146134,-0.07757244532448862,12,50,False,True
OpenBMI,1,43,43,0.4458128078817734,-0.029579944806689,0.4088669950738916,-0.04279823076935112,0.746031746031746,0.5780730897009967,0.4458128078817734,0.6527093596059114,-0.20689655172413796,-0.029579944806689,0.18973076314699155,0.4088669950738916,0.6083743842364532,-0.19950738916256155,-0.04279823076935112,0.11703019035234993,14,30,False,False
OpenBMI,2,43,43,0.43842364532019706,-0.0010186715561640227,0.5591133004926109,0.15483807653693143,0.8678571428571429,0.6049531863485352,0.43842364532019706,0.5640394088669951,-0.12561576354679804,-0.0010186715561640227,0.11487480779511208,0.5591133004926109,0.5665024630541872,-0.00738916256157629,0.15483807653693143,0.08353106760544986,14,38,False,True
OpenBMI,3,43,43,0.4327956989247312,0.060493656201089596,0.5618279569892473,0.15514085465152935,0.7051282051282051,0.5634249471458774,0.4327956989247312,0.5376344086021505,-0.10483870967741932,0.060493656201089596,0.003544235516442,0.5618279569892473,0.6424731182795699,-0.08064516129032262,0.15514085465152935,0.11003240262408576,12,31,True,True
OpenBMI,4,44,44,0.6694214876033059,0.20549696060621309,0.7300275482093663,0.3882574710255512,0.86875,0.5574348132487668,0.6694214876033059,0.5619834710743801,0.10743801652892582,0.20549696060621309,0.007530544010939449,0.7300275482093663,0.5096418732782368,0.22038567493112948,0.3882574710255512,0.019912496182772584,11,29,True,True
WBCIC,0,32,32,0.61328125,0.20708478566865385,0.578125,0.17794908118455116,,0.9736070381231671,0.61328125,0.68359375,-0.0703125,0.20708478566865385,0.08205942085712463,0.578125,0.62109375,-0.04296875,0.17794908118455116,-0.029135704484102676,16,105,True,True
WBCIC,1,33,33,0.4841269841269842,0.11329831318256905,0.507936507936508,0.19617081822560548,,0.9060828877005348,0.4841269841269842,0.42063492063492064,0.06349206349206354,0.11329831318256905,-0.08253630826801395,0.507936507936508,0.4642857142857143,0.04365079365079372,0.19617081822560548,0.013784067775920865,12,173,True,True
WBCIC,2,33,33,0.40277777777777773,-0.10900237666727317,0.4537037037037037,0.10566736031191379,,0.8903743315508021,0.40277777777777773,0.5231481481481481,-0.1203703703703704,-0.10900237666727317,-0.04159994085369363,0.4537037037037037,0.5046296296296297,-0.05092592592592593,0.10566736031191379,-0.005441342474533766,9,41,False,True
WBCIC,3,33,33,0.6071428571428572,0.1719631683802754,0.5634920634920635,0.07343383096356519,1.0,0.9154411764705882,0.6071428571428572,0.6666666666666667,-0.059523809523809534,0.1719631683802754,0.20379572354567405,0.5634920634920635,0.48809523809523814,0.07539682539682535,0.07343383096356519,0.03149570272978599,12,80,True,True
WBCIC,4,33,33,0.45833333333333326,-0.05638451076606923,0.3101851851851852,-0.37062296330413264,0.8709677419354839,0.8980614973262033,0.45833333333333326,0.6481481481481481,-0.18981481481481488,-0.05638451076606923,0.17689588303026496,0.3101851851851852,0.7361111111111112,-0.425925925925926,-0.37062296330413264,0.14390673643280355,9,62,False,False
