dataset,fold,sentinel_meta_fold,sentinel_subject_hash,a_subject_hash,a_trial_count,steps,batch_size,schedule_batch_reference,schedule_sha256,tau,B_out_min_class_support,checkpoint_sha256
OpenBMI,0,0,0bbf50e7b1171f73d6326a9689986931097aeadeba60ee80d288984e5766baf6,31863972336ad635a427320ba17954637cf4c43ca7cdb288472b249f221f1cd3,6800,54,64,128,50c1e4edc5a6206655a2830c81421af78a3fe019f79560b5fd25c55581780028,2.061469078063965,36,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa
OpenBMI,0,1,1e0cb98a3ad60bd000fc8d37f3c405c54ea3d56f453508f633c99d6b7a4bef62,b76449ee51f452178699f03f5e39441f4da529a2873a2e4e488664167d9d095d,6800,54,64,128,406dd82df724d35bd699de58f5209a442cef3e36bd51a967381f09255a84d581,2.061469078063965,36,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa
OpenBMI,0,2,5860139f4e48763c4321c28036f77ed20cb9196641a49e05345f4cc6c773e81e,39757837af05f087a66fb0071526356dcb91d3dda2698f2cb1d9f7139485db86,6800,54,64,128,e7320903e5c9f3fc967a2be2a7b86903e5882e7c0953c829494e7fee9bd491d6,2.061469078063965,36,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa
OpenBMI,0,3,57fdfd03a12aeaaf07ffda263544c1ce4a6d676394e9cc5e60bad7cf4ba9e184,9bbc21c637c6d45604e4aa60ab120754e734d823053f0551af94a93c127859ed,7000,55,64,128,9c767f0782ec5ab513123695055296835780ffe58175bc7521ddfb7650559d7a,2.061469078063965,36,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa
OpenBMI,0,4,c486046a548327543bfe6436280c1c4c92d06c10df36c80d054d10b33ffc1f76,618fa133f89ba110f5cd6c9ad04ebba317371445698d6e044dcf1f3be63fe6a5,7000,55,64,128,8fb202bbfc49a91ca32977cea4e9ef778a1249edc574ddfdc49237b6c11a4bd4,2.061469078063965,36,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa
OpenBMI,1,0,9835b4681f3c63c8edd1808f363370a25096381ca110c1f115d31ee5d09d67e5,7b086f798abdb25cf720046e4dc04fbe33ce3c30333b226191438990b2296808,6800,54,64,128,45fb387f183a8f83f163de98f8814fd19ebfc4b6547b4f5c1fd7864072578093,2.3248565196990967,36,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87
OpenBMI,1,1,25d20e1937a91501618567e5434fa7cf354b2f2726834f83230e6152c0b6ac6d,fb12a4e44c4439cabfa5523a0aecf3d6ae67914a75eafc9c55a87555ae9775f6,6800,54,64,128,6b4c06a4ea3ecf0de404468773a5f6263986e65e0f119e11a9936540d669c2f6,2.3248565196990967,36,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87
OpenBMI,1,2,d6c8f00a77468c0944c2d3ee1397254d44876d7a8c6b1b5ab663c8893140c2dd,b851cf887126f66c9b8b9c194ef601162b6b2db5d5c7c5778300b821b6f4c086,6800,54,64,128,e9000298eeb2c78cfd1f3a84d1bb8312d5bc6e29fa3010f96de481124c20b9fc,2.3248565196990967,36,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87
OpenBMI,1,3,bbfbbb57f8aabee91b54e0a0059a807427e531b1558056480ef1aaa3191455e8,ba2682de88013203d08b279120d1afab0253fdf16e0c346b2c798cb1ea54f1c2,7000,55,64,128,dbf44cb19f82c95cc9357a2bf1aad726570ac62950f65034c5aadbcb520023ca,2.3248565196990967,36,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87
OpenBMI,1,4,b3ea4c1acc8dd970f15f248c0dc3db3e56cc904d26656663abe2ab3963460e59,d9925403e5d7e06df670f8c7c6b7919d1b371e14cdc04e54ed2c181e07f0f841,7000,55,64,128,9cf6a726ed6292353f81dbff3aa20611fcd630252655f690798b3d9488989a70,2.3248565196990967,36,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87
OpenBMI,2,0,4d4cef0e5d451c7bfd7342088a5eac90b7b3d4a351707fe4292c6c6673cffb43,f4c298c8aed203052ac7e160dc1385b368a058a5fa5dc55c4caed187e4b18cd3,6800,54,64,128,5f469db6d4257cc6ddaa6c6c84322f5abb1ebeeff081437d14919484c3eb7687,2.4413065910339355,36,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f
OpenBMI,2,1,5814e9424fedab480bb58d7baa64be39cac83d5e1a34067626d05be40bb24f0e,d796e0cd6014bda3ae1b257864e236db2998ec83ed88871e1ee4c0540dc82ba6,6800,54,64,128,0e4ead733c26d28aba2a960b27940d72f709233a36c180b418ddb6db537e380b,2.4413065910339355,36,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f
OpenBMI,2,2,c532af9e9496839c6add31ff4de44e366d9becfbb5728f8eb00e21bcf659b9dc,9f7c8b66420ec708cb03c09287a140a5bc8cede2e8f7a7734f3a998811a9a423,6800,54,64,128,3a933e7a95d5b94a4d77e4f37c77f3a6c3cc86ce3188205efd9e19fb46c3698a,2.4413065910339355,36,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f
OpenBMI,2,3,176e51fe9fcaf7ecf11c60d724e1afbd1f0d3dccd2aea155afefe013c72468c3,82e3594930ce2899ad12ee400495a9aea4e18aab1a575c38ae9b173898b8b90b,7000,55,64,128,2c8f6ca375a7dcbd7d0b0684a94769d726dbc8ba46d39228ca00426a2685b4a4,2.4413065910339355,36,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f
OpenBMI,2,4,983decb6adb9d3665df2744ce1570481be34f28bcd54cd70e22e8ef854b9fa9f,13d9492c7eb3559c26a0920b5cee3594652ba813cfa5c3cb810adf65027fccd6,7000,55,64,128,588c571790a3a0fc14eb3617b6ad06f79a7485f8d02cccec26f65261b6d7ce5d,2.4413065910339355,36,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f
OpenBMI,3,0,1784322c39b3a8371b6f95fd7524c8ab43be97b60bcfce16e9e07dce7ebfa1fe,20c9f503305fecd3b99c2090ecee0588271488da627f6957f0d7c0ac33ee28c6,6800,54,64,128,e053060930052efacc46183d4458d1d4078533f1d809b3708911fc6b665bc507,2.6375298500061035,36,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739
OpenBMI,3,1,567a2ad05bb5a008663469a4a1ceb4673506e6def4d1be912d2e199b16445350,7a4d2f6890ac77e953024380acb06babc03f4cc89fb4479a9cd631f56a032bec,6800,54,64,128,294a8bb92a28770e8d9e1e8cdeeeae669c426e30a9b95abfb25632f280e8876c,2.6375298500061035,36,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739
OpenBMI,3,2,c7eb0d9d6280b921b96afbdf9b53cba16616a605734c064b9befa39f38ac1d12,670d7bc8f56bac7798bbb6429236fd8e3348db47ea52306d24485cecea66a4ad,6800,54,64,128,db75ecaa0d347c7e9b9d8a65f2b959e3409c3c8056d47f603b033a6e58de311d,2.6375298500061035,36,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739
OpenBMI,3,3,8185d2dcbea44d0462de90c1e26bbb74c7384d89f9fce4f549fed95458b755ee,b46feb552bb3bd19e79eca2e6ed914e3405befde85d503b1abe91d579ba7b65e,7000,55,64,128,1214c40f227d053098ed95c25c2546b60b4187d07f76d82eed692406101d3e32,2.6375298500061035,36,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739
OpenBMI,3,4,2c680f2a79788b3166265d784fb9438173f4d93ed6e8246f47eb0483cf47a251,d4d6d7dba89ac88f01683d2f18a17f7645a4e020c75820bdb5b34a00a8d4ccd8,7000,55,64,128,c5330dcdab2a26ba9767c5e79ffc77983038eb3329baf576d08347a75a420169,2.6375298500061035,36,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739
