dataset,BBR_decision_AUROC,BBR_decision_AUROC_CI95,CE_decision_AUROC,CE_decision_AUROC_CI95,BBR_same_minus_different_AUROC,CE_same_minus_different_AUROC,BBR_Q5_minus_Q1_decision_harm,CE_Q5_minus_Q1_decision_harm,H_BER_positive_events
OpenBMI,0.4828301691046789,"[0.3919763180350918, 0.5740496664513801]",0.5524431995020229,"[0.45377966435841194, 0.6497848765903633]",-0.10499014420583042,-0.02334267040149407,0.031183932346723064,0.09936575052854124,63
WBCIC,0.44079375406636306,"[0.3496629452418926, 0.5321571373114462]",0.46421600520494466,"[0.37760840847900673, 0.5551956922858562]",-0.04001301236174365,-0.03708523096942096,-0.14393939393939392,-0.08143939393939392,58
