model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,BA,Macro_F1,trials
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.78,0.7708333333333333,200
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.52,0.39811912225705326,200
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.5549999999999999,0.5125824913058956,200
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.87,0.8681006493506493,200
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S2,0.52,0.423007573025604,200
EEGNet,0,1,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700,48,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S2,0.635,0.6173101622500066,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.595,0.5201279658757665,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.575,0.5096766750310058,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.5650000000000001,0.5418038183015141,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.71,0.6833715471121302,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S2,0.525,0.4649545211342964,200
SIRE-EEG,0,1,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4,41,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S2,0.525,0.5019789782705565,200
