model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,BA,Macro_F1,trials
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.6950000000000001,0.6864639819074299,200
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.525,0.4649545211342964,200
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.595,0.5863019995403356,200
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.765,0.7632897685779759,200
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S2,0.56,0.5225694444444444,200
EEGNet,0,2,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b,16,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S2,0.565,0.5495845305583599,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.75,0.7347198641765704,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.52,0.43899018232819076,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.55,0.45361826129188926,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.77,0.7593890574327858,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S2,0.5,0.4206928513497856,200
SIRE-EEG,0,2,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3,24,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S2,0.54,0.4295634920634921,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-05,S1,0.585,0.5127821314314226,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-06,S1,0.685,0.6849921248031201,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-12,S1,0.505,0.491146462439927,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-05,S2,0.54,0.47150735294117646,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-06,S2,0.64,0.6363636363636364,200
EEGNet,1,2,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-12,S2,0.55,0.5483741469289443,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-05,S1,0.565,0.47964951104997156,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-06,S1,0.69,0.6828644501278772,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-12,S1,0.5449999999999999,0.5447154471544715,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-05,S2,0.585,0.5628703094140882,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-06,S2,0.655,0.6169964752574172,200
SIRE-EEG,1,2,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8,26,0f74f2e95a3edcdaf45beda5b5d1116b27f8033110f6f887148dd665f60434bb,sub-12,S2,0.575,0.5725958516656191,200
EEGNet,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d,49,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-01,S1,0.815,0.8110268392962026,200
EEGNet,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d,49,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-04,S1,0.765,0.7632897685779759,200
EEGNet,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d,49,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-01,S2,0.835,0.830938292476754,200
EEGNet,2,2,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d,49,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-04,S2,0.745,0.7409523809523809,200
SIRE-EEG,2,2,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600,11,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-01,S1,0.81,0.8067338012409724,200
SIRE-EEG,2,2,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600,11,cae67d33040e734c40eda9a2d23f208a7c0a53e2f0945b33e68ebdf248e03dc9,sub-04,S1,0.735,0.7325865940109488,200
