row_type,seed,model,future_S2_BA,future_S2_Macro_F1,WS_BA,subjects,metric,mean,CI95_low,CI95_high,bootstrap_draws
seed,0,EEGNet,0.635,0.5908723835624232,0.6233333333333333,12,,,,,
seed,1,EEGNet,0.6470833333333333,0.6065288003853834,0.6141666666666666,12,,,,,
seed,2,EEGNet,0.65625,0.6362933948172586,0.6266666666666667,12,,,,,
three_seed_subject_mean,"0,1,2",EEGNet,,,,12,future_S2_BA,0.6461111111111111,,,
three_seed_subject_mean,"0,1,2",EEGNet,,,,12,future_S2_Macro_F1,0.6112315262550218,,,
three_seed_subject_mean,"0,1,2",EEGNet,,,,12,WS_BA,0.6213888888888889,,,
seed,0,SIRE-EEG,0.6641666666666666,0.6395164012001896,0.6333333333333333,12,,,,,
seed,1,SIRE-EEG,0.6195833333333334,0.5828613759436166,0.5912499999999999,12,,,,,
seed,2,SIRE-EEG,0.6250000000000001,0.5792139247672967,0.6054166666666666,12,,,,,
three_seed_subject_mean,"0,1,2",SIRE-EEG,,,,12,future_S2_BA,0.63625,,,
three_seed_subject_mean,"0,1,2",SIRE-EEG,,,,12,future_S2_Macro_F1,0.600530567303701,,,
three_seed_subject_mean,"0,1,2",SIRE-EEG,,,,12,WS_BA,0.61,,,
paired_three_seed_subject_mean,"0,1,2",SIRE-EEG minus EEGNet,,,,12,future_S2_BA,-0.009861111111111126,-0.0363888888888889,0.01777777777777775,20000.0
paired_three_seed_subject_mean,"0,1,2",SIRE-EEG minus EEGNet,,,,12,WS_BA,-0.011388888888888888,-0.03722222222222222,0.013888888888888888,20000.0
