block,EEGNet_BA,EEGNet_CI_LOW,EEGNet_CI_HIGH,LiteBN_BA,LiteBN_CI_LOW,LiteBN_CI_HIGH,n_subjects,n_replicates_per_subject_family
OpenBMI_MI,72.28571428571429,67.6857142857143,77.64297619047619,74.9047619047619,69.4904761904762,80.55238095238094,14,30
OpenBMI_ERP,84.81587301587301,80.45025613275612,89.12584054834055,84.79668109668111,80.3602922077922,89.11037157287156,14,30
OpenBMI_SSVEP,89.07619047619046,81.83321428571428,95.23345238095239,91.0238095238095,84.4522619047619,96.21428571428571,14,30
WBCIC_MI,79.36333333333334,69.39966666666668,88.43341666666666,79.4,70.08983333333333,88.01366666666667,10,30
