iteration,hypothesis,model,features,loss,calibration,action_policy,validation_protocol,Delta_BA,rescue_precision,harm_rate,AUPRC_rescue,AUPRC_harm,action_rate,recovered_oracle_headroom,run_robustness,decision,reason_for_next_modification
1,single-run uncertainty,uncertainty gate,single-run confidence,none,inner calibration threshold,I001_SINGLE_RUN_CONFIDENCE,nested grouped subjects,-0.00026041666666667225,0.4836223506743738,0.5163776493256262,0.42977811827457824,0.8826386001864287,0.032848101265822785,-0.0020882058135650297,0.16666666666666666,ABANDON,insufficient safe net gain
2,regularized single-run error prediction,regularized logistic error head,single-run legal logits/geometry,binary log-loss,inner calibration threshold,I002_SINGLE_RUN_LOGISTIC_ERROR,nested grouped subjects,-0.0001979166666666649,0.47088186356073214,0.5291181364392679,0.42130096850836213,0.8808804647259132,0.019018987341772153,-0.0015870364183093743,0.3333333333333333,ABANDON,insufficient safe net gain
3,leave-target-run consensus,deterministic cross-run vote,leave-target-run baseline votes,none,none,I003_CROSS_RUN_FULL,deterministic exploration audit,0.013729166666666664,0.5842105263157895,0.41578947368421054,0.4064056002045462,0.8169991664295939,0.09620253164556962,0.11009021049114598,1.0,KEEP_AND_FREEZE,stop: strong candidate
