subject,ba,run,model
11,0.615,fold-1/seed-0,method
17,0.73,fold-1/seed-0,method
19,0.755,fold-1/seed-0,method
22,0.735,fold-1/seed-0,method
3,0.89,fold-1/seed-0,method
38,0.7,fold-1/seed-0,method
40,0.73,fold-1/seed-0,method
50,0.53,fold-1/seed-0,method
7,0.675,fold-1/seed-0,method
