model,task,subject_id,Delta_future,Delta_worst
CBraMod,OpenBMI_ERP,4,0.0026041666666666665,-0.078125
CBraMod,OpenBMI_ERP,42,-0.010416666666666666,0.015625
CBraMod,OpenBMI_ERP,51,-0.0026041666666666665,0.0
CBraMod,OpenBMI_ERP,54,0.020833333333333332,0.0078125
TeCh,OpenBMI_SSVEP,12,-0.01000000000000004,-0.01000000000000004
TeCh,OpenBMI_SSVEP,13,0.013333333333333327,-0.002222222222222218
TeCh,OpenBMI_SSVEP,17,-0.007777777777777778,0.02333333333333334
TeCh,OpenBMI_SSVEP,18,-0.053333333333333316,-0.05222222222222223
TeCh,OpenBMI_SSVEP,24,-0.022222222222222206,-0.019999999999999955
TeCh,OpenBMI_SSVEP,25,0.0011111111111110751,0.0011111111111110751
TeCh,OpenBMI_SSVEP,29,0.024444444444444404,-2.4671622769447922e-17
TeCh,OpenBMI_SSVEP,36,-0.06111111111111109,-0.07000000000000002
TeCh,OpenBMI_SSVEP,37,-0.042222222222222175,-0.04000000000000001
TeCh,OpenBMI_SSVEP,39,-0.09333333333333335,-0.03666666666666667
TeCh,OpenBMI_SSVEP,4,-0.05111111111111112,-0.024444444444444453
TeCh,OpenBMI_SSVEP,42,-0.02333333333333336,-0.02333333333333336
TeCh,OpenBMI_SSVEP,51,0.010000000000000009,-0.023333333333333334
TeCh,OpenBMI_SSVEP,54,0.007777777777777772,-0.02444444444444446
Medformer,OpenBMI_ERP,12,0.125,0.1484375
Medformer,OpenBMI_ERP,13,0.03125,0.0546875
Medformer,OpenBMI_ERP,17,-0.0390625,0.09375
Medformer,OpenBMI_ERP,18,-0.0078125,-0.0703125
Medformer,OpenBMI_ERP,24,-0.0859375,-0.0859375
Medformer,OpenBMI_ERP,25,-0.0859375,-0.03125
Medformer,OpenBMI_ERP,29,0.0390625,0.015625
Medformer,OpenBMI_ERP,36,0.0,0.15625
Medformer,OpenBMI_ERP,37,0.03125,0.078125
Medformer,OpenBMI_ERP,39,0.0546875,0.0546875
Medformer,OpenBMI_ERP,4,0.0625,0.1015625
Medformer,OpenBMI_ERP,42,0.0859375,0.125
Medformer,OpenBMI_ERP,51,0.0703125,0.0703125
Medformer,OpenBMI_ERP,54,-0.0078125,0.0546875
EEGConformer,OpenBMI_ERP,12,0.08258928571428571,0.008928571428571428
EEGConformer,OpenBMI_ERP,13,0.0625,0.06696428571428571
EEGConformer,OpenBMI_ERP,17,0.08705357142857142,0.046875
EEGConformer,OpenBMI_ERP,18,-0.020089285714285716,0.006696428571428571
EEGConformer,OpenBMI_ERP,24,-0.029017857142857144,-0.026785714285714284
EEGConformer,OpenBMI_ERP,25,-0.05580357142857143,-0.03571428571428571
EEGConformer,OpenBMI_ERP,29,0.04241071428571429,0.015625
EEGConformer,OpenBMI_ERP,36,-0.05580357142857143,-0.03571428571428571
EEGConformer,OpenBMI_ERP,37,0.0,0.049107142857142856
EEGConformer,OpenBMI_ERP,39,0.020089285714285716,-0.006696428571428571
EEGConformer,OpenBMI_ERP,4,-0.006696428571428571,-0.07366071428571429
EEGConformer,OpenBMI_ERP,42,0.011160714285714286,0.05133928571428571
EEGConformer,OpenBMI_ERP,51,0.029017857142857144,0.015625
EEGConformer,OpenBMI_ERP,54,0.11160714285714286,0.08035714285714286
