model,task,matched_pairs,subjects,Delta_future,future_CI_low,future_CI_high,Delta_worst,worst_CI_low,worst_CI_high
EEGNet,OpenBMI_ERP,3,14,0.03757440476190476,0.0022321428571428596,0.07217261904761904,0.04687500000000001,0.013020833333333332,0.08147321428571429
EEGNet,OpenBMI_SSVEP,9,14,-0.02499999999999999,-0.047619047619047596,-0.0020615079365081104,-0.019920634920634915,-0.03833333333333333,-0.0012698412698412768
CBraMod,OpenBMI_MI,1,14,0.014508928571428572,-0.033482142857142856,0.056919642857142856,-0.022321428571428572,-0.05580357142857143,0.014508928571428572
CBraMod,OpenBMI_ERP,6,14,0.005208333333333334,-0.013020833333333334,0.023995535714285716,0.004278273809523808,-0.02027529761904762,0.030319940476190476
TeCh,OpenBMI_SSVEP,9,14,-0.02198412698412699,-0.039920634920634926,-0.005396825396825415,-0.021587301587301596,-0.033571428571428585,-0.009841269841269843
Medformer,OpenBMI_ERP,2,14,0.01953125,-0.01171875,0.04966517857142857,0.0546875,0.015066964285714286,0.09095982142857142
EEGConformer,OpenBMI_ERP,7,14,0.019929846938775506,-0.006218112244897961,0.046556122448979595,0.011639030612244897,-0.011005261479591836,0.03396045918367347
