model,task,fold,seed,status,selector,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,4,0.609375,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,12,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,13,0.640625,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,17,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,18,0.578125,0.5625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,24,0.5,0.5
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,25,0.953125,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,29,0.515625,0.515625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,36,0.765625,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,37,0.625,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,39,0.546875,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,42,0.625,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,51,0.609375,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,PU,54,0.625,0.53125
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,4,0.609375,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,12,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,13,0.640625,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,17,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,18,0.578125,0.5625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,24,0.5,0.5
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,25,0.953125,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,29,0.515625,0.515625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,36,0.765625,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,37,0.625,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,39,0.546875,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,42,0.625,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,51,0.609375,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,U_only,54,0.625,0.53125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,4,0.71875,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,12,0.6875,0.6875
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,13,0.671875,0.609375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,17,0.578125,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,18,0.5625,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,24,0.71875,0.65625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,25,0.953125,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,29,0.796875,0.59375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,36,0.84375,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,37,0.65625,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,39,0.625,0.625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,42,0.671875,0.671875
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,51,0.578125,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,PU,54,0.609375,0.609375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,4,0.71875,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,12,0.6875,0.6875
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,13,0.671875,0.609375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,17,0.578125,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,18,0.5625,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,24,0.71875,0.65625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,25,0.953125,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,29,0.796875,0.59375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,36,0.84375,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,37,0.65625,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,U_only,39,0.625,0.625
