Model,Task,Estimable_runs,PU_nonempty,Empty_runs,Invalid_runs,Mean_rank_k,Status,PU_future_BA,PU_worst_BA,PU_random_worst_BA,PU_PSWA_pp,PU_PEEH_pp,U_only_future_BA,U_only_worst_BA,U_only_random_worst_BA,U_only_PSWA_pp,U_only_PEEH_pp,P_only_future_BA,P_only_worst_BA,P_only_random_worst_BA,P_only_PSWA_pp,P_only_PEEH_pp,Delta_PU_minus_U_worst_pp,CI_low_pp,CI_high_pp
EEGNet,OpenBMI_MI,15,15,0,0,4.4,ESTIMABLE,0.6651041666666667,0.619047619047619,0.5380074404761904,8.104017857142857,7.334151785714284,0.6651041666666667,0.619047619047619,0.5380074404761904,8.104017857142857,7.334151785714284,0.5938244047619048,0.5496279761904762,0.5380074404761904,1.162053571428571,1.2776041666666664,0.0,0.0,0.0
EEGNet,OpenBMI_ERP,15,15,0,0,6.0,ESTIMABLE,0.7557291666666667,0.7066964285714287,0.6119441964285715,9.475223214285714,8.584077380952381,0.7557291666666667,0.7066964285714287,0.6119441964285715,9.475223214285714,8.584077380952381,0.617782738095238,0.5764880952380952,0.6119441964285715,-3.545610119047619,-2.279017857142857,0.0,0.0,0.0
EEGNet,OpenBMI_SSVEP,15,15,0,0,6.733333333333333,ESTIMABLE,0.773904761904762,0.7444761904761903,0.6119914285714286,13.248476190476191,8.952714285714285,0.7876190476190477,0.7574285714285712,0.6119914285714286,14.543714285714286,11.114619047619048,0.5052857142857143,0.47923809523809524,0.6119914285714286,-13.275333333333334,-4.337761904761903,-1.2952380952380953,-1.6000000000000016,-0.9714285714285699
EEGNet,WBCIC_MI,15,15,0,0,2.1333333333333333,ESTIMABLE,0.7782291666666667,0.6898958333333334,0.4940875000000001,19.580833333333334,20.17625,0.7782291666666667,0.6898958333333334,0.4940875000000001,19.580833333333334,20.17625,0.6202083333333334,0.5595833333333333,0.4940875000000001,6.5495833333333335,3.6866666666666665,0.0,0.0,0.0
CBraMod,OpenBMI_MI,6,6,9,0,4.0,ESTIMABLE,0.5204613095238095,0.47488839285714285,0.4692001488095238,0.568824404761905,0.6013764880952382,0.5180431547619048,0.47860863095238093,0.4692001488095238,0.9408482142857145,0.15494791666666677,0.5143229166666666,0.47395833333333337,0.4692001488095238,0.4758184523809526,-0.6635044642857143,-0.3720238095238102,-0.9300595238095247,0.2604166666666661
CBraMod,OpenBMI_ERP,12,12,3,0,4.916666666666667,ESTIMABLE,0.6685267857142857,0.6327194940476192,0.5775,5.521949404761904,3.9883742559523805,0.6823846726190477,0.6416480654761906,0.5775,6.414806547619048,4.7045200892857135,0.5915178571428571,0.5569196428571429,0.5775,-2.0580357142857144,-1.033947172619048,-0.8928571428571436,-1.4880952380952395,-0.30691964285714607
CBraMod,OpenBMI_SSVEP,8,8,7,0,3.125,ESTIMABLE,0.8264285714285714,0.803392857142857,0.6874919642857144,11.590089285714285,18.72151785714286,0.8264285714285714,0.803392857142857,0.6874919642857144,11.590089285714285,18.72151785714286,0.8264285714285714,0.803392857142857,0.6874919642857144,11.590089285714285,18.72151785714286,0.0,0.0,0.0
CBraMod,WBCIC_MI,10,10,2,3,3.4,ESTIMABLE,0.7175,0.6412500000000001,0.596409375,4.484062499999999,5.256875,0.7175,0.6412500000000001,0.596409375,4.484062499999999,5.256875,0.69390625,0.6221875,0.596409375,2.5778124999999994,3.335,0.0,0.0,0.0
TeCh,OpenBMI_MI,14,14,1,0,4.857142857142857,ESTIMABLE,0.6804846938775511,0.6331313775510204,0.5510060586734694,8.212531887755102,8.27718431122449,0.6804846938775511,0.6331313775510204,0.5510060586734694,8.212531887755102,8.27718431122449,0.5389030612244897,0.49864477040816324,0.5510060586734694,-5.236128826530611,-3.258211096938775,0.0,0.0,0.0
TeCh,OpenBMI_ERP,15,15,0,0,6.666666666666667,ESTIMABLE,0.728125,0.6805803571428571,0.6153392857142856,6.524107142857143,7.050000000000002,0.728125,0.6805803571428571,0.6153392857142856,6.524107142857143,7.050000000000002,0.6373511904761905,0.5962053571428572,0.6153392857142856,-1.9133928571428565,-0.6136904761904759,0.0,0.0,0.0
TeCh,OpenBMI_SSVEP,15,15,0,0,7.2,ESTIMABLE,0.7188095238095238,0.6933809523809523,0.5889033333333333,10.447761904761903,11.083428571428572,0.7331428571428572,0.71,0.5889033333333333,12.109666666666666,13.302476190476188,0.5373809523809524,0.5092380952380952,0.5889033333333333,-7.966523809523809,-4.126095238095238,-1.6619047619047609,-2.1952380952380928,-1.1809523809523799
TeCh,WBCIC_MI,15,15,0,0,4.866666666666666,ESTIMABLE,0.7158333333333333,0.6353125000000001,0.5597958333333333,7.551666666666667,9.264791666666667,0.7158333333333333,0.6353125000000001,0.5597958333333333,7.551666666666667,9.264791666666667,0.6074999999999999,0.5337500000000001,0.5597958333333333,-2.6045833333333333,0.11895833333333325,0.0,0.0,0.0
ModernTCN,OpenBMI_MI,7,7,8,0,2.2857142857142856,ESTIMABLE,0.4933035714285713,0.4634885204081632,0.4636910076530611,-0.020248724489795977,-0.03061224489795943,0.4933035714285713,0.4634885204081632,0.4636910076530611,-0.020248724489795977,-0.03061224489795943,0.4894770408163264,0.47161989795918374,0.4636910076530611,0.7928890306122449,0.033163265306122194,0.0,0.0,0.0
ModernTCN,OpenBMI_ERP,15,15,0,0,3.6,ESTIMABLE,0.7342261904761905,0.6947916666666666,0.5641130952380952,13.067857142857141,5.402901785714286,0.7342261904761905,0.6947916666666666,0.5641130952380952,13.067857142857141,5.402901785714286,0.5805059523809524,0.5462053571428571,0.5641130952380952,-1.7907738095238095,-0.6536458333333336,0.0,0.0,0.0
ModernTCN,OpenBMI_SSVEP,15,15,0,0,4.333333333333333,ESTIMABLE,0.6248571428571428,0.6015238095238095,0.37435142857142856,22.717238095238095,5.265714285714287,0.6248571428571428,0.6015238095238095,0.37435142857142856,22.717238095238095,5.265714285714287,0.5085714285714287,0.4876190476190477,0.37435142857142856,11.326761904761906,2.980000000000001,0.0,0.0,0.0
ModernTCN,WBCIC_MI,7,7,8,0,2.2857142857142856,ESTIMABLE,0.6618303571428571,0.5845982142857143,0.4953035714285714,8.929464285714285,0.24374999999999983,0.6618303571428571,0.5845982142857143,0.4953035714285714,8.929464285714285,0.24374999999999983,0.5359375,0.4953125,0.4953035714285714,0.0008928571428571175,-0.09107142857142878,0.0,0.0,0.0
Medformer,OpenBMI_MI,15,15,0,0,3.3333333333333335,ESTIMABLE,0.6095238095238095,0.558407738095238,0.5038787202380953,5.4529017857142845,6.409077380952381,0.6095238095238095,0.558407738095238,0.5038787202380953,5.4529017857142845,6.409077380952381,0.5341517857142858,0.5000744047619048,0.5038787202380953,-0.3804315476190476,-0.2055059523809523,0.0,0.0,0.0
Medformer,OpenBMI_ERP,14,14,1,0,5.785714285714286,ESTIMABLE,0.7116549744897959,0.6736288265306122,0.5888185586734693,8.481026785714286,9.174107142857142,0.7106186224489797,0.6721938775510203,0.5888185586734693,8.337531887755102,9.07844387755102,0.5884088010204082,0.5503029336734694,0.5888185586734693,-3.8515624999999996,-3.166454081632653,0.14349489795918197,-0.08769132653061451,0.37468112244897844
Medformer,OpenBMI_SSVEP,15,15,0,0,7.0,ESTIMABLE,0.857095238095238,0.8428095238095237,0.5467185714285715,29.609095238095232,31.47061904761905,0.857095238095238,0.8428095238095237,0.5467185714285715,29.609095238095232,31.47061904761905,0.4932380952380952,0.47423809523809524,0.5467185714285715,-7.248047619047619,-8.624619047619046,0.0,0.0,0.0
Medformer,WBCIC_MI,14,14,1,0,3.5714285714285716,ESTIMABLE,0.7426339285714285,0.6603794642857143,0.5161595982142858,14.421986607142856,10.083147321428573,0.7426339285714285,0.6603794642857143,0.5161595982142858,14.421986607142856,10.083147321428573,0.5140625,0.46763392857142855,0.5161595982142858,-4.852566964285714,-2.148995535714286,0.0,0.0,0.0
EEGConformer,OpenBMI_MI,15,15,0,0,4.666666666666667,ESTIMABLE,0.685342261904762,0.6215029761904762,0.543359375,7.814360119047619,5.483333333333333,0.685342261904762,0.6215029761904762,0.543359375,7.814360119047619,5.483333333333333,0.6203124999999999,0.5620535714285715,0.543359375,1.8694196428571426,1.867261904761905,0.0,0.0,0.0
