model,task,fold,seed,block,rank,rho,null_p95,persistence_supported,absolute_CI_low,excess_CI_low,PU_protected,utility_score,persistence_score
EEGNet,OpenBMI_MI,0,0,0,1,0.44633886218070984,0.14611433744430527,True,-0.0002987648837989351,-0.010214468402658574,False,-0.010214468402658574,0.3002245247364046
EEGNet,OpenBMI_MI,0,0,1,1,0.16270266473293304,0.06185118034482002,True,0.0026869677006588558,-0.0066276302195370255,False,-0.0066276302195370255,0.10085148438811303
EEGNet,OpenBMI_MI,0,0,2,4,0.06865658611059189,0.01406111880205569,True,0.08634740555776538,0.0676903528233215,True,0.0676903528233215,0.0545954673085362
EEGNet,OpenBMI_MI,0,0,3,4,0.03062162548303604,0.008394129294902086,True,0.026373162268458476,-0.011387643624748795,False,-0.011387643624748795,0.022227496188133956
EEGNet,OpenBMI_MI,0,0,4,4,0.0054422966204583645,0.004780984483659266,True,0.02150111543712875,-0.01987217004113283,False,-0.01987217004113283,0.0006613121367990988
EEGNet,OpenBMI_MI,0,0,5,4,-0.0057322499342262745,0.00415768867824226,False,0.006211378904968521,-0.04232399840072065,False,-0.04232399840072065,-0.009889938612468535
EEGNet,OpenBMI_MI,0,0,6,2,-0.028050582855939865,0.01101265135221183,False,0.003930204166359568,-0.014593200995249803,False,-0.014593200995249803,-0.03906323420815169
EEGNet,OpenBMI_MI,0,1,0,1,0.5725818276405334,0.18990196287631986,True,-0.0002847169695197247,-0.01228018612765565,False,-0.01228018612765565,0.38267986476421356
EEGNet,OpenBMI_MI,0,1,1,1,0.21107980608940125,0.08599883504211903,True,-2.346982926460901e-06,-0.010729435222851857,False,-0.010729435222851857,0.12508097104728222
EEGNet,OpenBMI_MI,0,1,2,1,0.14564090967178345,0.06105880923569203,True,-0.0004912910039183041,-0.012320638219332146,False,-0.012320638219332146,0.08458210043609142
EEGNet,OpenBMI_MI,0,1,3,4,0.07197012007236481,0.012316511105746025,True,0.11803177068312584,0.10538196524682579,True,0.10538196524682579,0.05965360896661878
EEGNet,OpenBMI_MI,0,1,4,4,0.021224021911621094,0.006885335361585018,True,0.020732389336192092,-0.023324419819410264,False,-0.023324419819410264,0.014338686550036076
EEGNet,OpenBMI_MI,0,1,5,4,0.0013346639461815357,0.004762090928852555,False,0.003046885876237003,-0.049763411635679565,False,-0.049763411635679565,-0.003427426982671019
EEGNet,OpenBMI_MI,0,1,6,4,-0.012759195640683174,0.004594509047456085,False,0.00948152805953052,-0.04055044206907067,False,-0.04055044206907067,-0.01735370468813926
EEGNet,OpenBMI_MI,0,1,7,1,-0.03607204183936119,0.014458391163498159,False,0.004509960926881919,-0.005764243028350709,False,-0.005764243028350709,-0.05053043300285935
EEGNet,OpenBMI_MI,0,2,0,1,0.5398944616317749,0.18719036653637885,True,-0.0005523426655279609,-0.009403599057328123,False,-0.009403599057328123,0.352704095095396
EEGNet,OpenBMI_MI,0,2,1,1,0.21091297268867493,0.0735736813396215,True,-0.00017646104614521682,-0.010129166973946118,False,-0.010129166973946118,0.13733929134905343
EEGNet,OpenBMI_MI,0,2,2,4,0.07766487449407578,0.01868234034627676,True,0.11627067082015158,0.10887127932398843,True,0.10887127932398843,0.05898253414779901
EEGNet,OpenBMI_MI,0,2,3,4,0.033126190304756165,0.009296155348420142,True,0.007087055556973569,-0.03556563462065091,False,-0.03556563462065091,0.023830034956336024
EEGNet,OpenBMI_MI,0,2,4,4,0.008653378114104271,0.005417527724057433,True,-0.0006289137965755003,-0.04836302510104304,False,-0.04836302510104304,0.003235850390046838
EEGNet,OpenBMI_MI,0,2,5,4,-0.007113087922334671,0.0047152257990092025,False,0.00016572245836536694,-0.04730979672927148,False,-0.04730979672927148,-0.011828313721343874
EEGNet,OpenBMI_MI,0,2,6,2,-0.02253047749400139,0.008346453262493012,False,0.015143727836478165,-0.00018301401942166063,False,-0.00018301401942166063,-0.0308769307564944
EEGNet,OpenBMI_MI,1,0,0,1,0.4719858467578888,0.15123906061053263,True,-0.00015661936387659326,-0.011335807425481138,False,-0.011335807425481138,0.3207467861473562
EEGNet,OpenBMI_MI,1,0,1,1,0.116122767329216,0.03901600204408167,True,0.00016933013292023575,-0.008547787299376953,False,-0.008547787299376953,0.07710676528513433
EEGNet,OpenBMI_MI,1,0,2,3,0.07270730286836624,0.01482596918940544,True,0.08915915684043414,0.07797972711888058,True,0.07797972711888058,0.0578813336789608
EEGNet,OpenBMI_MI,1,0,3,4,0.032204654067754745,0.009979566186666487,True,0.02508999492524869,-0.009585505020558572,False,-0.009585505020558572,0.02222508788108826
EEGNet,OpenBMI_MI,1,0,4,4,0.008244202472269535,0.005196374631486825,True,0.019665939177440448,-0.019223277128224626,False,-0.019223277128224626,0.0030478278407827103
EEGNet,OpenBMI_MI,1,0,5,4,-0.00449603283777833,0.004226951650343833,False,0.004757968979881549,-0.0422880897636411,False,-0.0422880897636411,-0.008722984488122164
EEGNet,OpenBMI_MI,1,0,6,3,-0.023995736613869667,0.0067076356383040485,False,0.0022277144000406686,-0.0301738429896096,False,-0.0301738429896096,-0.030703372252173716
EEGNet,OpenBMI_MI,1,1,0,1,0.5455490350723267,0.18072715625166894,True,-0.0001770581617911859,-0.01191172707411484,False,-0.01191172707411484,0.36482187882065775
EEGNet,OpenBMI_MI,1,1,1,1,0.18244245648384094,0.0759368013590574,True,0.00034491606134567096,-0.013014191739032533,False,-0.013014191739032533,0.10650565512478355
EEGNet,OpenBMI_MI,1,1,2,2,0.10489951819181442,0.02721697576344012,True,0.026260548017587173,0.011621454592610197,True,0.011621454592610197,0.0776825424283743
EEGNet,OpenBMI_MI,1,1,3,4,0.049758221954107285,0.011328316573053596,True,0.09660572959101692,0.08129772584183007,True,0.08129772584183007,0.03842990538105369
EEGNet,OpenBMI_MI,1,1,4,4,0.017822861671447754,0.006132393353618674,True,0.0045895541471610134,-0.04172011557715534,False,-0.04172011557715534,0.01169046831782908
EEGNet,OpenBMI_MI,1,1,5,4,0.00288097420707345,0.005483267456293106,False,0.02050535858965148,-0.023351327525791225,False,-0.023351327525791225,-0.0026022932492196556
EEGNet,OpenBMI_MI,1,1,6,4,-0.015135060995817184,0.005682011996395885,False,0.00024125912113146376,-0.0547640465485713,False,-0.0547640465485713,-0.020817072992213068
EEGNet,OpenBMI_MI,1,2,0,1,0.5904372334480286,0.18647436797618858,True,-0.0008517325641908631,-0.012004561572442226,False,-0.012004561572442226,0.40396286547184
EEGNet,OpenBMI_MI,1,2,1,1,0.23116149008274078,0.08745424188673497,True,0.0003464416691914516,-0.009183417488885664,False,-0.009183417488885664,0.14370724819600583
EEGNet,OpenBMI_MI,1,2,2,1,0.13382068276405334,0.04088568352162837,True,0.00016484897846578525,-0.010337543177408079,False,-0.010337543177408079,0.09293499924242497
EEGNet,OpenBMI_MI,1,2,3,4,0.0564342737197876,0.009254822088405484,True,0.09812883283984443,0.08324242216652436,True,0.08324242216652436,0.04717945163138211
EEGNet,OpenBMI_MI,1,2,4,4,0.020167358219623566,0.006699167168699196,True,0.020718191062097227,-0.01887312207365903,False,-0.01887312207365903,0.01346819105092437
