model,task,n_blocks,intercept,TRAIN_utility_coefficient,persistence_margin_coefficient,block_rank_coefficient,descriptive_only
EEGNet,OpenBMI_MI,19,0.5427390629878122,0.9922644034670711,0.37976409047881465,0.003557420932875921,True
EEGNet,OpenBMI_ERP,28,0.5586327382031093,0.7335419095712392,0.10250185125266537,0.023581273198053698,True
EEGNet,OpenBMI_SSVEP,34,0.3247109721016029,0.9639358829944937,0.03443903868935312,0.06036744908589142,True
EEGNet,WBCIC_MI,23,0.5801811432238868,1.6185642995849923,0.19624755179883563,-0.009971373962258667,True
CBraMod,OpenBMI_MI,7,0.03082630694453319,-0.30820625057919426,-0.2071095842560798,0.1233052277781207,True
CBraMod,OpenBMI_ERP,26,0.5238787697909826,0.9749561443056259,-0.38051979721601864,0.024521204618595194,True
CBraMod,OpenBMI_SSVEP,8,0.5624223805728548,0.05724064623518926,-1.5104391035608709,0.08362134131578244,True
CBraMod,WBCIC_MI,10,0.6673275394195685,-0.4725649733961734,0.3627836654610856,0.01180987653277804,True
TeCh,OpenBMI_MI,17,0.037081275558985945,0.49953387226294155,-0.32587991458936405,0.14832510223594847,True
TeCh,OpenBMI_ERP,29,0.5777007517707281,0.5730072494617791,0.19488147669421169,0.015484040000400823,True
TeCh,OpenBMI_SSVEP,33,0.03255331036181714,0.5909760887132822,-0.1688414823186137,0.1302132414472672,True
TeCh,WBCIC_MI,19,0.5332512159590189,0.642399553266828,-0.09397735174342585,0.0331408437352555,True
ModernTCN,OpenBMI_MI,7,0.4803284958455445,17.771542656755003,0.018132963974983873,0.002260751339989042,True
ModernTCN,OpenBMI_ERP,24,0.62612546118916,0.40694104373146944,-0.14975764859811302,0.010973721157071625,True
ModernTCN,OpenBMI_SSVEP,38,0.32754725918088756,1.1334693794136537,-0.19312436522358625,0.03591537668352629,True
ModernTCN,WBCIC_MI,9,0.6355661911757459,1.279528637999325,0.400661180198232,-0.012725010370925549,True
Medformer,OpenBMI_MI,18,0.5656619827541358,0.18946042720330236,-0.049938335222552296,0.007552474042392093,True
Medformer,OpenBMI_ERP,26,0.5582383664379005,0.245288018852493,0.03720161325364559,0.01798767710713342,True
Medformer,OpenBMI_SSVEP,28,0.2698750732618704,0.4782940711844209,0.3135448062951621,0.03963989961696679,True
Medformer,WBCIC_MI,16,0.5946839416423978,0.2863483992511612,0.2533646897568225,0.01624638821513874,True
EEGConformer,OpenBMI_MI,31,0.6020556913919486,0.3358000178697109,-0.2330716814288182,-0.0024506201756348545,True
EEGConformer,OpenBMI_ERP,28,0.5413183270848269,0.7426298088176558,0.02884595692881254,0.018736396730010263,True
EEGConformer,OpenBMI_SSVEP,32,0.2889629436500775,0.327327752544168,0.13375866015794832,0.04623116878747091,True
EEGConformer,WBCIC_MI,16,0.552549170812251,0.38325831562151264,0.7527284855835392,0.02189501653054704,True
FBCNet,OpenBMI_MI,16,0.520559126381513,0.8427699530000204,-0.008078336180404953,0.008134508950591757,True
FBCNet,OpenBMI_ERP,20,0.5486708230865306,0.3881427346024985,0.01536664571122684,0.018267367685869063,True
FBCNet,OpenBMI_SSVEP,25,0.026548157343999883,0.6287040904455766,-0.08326886048688378,0.10619262937599949,True
