model,task,subject_id,selector,estimable_runs,future_BA,worst_BA,random_worst_BA,PSWA_pp,PEEH_pp
CBraMod,OpenBMI_ERP,12,PU,12,0.7721354166666666,0.7239583333333334,0.6531250000000001,7.083333333333333,4.303385416666667
CBraMod,OpenBMI_ERP,12,P_only,12,0.6380208333333334,0.6002604166666666,0.6531250000000001,-5.286458333333334,-1.8164062500000007
CBraMod,OpenBMI_ERP,12,U_only,12,0.79296875,0.7330729166666666,0.6531250000000001,7.994791666666667,5.21484375
CBraMod,OpenBMI_ERP,13,PU,12,0.71875,0.7096354166666666,0.6415364583333333,6.809895833333332,2.713541666666666
CBraMod,OpenBMI_ERP,13,P_only,12,0.6536458333333334,0.640625,0.6415364583333333,-0.09114583333333437,-1.7135416666666672
CBraMod,OpenBMI_ERP,13,U_only,12,0.7122395833333334,0.7044270833333334,0.6415364583333333,6.289062499999999,3.104166666666666
CBraMod,OpenBMI_ERP,17,PU,12,0.6653645833333334,0.5859375,0.5244140625000001,6.152343750000001,7.9296875
CBraMod,OpenBMI_ERP,17,P_only,12,0.5520833333333334,0.5364583333333334,0.5244140625000001,1.2044270833333337,-2.8776041666666665
CBraMod,OpenBMI_ERP,17,U_only,12,0.6705729166666666,0.5807291666666666,0.5244140625000001,5.631510416666668,7.1484375
CBraMod,OpenBMI_ERP,18,PU,12,0.6848958333333334,0.6276041666666666,0.56875,5.885416666666667,4.0234375
CBraMod,OpenBMI_ERP,18,P_only,12,0.5729166666666666,0.5052083333333334,0.56875,-6.354166666666667,0.247395833333334
CBraMod,OpenBMI_ERP,18,U_only,12,0.7291666666666666,0.63671875,0.56875,6.796875,7.408854166666667
CBraMod,OpenBMI_ERP,24,PU,12,0.7604166666666666,0.7330729166666666,0.6570052083333332,7.606770833333333,4.451822916666665
CBraMod,OpenBMI_ERP,24,P_only,12,0.6471354166666666,0.6171875,0.6570052083333332,-3.9817708333333326,0.024739583333331
CBraMod,OpenBMI_ERP,24,U_only,12,0.765625,0.7356770833333334,0.6570052083333332,7.8671875,3.410156249999998
CBraMod,OpenBMI_ERP,25,PU,12,0.5833333333333334,0.5703125,0.5477213541666667,2.2591145833333326,2.6263020833333344
CBraMod,OpenBMI_ERP,25,P_only,12,0.5690104166666666,0.5247395833333334,0.5477213541666667,-2.2981770833333335,0.803385416666668
CBraMod,OpenBMI_ERP,25,U_only,12,0.6197916666666666,0.6002604166666666,0.5477213541666667,5.25390625,3.7981770833333353
CBraMod,OpenBMI_ERP,29,PU,12,0.68359375,0.6614583333333334,0.5872786458333333,7.41796875,4.361979166666666
CBraMod,OpenBMI_ERP,29,P_only,12,0.59765625,0.5716145833333334,0.5872786458333333,-1.5664062500000002,-2.1484375000000013
