Model,Task,contrast,mean_pp,CI_low_pp,CI_high_pp,n_subjects
EEGNet,OpenBMI_MI,PU_minus_U_worst_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_MI,PU_minus_U_future_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_MI,PU_minus_P_worst_pp,6.941964285714283,5.558035714285713,8.467261904761903,14
EEGNet,OpenBMI_MI,U_minus_P_worst_pp,6.941964285714283,5.587611607142854,8.437499999999998,14
EEGNet,OpenBMI_MI,PU_minus_U_PSWA_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_MI,PU_minus_U_PEEH_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_ERP,PU_minus_U_worst_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_ERP,PU_minus_U_future_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_ERP,PU_minus_P_worst_pp,13.020833333333334,10.870535714285712,15.111607142857142,14
EEGNet,OpenBMI_ERP,U_minus_P_worst_pp,13.020833333333334,10.877976190476188,15.111607142857144,14
EEGNet,OpenBMI_ERP,PU_minus_U_PSWA_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_ERP,PU_minus_U_PEEH_pp,0.0,0.0,0.0,14
EEGNet,OpenBMI_SSVEP,PU_minus_U_worst_pp,-1.2952380952380953,-1.6000000000000016,-0.9714285714285699,14
EEGNet,OpenBMI_SSVEP,PU_minus_U_future_pp,-1.371428571428575,-1.838095238095242,-0.9666666666666712,14
EEGNet,OpenBMI_SSVEP,PU_minus_P_worst_pp,26.523809523809522,22.771428571428572,29.947619047619046,14
EEGNet,OpenBMI_SSVEP,U_minus_P_worst_pp,27.819047619047616,23.904523809523806,31.319047619047613,14
EEGNet,OpenBMI_SSVEP,PU_minus_U_PSWA_pp,-1.2952380952380942,-1.5952380952380945,-0.9666666666666656,14
EEGNet,OpenBMI_SSVEP,PU_minus_U_PEEH_pp,-2.1619047619047627,-2.7000000000000006,-1.6476190476190484,14
EEGNet,WBCIC_MI,PU_minus_U_worst_pp,0.0,0.0,0.0,10
EEGNet,WBCIC_MI,PU_minus_U_future_pp,0.0,0.0,0.0,10
EEGNet,WBCIC_MI,PU_minus_P_worst_pp,13.03125,6.979166666666669,19.229166666666664,10
EEGNet,WBCIC_MI,U_minus_P_worst_pp,13.03125,6.978906249999998,19.177083333333336,10
EEGNet,WBCIC_MI,PU_minus_U_PSWA_pp,0.0,0.0,0.0,10
EEGNet,WBCIC_MI,PU_minus_U_PEEH_pp,0.0,0.0,0.0,10
CBraMod,OpenBMI_MI,PU_minus_U_worst_pp,-0.3720238095238102,-0.9300595238095247,0.2604166666666661,14
CBraMod,OpenBMI_MI,PU_minus_U_future_pp,0.24181547619047558,-0.5580357142857151,0.9300595238095241,14
CBraMod,OpenBMI_MI,PU_minus_P_worst_pp,0.09300595238095143,-0.9114583333333349,1.1346726190476182,14
CBraMod,OpenBMI_MI,U_minus_P_worst_pp,0.46502976190476175,-0.5212983630952389,1.3764880952380956,14
CBraMod,OpenBMI_MI,PU_minus_U_PSWA_pp,-0.3720238095238095,-0.9300595238095238,0.2604166666666668,14
CBraMod,OpenBMI_MI,PU_minus_U_PEEH_pp,0.4464285714285715,-0.13020833333333334,1.0788690476190474,14
CBraMod,OpenBMI_ERP,PU_minus_U_worst_pp,-0.8928571428571436,-1.4880952380952395,-0.30691964285714607,14
CBraMod,OpenBMI_ERP,PU_minus_U_future_pp,-1.3857886904761911,-2.213541666666665,-0.6045386904761918,14
CBraMod,OpenBMI_ERP,PU_minus_P_worst_pp,7.579985119047619,5.989583333333335,9.207589285714286,14
CBraMod,OpenBMI_ERP,U_minus_P_worst_pp,8.472842261904763,6.668526785714286,10.267857142857142,14
CBraMod,OpenBMI_ERP,PU_minus_U_PSWA_pp,-0.8928571428571431,-1.488095238095238,-0.31622023809523825,14
CBraMod,OpenBMI_ERP,PU_minus_U_PEEH_pp,-0.7161458333333331,-1.3950892857142858,-0.04650297619047589,14
CBraMod,OpenBMI_SSVEP,PU_minus_U_worst_pp,0.0,0.0,0.0,14
CBraMod,OpenBMI_SSVEP,PU_minus_U_future_pp,0.0,0.0,0.0,14
CBraMod,OpenBMI_SSVEP,PU_minus_P_worst_pp,0.0,0.0,0.0,14
CBraMod,OpenBMI_SSVEP,U_minus_P_worst_pp,0.0,0.0,0.0,14
CBraMod,OpenBMI_SSVEP,PU_minus_U_PSWA_pp,0.0,0.0,0.0,14
CBraMod,OpenBMI_SSVEP,PU_minus_U_PEEH_pp,0.0,0.0,0.0,14
CBraMod,WBCIC_MI,PU_minus_U_worst_pp,0.0,0.0,0.0,10
CBraMod,WBCIC_MI,PU_minus_U_future_pp,0.0,0.0,0.0,10
CBraMod,WBCIC_MI,PU_minus_P_worst_pp,1.9062500000000013,0.6718750000000007,3.203125000000002,10
CBraMod,WBCIC_MI,U_minus_P_worst_pp,1.9062500000000013,0.6562500000000003,3.187500000000001,10
CBraMod,WBCIC_MI,PU_minus_U_PSWA_pp,0.0,0.0,0.0,10
CBraMod,WBCIC_MI,PU_minus_U_PEEH_pp,0.0,0.0,0.0,10
TeCh,OpenBMI_MI,PU_minus_U_worst_pp,0.0,0.0,0.0,14
TeCh,OpenBMI_MI,PU_minus_U_future_pp,0.0,0.0,0.0,14
TeCh,OpenBMI_MI,PU_minus_P_worst_pp,13.448660714285712,10.48309948979592,16.972257653061224,14
TeCh,OpenBMI_MI,U_minus_P_worst_pp,13.448660714285712,10.47512755102041,16.892538265306122,14
TeCh,OpenBMI_MI,PU_minus_U_PSWA_pp,0.0,0.0,0.0,14
TeCh,OpenBMI_MI,PU_minus_U_PEEH_pp,0.0,0.0,0.0,14
