model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,4,0.78125,0.671875
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,12,0.6875,0.6875
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,13,0.65625,0.640625
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,17,0.6875,0.6875
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,18,0.625,0.625
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,24,0.59375,0.59375
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,25,0.96875,0.6875
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,29,0.640625,0.5
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,36,0.828125,0.734375
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,37,0.734375,0.578125
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,39,0.515625,0.515625
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,42,0.65625,0.5625
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,51,0.640625,0.640625
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,2,3,0.07797972711888058,0.0578813336789608,True,54,0.671875,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,4,0.796875,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,12,0.671875,0.65625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,13,0.515625,0.515625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,17,0.46875,0.46875
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,18,0.609375,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,24,0.5625,0.515625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,25,0.875,0.59375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,29,0.625,0.59375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,36,0.859375,0.734375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,37,0.625,0.625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,39,0.578125,0.578125
