Model,OpenBMI_MI,OpenBMI_ERP,OpenBMI_SSVEP,WBCIC_MI
EEGNet,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","-1.295 [-1.600, -0.971]","0.000 [0.000, 0.000]"
CBraMod,"-0.372 [-0.930, 0.260]","-0.893 [-1.488, -0.307]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
TeCh,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","-1.662 [-2.195, -1.181]","0.000 [0.000, 0.000]"
ModernTCN,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
Medformer,"0.000 [0.000, 0.000]","0.143 [-0.088, 0.375]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
EEGConformer,"0.000 [0.000, 0.000]","0.082 [-0.357, 0.521]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
FBCNet,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
