Task,status,n_models,n_subjects,Delta_PU_minus_U_worst_pp,CI_low_pp,CI_high_pp
OpenBMI_MI,ESTIMABLE,7,14,-0.053146258503401454,-0.13286564625850356,0.03454506802721096
OpenBMI_ERP,ESTIMABLE,7,14,-0.09535957240038904,-0.2177497114917394,0.009718172983478171
OpenBMI_SSVEP,ESTIMABLE,7,14,-0.4224489795918366,-0.512925170068027,-0.33741496598639414
WBCIC_MI,ESTIMABLE,7,10,0.0,0.0,0.0
