model,task,fold,seed,k,PU_U_only_overlap_rank,PU_U_only_jaccard,PU_P_only_overlap_rank,PU_P_only_jaccard,U_only_P_only_overlap_rank,U_only_P_only_jaccard
FBCNet,OpenBMI_MI,2,0,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,2,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,2,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,3,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,3,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,3,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,4,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,4,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,0,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,0,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,0,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,1,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,1,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,1,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,2,0,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,2,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,2,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,3,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,3,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,3,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,4,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,4,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_ERP,4,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,0,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,0,1,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,0,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,1,0,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,1,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,1,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,2,0,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,2,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,2,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,3,0,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,3,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,3,2,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,4,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,4,1,8,8,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_SSVEP,4,2,4,4,1.0,0,0.0,0,0.0
FBCNet,WBCIC_MI,3,0,4,4,1.0,0,0.0,0,0.0
