model,task,fold,seed,k,PU_U_only_overlap_rank,PU_U_only_jaccard,PU_P_only_overlap_rank,PU_P_only_jaccard,U_only_P_only_overlap_rank,U_only_P_only_jaccard
Medformer,OpenBMI_MI,4,1,3,3,1.0,3,1.0,3,1.0
Medformer,OpenBMI_MI,4,2,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
Medformer,OpenBMI_ERP,0,0,5,5,1.0,1,0.1111111111111111,1,0.1111111111111111
Medformer,OpenBMI_ERP,0,1,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,0,2,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,1,0,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,OpenBMI_ERP,1,1,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,1,2,9,9,1.0,8,0.8,8,0.8
Medformer,OpenBMI_ERP,2,0,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,2,1,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,2,2,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,3,0,5,4,0.6666666666666666,0,0.0,0,0.0
Medformer,OpenBMI_ERP,3,2,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,4,0,6,6,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,4,1,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_ERP,4,2,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,0,0,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,OpenBMI_SSVEP,0,1,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,OpenBMI_SSVEP,0,2,7,7,1.0,3,0.2727272727272727,3,0.2727272727272727
Medformer,OpenBMI_SSVEP,1,0,6,6,1.0,2,0.2,2,0.2
Medformer,OpenBMI_SSVEP,1,1,7,7,1.0,3,0.2727272727272727,3,0.2727272727272727
Medformer,OpenBMI_SSVEP,1,2,7,7,1.0,3,0.2727272727272727,3,0.2727272727272727
Medformer,OpenBMI_SSVEP,2,0,6,6,1.0,2,0.2,2,0.2
Medformer,OpenBMI_SSVEP,2,1,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,2,2,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,3,0,8,8,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,3,1,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,3,2,4,4,1.0,0,0.0,0,0.0
Medformer,OpenBMI_SSVEP,4,0,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,OpenBMI_SSVEP,4,1,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,OpenBMI_SSVEP,4,2,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
Medformer,WBCIC_MI,0,0,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,0,1,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,0,2,4,4,1.0,3,0.6,3,0.6
Medformer,WBCIC_MI,1,0,2,2,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,1,1,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,1,2,1,1,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,2,0,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,2,1,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,2,2,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,3,0,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,3,1,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,4,0,4,4,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,4,1,3,3,1.0,0,0.0,0,0.0
Medformer,WBCIC_MI,4,2,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_MI,0,0,1,1,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_MI,0,1,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,0,2,3,3,1.0,2,0.5,2,0.5
EEGConformer,OpenBMI_MI,1,0,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,1,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_MI,1,2,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,2,0,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,2,1,7,7,1.0,6,0.75,6,0.75
EEGConformer,OpenBMI_MI,2,2,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,3,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_MI,3,1,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_MI,3,2,4,4,1.0,2,0.3333333333333333,2,0.3333333333333333
EEGConformer,OpenBMI_MI,4,0,3,3,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_MI,4,1,6,6,1.0,4,0.5,4,0.5
EEGConformer,OpenBMI_MI,4,2,8,8,1.0,7,0.7777777777777778,7,0.7777777777777778
EEGConformer,OpenBMI_ERP,0,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,0,1,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
EEGConformer,OpenBMI_ERP,0,2,5,5,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,1,0,8,4,0.3333333333333333,4,0.3333333333333333,0,0.0
EEGConformer,OpenBMI_ERP,1,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,1,2,9,9,1.0,5,0.38461538461538464,5,0.38461538461538464
EEGConformer,OpenBMI_ERP,2,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,2,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,2,2,8,4,0.3333333333333333,4,0.3333333333333333,0,0.0
EEGConformer,OpenBMI_ERP,3,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,3,1,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,3,2,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,4,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,4,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_ERP,4,2,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
EEGConformer,OpenBMI_SSVEP,0,0,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,0,1,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,0,2,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,1,0,5,5,1.0,3,0.42857142857142855,3,0.42857142857142855
EEGConformer,OpenBMI_SSVEP,1,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,1,2,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,OpenBMI_SSVEP,2,0,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,2,1,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,2,2,8,8,1.0,4,0.3333333333333333,4,0.3333333333333333
EEGConformer,OpenBMI_SSVEP,3,0,5,5,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,3,1,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,3,2,7,7,1.0,3,0.2727272727272727,3,0.2727272727272727
EEGConformer,OpenBMI_SSVEP,4,0,5,5,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,4,1,8,8,1.0,0,0.0,0,0.0
EEGConformer,OpenBMI_SSVEP,4,2,5,5,1.0,2,0.25,2,0.25
EEGConformer,WBCIC_MI,0,0,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,0,1,4,4,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,1,0,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,1,1,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,1,2,1,1,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,2,0,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,2,1,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,2,2,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,3,0,5,5,1.0,4,0.6666666666666666,4,0.6666666666666666
EEGConformer,WBCIC_MI,3,1,2,2,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,4,0,1,1,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,4,1,1,1,1.0,0,0.0,0,0.0
EEGConformer,WBCIC_MI,4,2,1,1,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,0,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,0,2,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,1,0,4,4,1.0,0,0.0,0,0.0
FBCNet,OpenBMI_MI,1,1,3,3,1.0,3,1.0,3,1.0
FBCNet,OpenBMI_MI,1,2,4,4,1.0,0,0.0,0,0.0
