model,task,fold,status,rank,protected_rank,sessions,max_BA_abs_delta,reason
EEGNet,OpenBMI_MI,0,PASS,20,4,S1;S2,0.0,
EEGNet,OpenBMI_MI,1,PASS,20,3,S1;S2,0.0,
EEGNet,OpenBMI_MI,2,PASS,20,4,S1;S2,0.0,
EEGNet,OpenBMI_MI,3,PASS,20,8,S1;S2,0.0,
EEGNet,OpenBMI_MI,4,PASS,20,5,S1;S2,0.0,
EEGNet,OpenBMI_ERP,0,PASS,20,6,S1;S2,0.0,
EEGNet,OpenBMI_ERP,1,PASS,20,9,S1;S2,0.0,
EEGNet,OpenBMI_ERP,2,PASS,20,8,S1;S2,0.0,
EEGNet,OpenBMI_ERP,3,PASS,20,4,S1;S2,0.0,
EEGNet,OpenBMI_ERP,4,PASS,20,5,S1;S2,0.0,
EEGNet,OpenBMI_SSVEP,0,PASS,20,4,S1;S2,0.0,
EEGNet,OpenBMI_SSVEP,1,PASS,20,8,S1;S2,0.0,
EEGNet,OpenBMI_SSVEP,2,PASS,20,4,S1;S2,0.0,
EEGNet,OpenBMI_SSVEP,3,PASS,20,8,S1;S2,0.0,
EEGNet,OpenBMI_SSVEP,4,PASS,20,8,S1;S2,0.0,
EEGNet,WBCIC_MI,0,PASS,20,2,S0;S1;S2,0.0,
EEGNet,WBCIC_MI,1,PASS,20,2,S0;S1;S2,0.0,
EEGNet,WBCIC_MI,2,PASS,20,3,S0;S1;S2,0.0,
EEGNet,WBCIC_MI,3,PASS,20,2,S0;S1;S2,0.0,
EEGNet,WBCIC_MI,4,PASS,20,1,S0;S1;S2,0.0,
CBraMod,OpenBMI_MI,0,EMPTY,17,0,,,k=0
CBraMod,OpenBMI_MI,1,PASS,15,4,S1;S2,0.0,
CBraMod,OpenBMI_MI,2,EMPTY,4,0,,,k=0
CBraMod,OpenBMI_MI,3,PASS,6,4,S1;S2,0.0,
CBraMod,OpenBMI_MI,4,PASS,8,4,S1;S2,0.0,
CBraMod,OpenBMI_ERP,0,PASS,18,4,S1;S2,0.0,
