Dataset,status,n_subjects,Delta_PU_minus_U_worst_pp,CI_low_pp,CI_high_pp
OpenBMI,ESTIMABLE,14,-0.19031827016520902,-0.25307687732831236,-0.1277718557661164
WBCIC,ESTIMABLE,10,0.0,0.0,0.0
