model,task,fold,seed,status,active_rank,candidate_blocks,k,PU_blocks,U_only_blocks,P_only_blocks
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,20,7,4,2,2,0;1;6
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,20,8,4,3,3,0;1;2;7
EEGNet,OpenBMI_MI,0,2,ESTIMABLE,20,7,4,2,2,0;1;6
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,20,7,3,2,2,2
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,20,7,6,2;3,2;3,0;1;3
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,20,8,4,3,3,0;1;2;7
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,20,7,4,2,2,0;1;6
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,20,7,4,3,3,0;1;2
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,20,6,4,2,2,0;5
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,20,6,8,1;2,1;2,0;1;5
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,20,7,4,3,3,0;1;2
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,20,8,5,2;3,2;3,0;3
EEGNet,OpenBMI_MI,4,0,ESTIMABLE,20,7,5,1;2,1;2,0;2
EEGNet,OpenBMI_MI,4,1,ESTIMABLE,20,7,4,2,2,0;1;6
EEGNet,OpenBMI_MI,4,2,ESTIMABLE,20,7,3,2,2,2
EEGNet,OpenBMI_ERP,0,0,ESTIMABLE,20,8,6,3;4,3;4,0;1;2;3
EEGNet,OpenBMI_ERP,0,1,ESTIMABLE,20,7,8,2;3,2;3,0;1;2;6
EEGNet,OpenBMI_ERP,0,2,ESTIMABLE,20,7,8,2;3,2;3,0;1;2;6
EEGNet,OpenBMI_ERP,1,0,ESTIMABLE,20,8,9,2;4;5,2;4;5,0;3;4
EEGNet,OpenBMI_ERP,1,1,ESTIMABLE,20,7,6,2;4,2;4,0;1;3
EEGNet,OpenBMI_ERP,1,2,ESTIMABLE,20,7,8,2;4,2;4,0;1;2;6
EEGNet,OpenBMI_ERP,2,0,ESTIMABLE,20,9,8,5;6,5;6,0;1;2;3;4;8
EEGNet,OpenBMI_ERP,2,1,ESTIMABLE,20,7,4,4,4,0;1;2
EEGNet,OpenBMI_ERP,2,2,ESTIMABLE,20,9,4,6,6,0;1;2;3
EEGNet,OpenBMI_ERP,3,0,ESTIMABLE,20,7,4,3,3,0;1;6
EEGNet,OpenBMI_ERP,3,1,ESTIMABLE,20,8,4,4,4,0;1;2;7
EEGNet,OpenBMI_ERP,3,2,ESTIMABLE,20,8,4,4,4,0;1;2;7
EEGNet,OpenBMI_ERP,4,0,ESTIMABLE,20,8,5,2;6,2;6,0;4
EEGNet,OpenBMI_ERP,4,1,ESTIMABLE,20,8,4,4,4,0;1;2;7
EEGNet,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,4;5,4;5,0;1;2;3;7
EEGNet,OpenBMI_SSVEP,0,0,ESTIMABLE,20,7,4,5,5,0;1;2
EEGNet,OpenBMI_SSVEP,0,1,ESTIMABLE,20,7,4,5,5,0;1;2
EEGNet,OpenBMI_SSVEP,0,2,ESTIMABLE,20,7,8,3;4,3;5,0;1;2;6
EEGNet,OpenBMI_SSVEP,1,0,ESTIMABLE,20,7,8,4;5,4;5,0;1;2;3
EEGNet,OpenBMI_SSVEP,1,1,ESTIMABLE,20,7,12,3;4;5,3;4;5,0;1;2;3;4
EEGNet,OpenBMI_SSVEP,1,2,ESTIMABLE,20,7,4,4,4,0;1;6
EEGNet,OpenBMI_SSVEP,2,0,ESTIMABLE,20,8,4,5,6,0;1;2;7
EEGNet,OpenBMI_SSVEP,2,1,ESTIMABLE,20,7,4,5,5,0;2
EEGNet,OpenBMI_SSVEP,2,2,ESTIMABLE,20,7,8,4;5,5;6,0;1;2;3
EEGNet,OpenBMI_SSVEP,3,0,ESTIMABLE,20,6,8,3;4,3;4,0;1;5
EEGNet,OpenBMI_SSVEP,3,1,ESTIMABLE,20,8,4,6,6,0;1;2
EEGNet,OpenBMI_SSVEP,3,2,ESTIMABLE,20,8,8,5;6,5;6,0;1;2;3;4
EEGNet,OpenBMI_SSVEP,4,0,ESTIMABLE,20,7,8,4;5,4;5,0;1;2;6
EEGNet,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,4;5,4;7,0;1;2;3;4
EEGNet,OpenBMI_SSVEP,4,2,ESTIMABLE,20,8,9,3;5;6,3;5;6,0;4;5
EEGNet,WBCIC_MI,0,0,ESTIMABLE,20,8,2,1;2,1;2,0;1
EEGNet,WBCIC_MI,0,1,ESTIMABLE,20,7,1,1,1,1
EEGNet,WBCIC_MI,0,2,ESTIMABLE,20,8,3,0;1,0;1,0;1
EEGNet,WBCIC_MI,1,0,ESTIMABLE,20,9,2,1;2,1;2,0;1
EEGNet,WBCIC_MI,1,1,ESTIMABLE,20,8,2,2;3,2;3,0;1
EEGNet,WBCIC_MI,1,2,ESTIMABLE,20,8,2,1,1,0;2
EEGNet,WBCIC_MI,2,0,ESTIMABLE,20,8,3,2;3,2;3,0;1;2
EEGNet,WBCIC_MI,2,1,ESTIMABLE,20,8,3,2;3,2;3,0;1;2
EEGNet,WBCIC_MI,2,2,ESTIMABLE,20,6,4,1,1,0;5
EEGNet,WBCIC_MI,3,0,ESTIMABLE,20,8,2,1;2,1;2,0;1
EEGNet,WBCIC_MI,3,1,ESTIMABLE,20,7,1,1,1,0
EEGNet,WBCIC_MI,3,2,ESTIMABLE,20,7,1,1,1,0
EEGNet,WBCIC_MI,4,0,ESTIMABLE,20,8,1,2,2,0
EEGNet,WBCIC_MI,4,1,ESTIMABLE,20,7,2,2,2,0;1
EEGNet,WBCIC_MI,4,2,ESTIMABLE,20,8,3,2;3,2;3,0;1;3
CBraMod,OpenBMI_MI,0,1,ESTIMABLE,20,8,4,5,5,0;1;2;3
CBraMod,OpenBMI_MI,1,0,ESTIMABLE,15,8,4,5,5,0;1;2;3
CBraMod,OpenBMI_MI,1,2,ESTIMABLE,20,7,4,4,5,0;1;2
CBraMod,OpenBMI_MI,3,0,ESTIMABLE,6,3,4,2,2,2
CBraMod,OpenBMI_MI,3,1,ESTIMABLE,5,2,4,1,1,1
CBraMod,OpenBMI_MI,4,0,ESTIMABLE,8,4,4,2,2,0;1;3
CBraMod,OpenBMI_ERP,0,0,ESTIMABLE,18,8,4,5,5,0;1;2;3
CBraMod,OpenBMI_ERP,0,1,ESTIMABLE,19,7,5,1;4,1;4,0;6
CBraMod,OpenBMI_ERP,0,2,ESTIMABLE,20,9,8,5;6,5;7,0;1;2;3;5
CBraMod,OpenBMI_ERP,1,1,ESTIMABLE,18,6,4,3,3,0;5
CBraMod,OpenBMI_ERP,1,2,ESTIMABLE,16,6,4,4,4,0;1;2
CBraMod,OpenBMI_ERP,2,0,ESTIMABLE,15,6,5,2;4,0;2;5,0;2;5
CBraMod,OpenBMI_ERP,3,0,ESTIMABLE,20,7,4,3,5,1;2
CBraMod,OpenBMI_ERP,3,1,ESTIMABLE,20,8,4,5,5,0;1;2;3
CBraMod,OpenBMI_ERP,3,2,ESTIMABLE,20,7,9,2;4;5,2;4;5,1;3;4
CBraMod,OpenBMI_ERP,4,0,ESTIMABLE,17,7,4,4,4,0;1;6
CBraMod,OpenBMI_ERP,4,1,ESTIMABLE,12,5,4,3,3,0;1;4
CBraMod,OpenBMI_ERP,4,2,ESTIMABLE,17,5,4,3,3,1
CBraMod,OpenBMI_SSVEP,0,1,ESTIMABLE,4,2,3,1,1,1
CBraMod,OpenBMI_SSVEP,0,2,ESTIMABLE,5,2,4,1,1,1
CBraMod,OpenBMI_SSVEP,1,2,ESTIMABLE,7,2,3,1,1,1
CBraMod,OpenBMI_SSVEP,2,1,ESTIMABLE,5,2,3,1,1,1
CBraMod,OpenBMI_SSVEP,3,1,ESTIMABLE,5,2,4,1,1,1
CBraMod,OpenBMI_SSVEP,3,2,ESTIMABLE,7,3,2,2,2,2
CBraMod,OpenBMI_SSVEP,4,0,ESTIMABLE,4,2,3,1,1,1
CBraMod,OpenBMI_SSVEP,4,1,ESTIMABLE,5,2,3,1,1,1
CBraMod,WBCIC_MI,0,1,ESTIMABLE,5,2,4,0,0,0
CBraMod,WBCIC_MI,0,2,ESTIMABLE,6,2,4,0,0,0
CBraMod,WBCIC_MI,1,0,ESTIMABLE,8,3,4,1,1,0;2
CBraMod,WBCIC_MI,1,1,ESTIMABLE,5,2,4,0,0,0
CBraMod,WBCIC_MI,2,0,ESTIMABLE,5,2,4,1,1,1
CBraMod,WBCIC_MI,2,1,ESTIMABLE,6,3,1,2,2,0
CBraMod,WBCIC_MI,3,0,ESTIMABLE,5,2,4,0,0,0
CBraMod,WBCIC_MI,3,1,ESTIMABLE,7,2,4,0,0,0
CBraMod,WBCIC_MI,3,2,ESTIMABLE,6,2,4,0,0,0
CBraMod,WBCIC_MI,4,2,ESTIMABLE,5,2,1,1,1,1
TeCh,OpenBMI_MI,0,0,ESTIMABLE,18,6,4,3,3,0;1
TeCh,OpenBMI_MI,0,1,ESTIMABLE,17,5,4,2,2,1
TeCh,OpenBMI_MI,0,2,ESTIMABLE,19,6,4,3,3,2
TeCh,OpenBMI_MI,1,0,ESTIMABLE,20,7,8,3;4,3;4,0;1;2;6
TeCh,OpenBMI_MI,1,1,ESTIMABLE,20,7,4,4,4,0;2
TeCh,OpenBMI_MI,1,2,ESTIMABLE,20,8,8,4;5,4;5,0;1;2;3;7
TeCh,OpenBMI_MI,2,0,ESTIMABLE,18,9,8,5;6,5;6,0;1;2;3;5
TeCh,OpenBMI_MI,2,2,ESTIMABLE,17,5,4,2,2,1
TeCh,OpenBMI_MI,3,0,ESTIMABLE,18,8,4,4,4,0;1;3
TeCh,OpenBMI_MI,3,1,ESTIMABLE,17,6,4,3,3,0;5
TeCh,OpenBMI_MI,3,2,ESTIMABLE,17,8,4,4,4,0;1;2;3
TeCh,OpenBMI_MI,4,0,ESTIMABLE,17,7,4,4,4,0;1;6
TeCh,OpenBMI_MI,4,1,ESTIMABLE,15,7,4,4,4,0;1;2;6
TeCh,OpenBMI_MI,4,2,ESTIMABLE,15,5,4,2,2,1
TeCh,OpenBMI_ERP,0,0,ESTIMABLE,20,8,8,4;5,4;5,0;1;2;3;4
TeCh,OpenBMI_ERP,0,1,ESTIMABLE,20,8,4,4,4,0;1;2;7
TeCh,OpenBMI_ERP,0,2,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_ERP,1,0,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_ERP,1,1,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_ERP,1,2,ESTIMABLE,20,7,7,2;3,2;3,0;2;6
TeCh,OpenBMI_ERP,2,0,ESTIMABLE,20,8,4,4,4,0;1;2;7
TeCh,OpenBMI_ERP,2,1,ESTIMABLE,20,9,4,5,5,0;1;2;3
TeCh,OpenBMI_ERP,2,2,ESTIMABLE,20,8,8,5;6,5;6,0;1;2;3;4
TeCh,OpenBMI_ERP,3,0,ESTIMABLE,20,9,7,4;5,4;5,0;1;2;3;4
TeCh,OpenBMI_ERP,3,1,ESTIMABLE,20,7,8,3;4,3;4,0;1;2;6
TeCh,OpenBMI_ERP,3,2,ESTIMABLE,20,8,4,4,4,0;1;2;7
TeCh,OpenBMI_ERP,4,0,ESTIMABLE,20,7,8,3;4,3;4,0;1;2;3
TeCh,OpenBMI_ERP,4,1,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_ERP,4,2,ESTIMABLE,20,8,6,3;4,3;4,0;1;2;7
TeCh,OpenBMI_SSVEP,0,0,ESTIMABLE,20,8,4,5,5,0;1;2;3
TeCh,OpenBMI_SSVEP,0,1,ESTIMABLE,20,8,8,4;5,5;6,0;1;2;3;4
TeCh,OpenBMI_SSVEP,0,2,ESTIMABLE,20,8,8,4;5,4;5,0;1;2;3;7
TeCh,OpenBMI_SSVEP,1,0,ESTIMABLE,20,8,12,3;4;5,3;4;5,0;1;2;3;4;7
TeCh,OpenBMI_SSVEP,1,1,ESTIMABLE,20,8,8,3;4,4;5,0;1;2;3;7
TeCh,OpenBMI_SSVEP,1,2,ESTIMABLE,20,8,8,3;4,3;4,0;1;3;6
TeCh,OpenBMI_SSVEP,2,0,ESTIMABLE,20,8,4,4,5,0;1;2;7
TeCh,OpenBMI_SSVEP,2,1,ESTIMABLE,20,8,4,4,5,0;1;2;7
TeCh,OpenBMI_SSVEP,2,2,ESTIMABLE,20,8,4,4,4,0;1;2
TeCh,OpenBMI_SSVEP,3,0,ESTIMABLE,20,8,8,3;4,4;5,0;1;2;3
TeCh,OpenBMI_SSVEP,3,1,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3
TeCh,OpenBMI_SSVEP,3,2,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_SSVEP,4,0,ESTIMABLE,20,8,8,3;4,3;4,0;1;2;3;7
TeCh,OpenBMI_SSVEP,4,1,ESTIMABLE,20,7,8,3;4,3;4,0;1;2;6
TeCh,OpenBMI_SSVEP,4,2,ESTIMABLE,20,7,8,3;4,3;4,0;1;2;6
TeCh,WBCIC_MI,0,0,ESTIMABLE,7,2,4,0,0,0
TeCh,WBCIC_MI,0,1,ESTIMABLE,8,4,2,2,2,0;1
TeCh,WBCIC_MI,0,2,ESTIMABLE,9,4,4,2,2,0;3
TeCh,WBCIC_MI,1,0,ESTIMABLE,20,7,4,2,2,1
TeCh,WBCIC_MI,1,1,ESTIMABLE,20,6,8,1;2,1;2,0;1
TeCh,WBCIC_MI,1,2,ESTIMABLE,18,6,4,1,1,0
TeCh,WBCIC_MI,2,0,ESTIMABLE,20,6,8,2;3,2;3,0;2
TeCh,WBCIC_MI,2,1,ESTIMABLE,20,5,4,2,2,0
TeCh,WBCIC_MI,2,2,ESTIMABLE,17,5,8,1;2,1;2,0;1
TeCh,WBCIC_MI,3,0,ESTIMABLE,7,2,4,0,0,0
TeCh,WBCIC_MI,3,1,ESTIMABLE,10,3,3,0,0,0
TeCh,WBCIC_MI,3,2,ESTIMABLE,8,2,4,0,0,0
