model,task,fold,seed,subject_id,selector,session,BA
EEGNet,OpenBMI_MI,0,0,4,PU,S1,0.546875
EEGNet,OpenBMI_MI,0,0,4,PU,S2,0.609375
EEGNet,OpenBMI_MI,0,0,4,U_only,S1,0.546875
EEGNet,OpenBMI_MI,0,0,4,U_only,S2,0.609375
EEGNet,OpenBMI_MI,0,0,4,P_only,S1,0.59375
EEGNet,OpenBMI_MI,0,0,4,P_only,S2,0.71875
EEGNet,OpenBMI_MI,0,0,12,PU,S1,0.6875
EEGNet,OpenBMI_MI,0,0,12,PU,S2,0.609375
EEGNet,OpenBMI_MI,0,0,12,U_only,S1,0.6875
EEGNet,OpenBMI_MI,0,0,12,U_only,S2,0.609375
EEGNet,OpenBMI_MI,0,0,12,P_only,S1,0.484375
EEGNet,OpenBMI_MI,0,0,12,P_only,S2,0.515625
EEGNet,OpenBMI_MI,0,0,13,PU,S1,0.59375
EEGNet,OpenBMI_MI,0,0,13,PU,S2,0.640625
EEGNet,OpenBMI_MI,0,0,13,U_only,S1,0.59375
EEGNet,OpenBMI_MI,0,0,13,U_only,S2,0.640625
EEGNet,OpenBMI_MI,0,0,13,P_only,S1,0.59375
EEGNet,OpenBMI_MI,0,0,13,P_only,S2,0.578125
EEGNet,OpenBMI_MI,0,0,17,PU,S1,0.71875
EEGNet,OpenBMI_MI,0,0,17,PU,S2,0.609375
EEGNet,OpenBMI_MI,0,0,17,U_only,S1,0.71875
EEGNet,OpenBMI_MI,0,0,17,U_only,S2,0.609375
EEGNet,OpenBMI_MI,0,0,17,P_only,S1,0.515625
EEGNet,OpenBMI_MI,0,0,17,P_only,S2,0.578125
EEGNet,OpenBMI_MI,0,0,18,PU,S1,0.5625
EEGNet,OpenBMI_MI,0,0,18,PU,S2,0.578125
EEGNet,OpenBMI_MI,0,0,18,U_only,S1,0.5625
EEGNet,OpenBMI_MI,0,0,18,U_only,S2,0.578125
EEGNet,OpenBMI_MI,0,0,18,P_only,S1,0.546875
EEGNet,OpenBMI_MI,0,0,18,P_only,S2,0.5
EEGNet,OpenBMI_MI,0,0,24,PU,S1,0.609375
EEGNet,OpenBMI_MI,0,0,24,PU,S2,0.5
EEGNet,OpenBMI_MI,0,0,24,U_only,S1,0.609375
EEGNet,OpenBMI_MI,0,0,24,U_only,S2,0.5
EEGNet,OpenBMI_MI,0,0,24,P_only,S1,0.5
EEGNet,OpenBMI_MI,0,0,24,P_only,S2,0.546875
EEGNet,OpenBMI_MI,0,0,25,PU,S1,0.71875
EEGNet,OpenBMI_MI,0,0,25,PU,S2,0.953125
EEGNet,OpenBMI_MI,0,0,25,U_only,S1,0.71875
EEGNet,OpenBMI_MI,0,0,25,U_only,S2,0.953125
EEGNet,OpenBMI_MI,0,0,25,P_only,S1,0.5625
EEGNet,OpenBMI_MI,0,0,25,P_only,S2,0.84375
EEGNet,OpenBMI_MI,0,0,29,PU,S1,0.578125
EEGNet,OpenBMI_MI,0,0,29,PU,S2,0.515625
EEGNet,OpenBMI_MI,0,0,29,U_only,S1,0.578125
EEGNet,OpenBMI_MI,0,0,29,U_only,S2,0.515625
EEGNet,OpenBMI_MI,0,0,29,P_only,S1,0.46875
EEGNet,OpenBMI_MI,0,0,29,P_only,S2,0.546875
EEGNet,OpenBMI_MI,0,0,36,PU,S1,0.71875
EEGNet,OpenBMI_MI,0,0,36,PU,S2,0.765625
EEGNet,OpenBMI_MI,0,0,36,U_only,S1,0.71875
EEGNet,OpenBMI_MI,0,0,36,U_only,S2,0.765625
EEGNet,OpenBMI_MI,0,0,36,P_only,S1,0.671875
EEGNet,OpenBMI_MI,0,0,36,P_only,S2,0.671875
EEGNet,OpenBMI_MI,0,0,37,PU,S1,0.609375
EEGNet,OpenBMI_MI,0,0,37,PU,S2,0.625
EEGNet,OpenBMI_MI,0,0,37,U_only,S1,0.609375
EEGNet,OpenBMI_MI,0,0,37,U_only,S2,0.625
EEGNet,OpenBMI_MI,0,0,37,P_only,S1,0.53125
EEGNet,OpenBMI_MI,0,0,37,P_only,S2,0.515625
EEGNet,OpenBMI_MI,0,0,39,PU,S1,0.671875
EEGNet,OpenBMI_MI,0,0,39,PU,S2,0.546875
EEGNet,OpenBMI_MI,0,0,39,U_only,S1,0.671875
EEGNet,OpenBMI_MI,0,0,39,U_only,S2,0.546875
EEGNet,OpenBMI_MI,0,0,39,P_only,S1,0.625
EEGNet,OpenBMI_MI,0,0,39,P_only,S2,0.609375
EEGNet,OpenBMI_MI,0,0,42,PU,S1,0.546875
EEGNet,OpenBMI_MI,0,0,42,PU,S2,0.625
EEGNet,OpenBMI_MI,0,0,42,U_only,S1,0.546875
EEGNet,OpenBMI_MI,0,0,42,U_only,S2,0.625
EEGNet,OpenBMI_MI,0,0,42,P_only,S1,0.515625
EEGNet,OpenBMI_MI,0,0,42,P_only,S2,0.515625
EEGNet,OpenBMI_MI,0,0,51,PU,S1,0.59375
EEGNet,OpenBMI_MI,0,0,51,PU,S2,0.609375
EEGNet,OpenBMI_MI,0,0,51,U_only,S1,0.59375
EEGNet,OpenBMI_MI,0,0,51,U_only,S2,0.609375
EEGNet,OpenBMI_MI,0,0,51,P_only,S1,0.46875
EEGNet,OpenBMI_MI,0,0,51,P_only,S2,0.46875
EEGNet,OpenBMI_MI,0,0,54,PU,S1,0.53125
EEGNet,OpenBMI_MI,0,0,54,PU,S2,0.625
EEGNet,OpenBMI_MI,0,0,54,U_only,S1,0.53125
EEGNet,OpenBMI_MI,0,0,54,U_only,S2,0.625
EEGNet,OpenBMI_MI,0,0,54,P_only,S1,0.546875
EEGNet,OpenBMI_MI,0,0,54,P_only,S2,0.5
EEGNet,OpenBMI_MI,0,1,4,PU,S1,0.5625
EEGNet,OpenBMI_MI,0,1,4,PU,S2,0.71875
EEGNet,OpenBMI_MI,0,1,4,U_only,S1,0.5625
EEGNet,OpenBMI_MI,0,1,4,U_only,S2,0.71875
EEGNet,OpenBMI_MI,0,1,4,P_only,S1,0.59375
EEGNet,OpenBMI_MI,0,1,4,P_only,S2,0.65625
EEGNet,OpenBMI_MI,0,1,12,PU,S1,0.71875
EEGNet,OpenBMI_MI,0,1,12,PU,S2,0.6875
EEGNet,OpenBMI_MI,0,1,12,U_only,S1,0.71875
