task,variant,reference,subjects,delta_future_BA_pp,delta_future_BA_CI95_low_pp,delta_future_BA_CI95_high_pp,delta_future_macro_F1_pp,delta_future_macro_F1_CI95_low_pp,delta_future_macro_F1_CI95_high_pp,delta_WS_BA_pp,delta_WS_BA_CI95_low_pp,delta_WS_BA_CI95_high_pp
OpenBMI_MI,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-2.7428571428571416,-5.443214285714285,0.07142857142857359,-2.779007426480202,-5.903907016986724,0.44952286986061735,-3.457142857142857,-5.614285714285711,-1.142857142857146
OpenBMI_MI,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-5.271428571428574,-7.271428571428572,-3.1857142857142913,-5.3400367485507445,-7.553014252063121,-2.9813786409014167,-4.971428571428572,-7.014285714285715,-2.971428571428576
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-3.885714285714286,-6.114285714285715,-1.2857142857142903,-3.826523085726262,-6.331780289086511,-1.0775626525231214,-3.2428571428571424,-5.614285714285715,-0.5853571428571724
OpenBMI_MI,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.714285714285715,-2.52857142857143,1.1285714285714288,-0.7037644607987515,-2.727896245824175,1.299153318523604,-1.2714285714285702,-3.0142857142857147,0.5428571428571449
OpenBMI_ERP,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.31991341991342176,-0.034632034632034896,0.6844155844155851,0.35374234988664555,0.006489006640424225,0.7037986708187106,0.38313289702010056,-0.013403899516697581,0.7714445853317923
OpenBMI_ERP,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.6580086580086574,0.18441558441558384,1.1710064935064919,0.6890473857239764,0.13300770694121716,1.1968189353029706,0.5796699560798987,0.12294380826369546,1.0848497055804465
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.36406926406926504,-0.11386363636364076,0.8995670995671009,0.6437509594637236,0.1426657469435944,1.1951888275203033,0.4303172065452229,-0.2670715690212388,1.0784046214549532
OpenBMI_ERP,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.8437229437229442,-1.135508658008662,-0.5757467532467532,-1.234086836283977,-1.8924410936023994,-0.7276121235469394,-0.7251119004302794,-1.1056314728328112,-0.3930627705627721
OpenBMI_SSVEP,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-0.15714285714285808,-1.199999999999997,0.9571428571428543,-0.20108849635306827,-1.188910794629453,0.8602117072775839,-0.2857142857142852,-1.2999999999999938,0.7428571428571388
OpenBMI_SSVEP,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-1.514285714285715,-3.014285714285713,-0.3000000000000026,-1.4442554881895917,-3.0049643313985697,-0.22689184242151816,-1.2285714285714273,-2.3285714285714243,-0.2285714285714288
OpenBMI_SSVEP,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,14,0.04285714285714207,-1.0857142857142876,1.2142857142857146,-0.08506902497722381,-1.1542490510856507,0.9855278987582969,0.45714285714285513,-0.5000000000000037,1.4571428571428544
OpenBMI_SSVEP,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,14,-3.3857142857142857,-5.499999999999998,-1.4857142857142875,-3.5870816281759508,-5.784873616165762,-1.6082845542521003,-4.685714285714285,-7.628571428571428,-2.2285714285714264
WBCIC_MI,B1_SAME_SCALE_63,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-0.4400000000000025,-1.6300000000000037,0.7099999999999962,-0.43171447972668975,-1.7746144416019367,0.8291909330575313,-1.6099999999999977,-3.199999999999999,-0.32999999999999585
WBCIC_MI,B2_SCALE_COLLAPSE,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-1.28,-2.509999999999999,-0.10000000000000009,-1.456916192123462,-2.8162072023285125,-0.12596537712602612,-2.209999999999998,-4.019999999999996,-0.5700000000000005
WBCIC_MI,B3_SINGLE_SPATIAL_BASIS,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-0.6800000000000006,-2.180000000000001,0.8300000000000007,-0.615985112930626,-2.162169694180442,0.9775882146347863,-1.339999999999999,-3.0100000000000007,0.11000000000000121
WBCIC_MI,B4_ONE_STAGE_BACKEND,OFFICIAL_FINAL_LITEBN_REFERENCE,10,-2.030000000000002,-3.65,-0.5200000000000038,-2.0980550850180513,-3.7864709582215226,-0.4871141308730021,-2.290000000000001,-3.5399999999999983,-0.8897500000000217
