model,task,variant,seed,fold,epoch,train_loss,inner_val_BA,eligible,selected_at_epoch
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,1,0.7247101125263032,0.5716666666666668,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,2,0.6532045432499477,0.58,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,3,0.6422214564822969,0.615,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,4,0.6222855363573346,0.6116666666666667,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,5,0.5872818373498463,0.6366666666666666,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,6,0.6060328880945841,0.6183333333333333,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,7,0.5844745096706209,0.6366666666666667,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,8,0.5666385605221703,0.6483333333333333,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,9,0.554921689487639,0.6533333333333333,False,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,10,0.5514316700753712,0.6583333333333333,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,11,0.5205845676717304,0.6733333333333335,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,12,0.5072586337725321,0.6466666666666666,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,13,0.4982970825263432,0.6633333333333334,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,14,0.5114497102442241,0.6483333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,15,0.4727602388177599,0.6750000000000002,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,16,0.46526321059181575,0.6766666666666666,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,17,0.490925798813502,0.6866666666666666,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,18,0.4755012094974518,0.68,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,19,0.44808307715824675,0.6683333333333334,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,20,0.450110524892807,0.6633333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,21,0.4637008891219184,0.6733333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,22,0.4405232455049242,0.7033333333333333,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,23,0.43581601125853403,0.6783333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,24,0.420008632398787,0.68,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,25,0.42949903578985305,0.68,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,26,0.4346784750620524,0.6633333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,27,0.4185146206901187,0.6866666666666666,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,28,0.40316565263838994,0.71,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,29,0.40102948319344295,0.7133333333333334,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,30,0.3902381757895152,0.69,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,31,0.3953929160322462,0.7233333333333333,True,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,32,0.4081715288616362,0.6950000000000002,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,33,0.39794974667685373,0.695,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,34,0.4025651997043973,0.695,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,35,0.3691676372573489,0.6916666666666668,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,36,0.3782027278627668,0.7066666666666667,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,37,0.3809519495282854,0.6783333333333333,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,38,0.3697089439346677,0.695,True,False
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,39,0.3564689499991281,0.6750000000000002,True,False
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,1,0.713519709450858,0.5499999999999999,False,False
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,2,0.6512050798961094,0.585,False,False
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,3,0.6229728744143531,0.6033333333333334,False,False
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,4,0.5972160725366502,0.5983333333333334,False,False
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,5,0.5829176306724548,0.6366666666666667,False,False
