model,task,variant,seed,fold,selected_epoch,inner_val_BA,epochs_ran,early_stopped,checkpoint,checkpoint_sha256,elapsed_seconds,trainable_parameters,reused_protocol_identical,reference_only
LiteBN,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,,47978,False,True
LiteBN,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,1,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,,47978,False,True
LiteBN,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,2,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,,47978,False,True
LiteBN,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,3,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,,47978,False,True
LiteBN,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,4,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed0_litebn/selected_best.pt,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,,47978,False,True
LiteBN,OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold0_seed0_litebn/selected_best.pt,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,,47978,False,True
LiteBN,OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,1,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold1_seed0_litebn/selected_best.pt,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,,47978,False,True
LiteBN,OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,2,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold2_seed0_litebn/selected_best.pt,58fc6dc4928d3ab4b8a85ba59773d740388233db674ed3200485ece132a8a3c6,,47978,False,True
LiteBN,OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,3,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold3_seed0_litebn/selected_best.pt,116e47d97d6b3c9e5e55bc077a0ba3ce8d06c99f4b575aebcbd42cef2363dca6,,47978,False,True
LiteBN,OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,4,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/erp_fold4_seed0_litebn/selected_best.pt,4caeea4ba87063b74c542024a30a05d044454583c0d10a10dccb5228513f421b,,47978,False,True
LiteBN,OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,,48108,False,True
LiteBN,OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,1,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,,48108,False,True
LiteBN,OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,2,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold2_seed0_litebn/selected_best.pt,393369f8bbeb7ed6cf7d11ff2e8634ec97c659caac0a69d0e16b4ee09210e5b8,,48108,False,True
LiteBN,OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,3,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold3_seed0_litebn/selected_best.pt,69f2772a3ba8dc5ffb15cf63533bb9e590293fb58e7d095b4121b3fd78786fd0,,48108,False,True
LiteBN,OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,4,,,60,False,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold4_seed0_litebn/selected_best.pt,ade61a2103ff649aa1d4810b29c9006dcfdee9f80bde04ebe2af941681c32273,,48108,False,True
LiteBN,WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold0_seed0_litebn/selected_best.pt,7fe7b939e760fcc91ed6b8035a9f611f8f2839a442b36810a75ca6ff89c3b267,,47786,False,True
LiteBN,WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,1,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold1_seed0_litebn/selected_best.pt,838161c589c8ba47b6ac391b90d97ce785fc98b277f84d3d22730e126122838f,,47786,False,True
LiteBN,WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,2,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold2_seed0_litebn/selected_best.pt,8cb100fba157c5220ae7a9313f7665d683cd96cb315fefd0ce8e3314fc73eb01,,47786,False,True
LiteBN,WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,3,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold3_seed0_litebn/selected_best.pt,9d4e6a2babb8d1b0febca64f5944319c3612f2c442c3580084d43f33c600f614,,47786,False,True
LiteBN,WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,4,,,60,False,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/wbcic_fold4_seed0_litebn/selected_best.pt,e9cce7a3ca4470c9727670a3135261acc7fa07a811d48ba5a7b74c44442b0807,,47786,False,True
LiteBN,OpenBMI_MI,B1_SAME_SCALE_63,0,0,31.0,0.7233333333333333,39,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,1e2e4993f771e565a3e6e4c5185b54b75a660fd9509ef041e1fe6e4591e7a6b4,68.46623025927693,47850,,
LiteBN,OpenBMI_MI,B2_SCALE_COLLAPSE,0,0,32.0,0.7116666666666666,40,True,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,8f07b191e820355569845847cea9a75f8ea0406f119d6e3185faf60b5d4a990b,68.67159596644342,47978,,
