task,variant,params,MACs_T1000,biological_subjects,future_BA,future_macro_F1,WS_BA
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,47978,106396896,14,0.7448571428571429,0.7371565373269793,0.7112857142857143
OpenBMI_MI,B1_SAME_SCALE_63,47850,98460896,14,0.7174285714285714,0.7093664630621773,0.6767142857142857
OpenBMI_MI,B2_SCALE_COLLAPSE,47978,106396896,14,0.6921428571428571,0.683756169841472,0.6615714285714286
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,46874,105292896,14,0.7059999999999998,0.6988913064697168,0.6788571428571428
OpenBMI_MI,B4_ONE_STAGE_BACKEND,41770,105636896,14,0.7377142857142857,0.730118892718992,0.6985714285714286
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,47978,106396896,14,0.8465454545454545,0.8040400000928571,0.8150455661177312
OpenBMI_ERP,B1_SAME_SCALE_63,47850,98460896,14,0.8497445887445888,0.8075774235917236,0.818876895087932
OpenBMI_ERP,B2_SCALE_COLLAPSE,47978,106396896,14,0.853125541125541,0.8109304739500968,0.82084226567853
OpenBMI_ERP,B3_SINGLE_SPATIAL_BASIS,46874,105292896,14,0.8501861471861473,0.8104775096874943,0.8193487381831834
OpenBMI_ERP,B4_ONE_STAGE_BACKEND,41770,105636896,14,0.8381082251082252,0.7916991317300174,0.8077944471134284
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,48108,106397024,14,0.9069999999999999,0.9058052181881715,0.8978571428571428
OpenBMI_SSVEP,B1_SAME_SCALE_63,47980,98461024,14,0.9054285714285715,0.9037943332246406,0.8949999999999999
OpenBMI_SSVEP,B2_SCALE_COLLAPSE,48108,106397024,14,0.8918571428571429,0.8913626633062756,0.8855714285714287
OpenBMI_SSVEP,B3_SINGLE_SPATIAL_BASIS,47004,105293024,14,0.9074285714285715,0.9049545279383991,0.9024285714285714
OpenBMI_SSVEP,B4_ONE_STAGE_BACKEND,41900,105637024,14,0.8731428571428571,0.8699344019064119,0.851
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,47786,99644896,10,0.8093,0.8079176653660076,0.7352
WBCIC_MI,B1_SAME_SCALE_63,47658,92220896,10,0.8049,0.8036005205687407,0.7191000000000001
WBCIC_MI,B2_SCALE_COLLAPSE,47786,99644896,10,0.7965,0.7933485034447729,0.7131
WBCIC_MI,B3_SINGLE_SPATIAL_BASIS,46778,98636896,10,0.8024999999999999,0.8017578142367012,0.7218000000000001
WBCIC_MI,B4_ONE_STAGE_BACKEND,41578,98884896,10,0.7889999999999999,0.786937114515827,0.7123
