task,variant,subject_id,future_BA,future_macro_F1,WS_BA,S1_BA,S2_BA,S1_macro_F1,S2_macro_F1,S0_BA,S0_macro_F1
OpenBMI_ERP,B1_SAME_SCALE_63,12,0.962,0.9211598252351573,0.9412727272727273,0.9412727272727273,0.962,0.8758826166791593,0.9211598252351573,,
OpenBMI_ERP,B1_SAME_SCALE_63,13,0.9156363636363636,0.8476243644746493,0.9061212121212121,0.9061212121212121,0.9156363636363636,0.8314326349698925,0.8476243644746493,,
OpenBMI_ERP,B1_SAME_SCALE_63,17,0.8187878787878787,0.7287493308359491,0.8187878787878787,0.8280000000000001,0.8187878787878787,0.7485033682220683,0.7287493308359491,,
OpenBMI_ERP,B1_SAME_SCALE_63,18,0.9150303030303031,0.8864529583883565,0.7565795615340793,0.7565795615340793,0.9150303030303031,0.7520193081671515,0.8864529583883565,,
OpenBMI_ERP,B1_SAME_SCALE_63,24,0.8158787878787879,0.7598485144212216,0.8158787878787879,0.9387878787878787,0.8158787878787879,0.880240079598425,0.7598485144212216,,
OpenBMI_ERP,B1_SAME_SCALE_63,25,0.8034545454545455,0.7958853149850701,0.8034545454545455,0.8118181818181818,0.8034545454545455,0.8083061737322152,0.7958853149850701,,
OpenBMI_ERP,B1_SAME_SCALE_63,29,0.8386060606060607,0.8146929020143577,0.8047272727272727,0.8047272727272727,0.8386060606060607,0.7829196521909516,0.8146929020143577,,
OpenBMI_ERP,B1_SAME_SCALE_63,36,0.9492121212121212,0.8878756937290276,0.9482424242424242,0.9482424242424242,0.9492121212121212,0.8963614528288035,0.8878756937290276,,
OpenBMI_ERP,B1_SAME_SCALE_63,37,0.9461818181818181,0.9256854014391959,0.8526666666666667,0.8526666666666667,0.9461818181818181,0.798298580374851,0.9256854014391959,,
OpenBMI_ERP,B1_SAME_SCALE_63,39,0.7069090909090909,0.6761295123360377,0.7069090909090909,0.8426060606060606,0.7069090909090909,0.760329466699347,0.6761295123360377,,
OpenBMI_ERP,B1_SAME_SCALE_63,4,0.9071515151515153,0.8762077319336715,0.7955757575757576,0.7955757575757576,0.9071515151515153,0.7869304675108906,0.8762077319336715,,
OpenBMI_ERP,B1_SAME_SCALE_63,42,0.8467878787878789,0.8103066568759486,0.8467878787878789,0.9138787878787878,0.8467878787878789,0.8589224483922578,0.8103066568759486,,
OpenBMI_ERP,B1_SAME_SCALE_63,51,0.7528484848484849,0.6833550577512323,0.7528484848484849,0.8680606060606062,0.7528484848484849,0.810118089497214,0.6833550577512323,,
OpenBMI_ERP,B1_SAME_SCALE_63,54,0.717939393939394,0.6921106658642552,0.7144242424242424,0.7144242424242424,0.717939393939394,0.6879154447152503,0.6921106658642552,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,12,0.9646666666666667,0.9244927427120555,0.9403636363636364,0.9403636363636364,0.9646666666666667,0.871405929944825,0.9244927427120555,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,13,0.9200606060606061,0.8541750431672147,0.9102424242424242,0.9102424242424242,0.9200606060606061,0.8381368767216684,0.8541750431672147,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,17,0.8118787878787879,0.7184743305768982,0.8118181818181818,0.8118181818181818,0.8118787878787879,0.7222710661449673,0.7184743305768982,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,18,0.9076969696969697,0.8825693586954794,0.7593674770751787,0.7593674770751787,0.9076969696969697,0.7539717698837516,0.8825693586954794,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,24,0.842060606060606,0.7743561188891225,0.842060606060606,0.9530303030303031,0.842060606060606,0.900129646429791,0.7743561188891225,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,25,0.7942424242424242,0.7880577398499536,0.7942424242424242,0.8103030303030303,0.7942424242424242,0.811256897751424,0.7880577398499536,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,29,0.8513939393939394,0.8236364463303716,0.794969696969697,0.794969696969697,0.8513939393939394,0.7807008087714375,0.8236364463303716,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,36,0.9558181818181819,0.9014569439863875,0.9508484848484848,0.9508484848484848,0.9558181818181819,0.896820265825007,0.9014569439863875,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,37,0.9452121212121212,0.9209077062305632,0.8562424242424242,0.8562424242424242,0.9452121212121212,0.8102177421705242,0.9209077062305632,,
OpenBMI_ERP,B2_SCALE_COLLAPSE,39,0.7138181818181819,0.6747331457174701,0.7138181818181819,0.8367878787878787,0.7138181818181819,0.758154975956588,0.6747331457174701,,
