subject,ba,run,model
14,0.615,fold-2/seed-0,control
16,0.76,fold-2/seed-0,control
17,0.735,fold-2/seed-0,control
25,0.845,fold-2/seed-0,control
30,0.695,fold-2/seed-0,control
49,0.75,fold-2/seed-0,control
5,0.8600000000000001,fold-2/seed-0,control
6,0.8400000000000001,fold-2/seed-0,control
9,0.7849999999999999,fold-2/seed-0,control
