draw,alpha,fused_BA,base_BA,delta_BA,dims
0,0.0,0.755,0.755,0.0,"[6, 8, 9, 10]"
1,0.0,0.755,0.755,0.0,"[5, 7, 18, 19]"
2,0.0,0.755,0.755,0.0,"[1, 6, 10, 12]"
3,0.0,0.755,0.755,0.0,"[6, 14, 15, 19]"
4,0.0,0.755,0.755,0.0,"[1, 7, 14, 15]"
5,0.1,0.7544444444444445,0.755,-0.0005555555555555314,"[4, 5, 8, 13]"
6,0.0,0.755,0.755,0.0,"[3, 7, 15, 17]"
7,0.0,0.755,0.755,0.0,"[1, 5, 13, 16]"
8,0.0,0.755,0.755,0.0,"[0, 2, 9, 10]"
9,0.0,0.755,0.755,0.0,"[5, 6, 13, 16]"
10,0.0,0.755,0.755,0.0,"[6, 9, 11, 17]"
11,0.0,0.755,0.755,0.0,"[1, 8, 12, 19]"
12,0.0,0.755,0.755,0.0,"[3, 9, 13, 19]"
13,0.0,0.755,0.755,0.0,"[7, 9, 14, 15]"
14,0.0,0.755,0.755,0.0,"[5, 6, 15, 17]"
15,0.0,0.755,0.755,0.0,"[0, 4, 10, 11]"
16,0.0,0.755,0.755,0.0,"[6, 8, 16, 18]"
17,0.0,0.755,0.755,0.0,"[2, 9, 14, 19]"
18,0.0,0.755,0.755,0.0,"[2, 5, 7, 11]"
19,0.0,0.755,0.755,0.0,"[3, 12, 14, 19]"
20,0.1,0.7522222222222221,0.755,-0.002777777777777879,"[2, 5, 7, 13]"
21,0.0,0.755,0.755,0.0,"[2, 14, 15, 17]"
22,0.0,0.755,0.755,0.0,"[1, 7, 9, 19]"
23,0.0,0.755,0.755,0.0,"[3, 7, 13, 18]"
24,0.0,0.755,0.755,0.0,"[0, 4, 8, 11]"
25,0.1,0.7483333333333333,0.755,-0.00666666666666671,"[1, 5, 9, 11]"
26,0.1,0.7522222222222222,0.755,-0.002777777777777768,"[0, 10, 13, 19]"
27,0.0,0.755,0.755,0.0,"[7, 8, 12, 19]"
28,0.0,0.755,0.755,0.0,"[3, 5, 15, 16]"
29,0.0,0.755,0.755,0.0,"[1, 6, 7, 18]"
30,0.0,0.755,0.755,0.0,"[4, 8, 16, 18]"
31,0.1,0.7533333333333334,0.755,-0.0016666666666665941,"[0, 2, 11, 12]"
32,0.1,0.7544444444444445,0.755,-0.0005555555555555314,"[4, 7, 12, 13]"
33,0.0,0.755,0.755,0.0,"[7, 10, 14, 16]"
34,0.0,0.755,0.755,0.0,"[5, 10, 15, 17]"
35,0.0,0.755,0.755,0.0,"[4, 7, 11, 19]"
36,0.1,0.7527777777777778,0.755,-0.0022222222222222365,"[2, 13, 15, 19]"
37,0.0,0.755,0.755,0.0,"[0, 1, 3, 6]"
38,0.0,0.755,0.755,0.0,"[6, 14, 15, 19]"
39,0.0,0.755,0.755,0.0,"[2, 10, 15, 16]"
40,0.0,0.755,0.755,0.0,"[4, 12, 14, 16]"
41,0.0,0.755,0.755,0.0,"[5, 8, 15, 19]"
42,0.0,0.755,0.755,0.0,"[0, 4, 5, 16]"
43,0.0,0.755,0.755,0.0,"[8, 10, 16, 17]"
44,0.0,0.755,0.755,0.0,"[0, 3, 5, 19]"
45,0.0,0.755,0.755,0.0,"[11, 14, 15, 17]"
46,0.0,0.755,0.755,0.0,"[0, 6, 18, 19]"
47,0.0,0.755,0.755,0.0,"[1, 7, 8, 18]"
48,0.0,0.755,0.755,0.0,"[3, 14, 15, 18]"
49,0.0,0.755,0.755,0.0,"[5, 8, 14, 18]"
50,0.0,0.755,0.755,0.0,"[3, 5, 10, 17]"
51,0.0,0.755,0.755,0.0,"[10, 12, 14, 16]"
52,0.0,0.755,0.755,0.0,"[0, 1, 3, 14]"
53,0.0,0.755,0.755,0.0,"[1, 2, 5, 10]"
54,0.0,0.755,0.755,0.0,"[0, 1, 5, 17]"
55,0.0,0.755,0.755,0.0,"[5, 9, 17, 18]"
56,0.0,0.755,0.755,0.0,"[2, 10, 17, 18]"
57,0.0,0.755,0.755,0.0,"[0, 2, 7, 16]"
58,0.0,0.755,0.755,0.0,"[5, 7, 9, 10]"
59,0.0,0.755,0.755,0.0,"[0, 3, 11, 16]"
60,0.1,0.755,0.755,0.0,"[2, 6, 13, 17]"
61,0.0,0.755,0.755,0.0,"[2, 6, 8, 10]"
62,0.0,0.755,0.755,0.0,"[1, 2, 3, 7]"
63,0.0,0.755,0.755,0.0,"[1, 4, 5, 10]"
64,0.0,0.755,0.755,0.0,"[8, 11, 15, 17]"
65,0.0,0.755,0.755,0.0,"[3, 8, 10, 13]"
66,0.0,0.755,0.755,0.0,"[3, 8, 9, 10]"
67,0.0,0.755,0.755,0.0,"[0, 6, 11, 18]"
68,0.0,0.755,0.755,0.0,"[0, 6, 13, 19]"
69,0.0,0.755,0.755,0.0,"[0, 1, 3, 15]"
70,0.0,0.755,0.755,0.0,"[8, 11, 12, 17]"
71,0.0,0.755,0.755,0.0,"[5, 11, 16, 17]"
72,0.1,0.7494444444444445,0.755,-0.005555555555555536,"[5, 9, 12, 15]"
73,0.0,0.755,0.755,0.0,"[0, 8, 16, 17]"
74,0.0,0.755,0.755,0.0,"[4, 5, 17, 19]"
75,0.0,0.755,0.755,0.0,"[9, 14, 17, 19]"
76,0.0,0.755,0.755,0.0,"[3, 11, 14, 19]"
