dataset,requested_budget,strategy,calibration_scheme,n_subjects,calibration_m,order_statistic_k,q_mean,q_median,q_max,raw_spearman,raw_mae,global_mae,raw_mae_improvement,raw_underestimation,raw_gain,raw_gain_ci_low,raw_gain_ci_high,raw_oracle_recovery,calibrated_violation_mean,worst_seed_violation,max_seed_cp_upper,calibrated_gain,calibrated_gain_ci_low,calibrated_gain_ci_high,calibrated_oracle_recovery,sentinel_rate,global_sentinel_rate,sentinel_delta,sentinel_transition_rate,method_correction_cost,global_correction_cost,excess_correction_cost,raw_gate_pass
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,8.645322576869686,6.497799352923295,17.0,0.44935870095652936,2.4786107463250286,6.126153846153846,0.5954050765667331,0.6001538461538461,-0.6855527494589612,-1.3157435762483132,-1.0959311842105264,-78388206140350.88,0.024615384615384615,0.038461538461538464,,-0.033109782307067334,-0.15832767206477724,-0.09140542510121454,-0.23537970403626204,0.7101538461538461,0.04307692307692309,0.667076923076923,0.6812307692307692,0.9336952429149797,2.0147165991902836,-1.0810213562753037,False
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,8.645322576869686,6.497799352923295,17.0,0.23302755327421873,2.8588678097377405,6.126153846153846,0.5333339838449193,0.6523076923076923,-0.6143837681461837,-1.2329535087719299,-0.9267851551956816,-70250526315789.48,0.033846153846153845,0.046153846153846156,0.11498716462527742,-0.0220340965006637,-0.13990649460188925,-0.020545529689608724,-0.15664189709654536,0.6676923076923077,0.04307692307692309,0.6246153846153846,0.6553846153846153,1.017092442645074,2.0147165991902836,-0.9976241565452092,False
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,6.007961351019661,5.399063473223782,14.722880594727556,0.543366248037574,1.8958948373132567,6.126153846153846,0.6905244489569018,0.6020000000000001,-0.7420901319589939,-1.4182231258434548,-1.1887103913630228,-84852864035087.72,0.025846153846153845,0.033846153846153845,,-0.025128789851009282,-0.12793907051282044,-0.06028683367071518,-0.17864228351200806,0.5678461538461539,0.04307692307692309,0.5247692307692308,0.5336923076923077,0.8041199730094466,2.0147165991902836,-1.2105966261808367,False
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,6.007961351019661,5.399063473223782,14.722880594727556,0.4557921783405674,1.8950258415483636,6.126153846153846,0.6906662990943153,0.6246153846153847,-0.7234783595995737,-1.3976454790823212,-1.1448529014844806,-82724736842105.27,0.036923076923076927,0.06153846153846154,0.1353119711320861,-0.019869718954547533,-0.1221140350877193,-0.023942712550607308,-0.14125518928002156,0.5169230769230769,0.04307692307692309,0.47384615384615386,0.49230769230769234,0.8170134952766531,2.0147165991902836,-1.19770310391363,False
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,3.6074887816989847,3.0,10.0625,0.6499562763969241,1.4338335888020264,6.126153846153846,0.7659488114712915,0.5733846153846153,-0.7646059181702339,-1.4598651214574898,-1.2271175573549262,-87427388157894.73,0.0456923076923077,0.0676923076923077,,0.0014005158746052094,-0.04888191295546564,0.06337846406882594,0.009956363016989572,0.3418461538461539,0.04307692307692309,0.29876923076923084,0.3216923076923077,0.6643945344129554,2.0147165991902836,-1.350322064777328,False
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,3.6074887816989847,3.0,10.0625,0.6057315900256971,1.4749126237098944,6.126153846153846,0.7592432934677471,0.6,-0.7443489161196184,-1.4305035087719298,-1.185324527665317,-85111140350877.19,0.06153846153846154,0.09230769230769231,0.17407671202454578,0.0126481539227354,-0.01831423751686903,0.12077253711201091,0.08991659018860644,0.32,0.04307692307692309,0.27692307692307694,0.29846153846153844,0.6575823211875844,2.0147165991902836,-1.357134278002699,False
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,3.254344717858398,3.0,6.51503948727791,0.6349864598892636,1.3777097598283685,6.126153846153846,0.7751101597467505,0.5292307692307693,-0.7720326103884049,-1.4772055330634277,-1.2325549595141703,-88276578947368.42,0.03076923076923077,0.06153846153846154,,0.0027365384835446255,-0.05201484480431861,0.07914789136302276,0.019454239003047925,0.31692307692307686,0.04307692307692309,0.2738461538461538,0.27692307692307694,0.6462881241565451,2.0147165991902836,-1.3684284750337383,False
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,65,14,14,3.254344717858398,3.0,6.51503948727791,0.6349864598892636,1.3777097598283685,6.126153846153846,0.7751101597467505,0.5292307692307693,-0.7720326103884049,-1.4772055330634277,-1.2325549595141703,-88276578947368.42,0.03076923076923077,0.06153846153846154,0.1353119711320861,0.0027365384835446424,-0.05201484480431857,0.0791478913630229,0.01945423900304804,0.31692307692307686,0.04307692307692309,0.2738461538461538,0.27692307692307694,0.646288124156545,2.0147165991902836,-1.368428475033738,False
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,90,16,19,5.042804232804233,5.0,7.0,0.547793171263663,2.5142336982549716,2.6666666666666665,0.05716236315438561,0.4574444444444445,-0.024127731752106193,-0.1106946296296296,0.00696300925925925,-4302999999999.999,0.050777777777777776,0.06166666666666666,,0.006487784930418205,-0.17215372685185185,0.215815150462963,0.0164955599440252,0.31133333333333335,0.17777777777777778,0.13355555555555557,0.30566666666666664,1.5474611111111114,1.6186296296296296,-0.07116851851851859,False
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,90,16,19,5.042804232804233,5.0,7.0,0.4177996214907094,2.45476578992939,2.6666666666666665,0.0794628287764787,0.4711111111111111,-0.007111783973721005,-0.09100439814814824,0.054822685185185016,-1268333333333.3386,0.04888888888888889,0.07777777777777778,0.14112572639106263,0.0301988308304807,-0.14108657407407407,0.35729583333333276,0.07678223454481253,0.27555555555555555,0.17777777777777778,0.09777777777777777,0.27111111111111114,1.495814814814815,1.6186296296296296,-0.12281481481481483,False
