fold,seed,task,subject,protected_ba,random_mean_ba,delta
0,0,mi,11,0.703125,0.530859375,0.17226562499999998
0,0,mi,12,0.7421875,0.605234375,0.136953125
0,0,mi,15,0.84375,0.525625,0.318125
0,0,mi,16,0.90625,0.561953125,0.34429687499999995
0,0,mi,18,0.9375,0.63953125,0.29796875
0,0,mi,20,0.828125,0.57484375,0.25328125
0,0,mi,21,0.96875,0.705,0.26375000000000004
0,0,mi,22,0.7578125,0.538671875,0.21914062499999998
0,0,mi,23,0.859375,0.592265625,0.267109375
0,0,mi,24,0.7265625,0.592578125,0.13398437500000004
0,0,mi,25,0.84375,0.559609375,0.28414062500000004
0,0,mi,26,0.828125,0.536328125,0.29179687499999996
0,0,mi,27,0.8515625,0.57140625,0.28015625
0,0,mi,29,0.8984375,0.70109375,0.19734375000000004
0,0,mi,30,0.796875,0.548828125,0.248046875
0,0,mi,31,0.84375,0.586328125,0.257421875
0,0,mi,34,0.6484375,0.5078125,0.140625
0,0,mi,35,0.953125,0.61078125,0.34234374999999995
0,0,mi,37,0.9453125,0.6446875,0.30062500000000003
0,0,mi,38,0.7265625,0.535078125,0.19148437500000004
0,0,mi,39,0.859375,0.60359375,0.25578124999999996
0,0,mi,4,0.6953125,0.574765625,0.12054687500000005
0,0,mi,41,0.6953125,0.58015625,0.11515624999999996
0,0,mi,42,0.7265625,0.57890625,0.14765625000000004
0,0,mi,43,0.875,0.56046875,0.31453125000000004
0,0,mi,44,0.9453125,0.685859375,0.25945312499999995
0,0,mi,46,0.7890625,0.523515625,0.26554687499999996
0,0,mi,49,0.8125,0.603125,0.20937499999999998
0,0,mi,5,0.921875,0.613359375,0.30851562499999996
0,0,mi,51,0.6953125,0.571015625,0.12429687499999997
0,0,mi,52,0.7734375,0.548984375,0.22445312500000003
0,0,mi,7,0.75,0.573828125,0.17617187499999998
0,0,mi,8,0.7890625,0.598515625,0.190546875
0,0,mi,9,0.8671875,0.645546875,0.22164062500000004
0,0,erp,11,0.6796875,0.549453125,0.130234375
0,0,erp,12,0.703125,0.549765625,0.15335937499999996
0,0,erp,15,0.6953125,0.55625,0.13906249999999998
0,0,erp,16,0.625,0.522421875,0.10257812499999996
0,0,erp,18,0.65625,0.564375,0.09187500000000004
0,0,erp,20,0.703125,0.550390625,0.15273437499999998
0,0,erp,21,0.578125,0.566875,0.011249999999999982
0,0,erp,22,0.734375,0.53171875,0.20265624999999998
0,0,erp,23,0.484375,0.48578125,-0.0014062499999999978
0,0,erp,24,0.6953125,0.552265625,0.14304687500000002
0,0,erp,25,0.71875,0.513359375,0.20539062500000005
0,0,erp,26,0.6640625,0.53015625,0.13390625
0,0,erp,27,0.6640625,0.539140625,0.12492187499999996
0,0,erp,29,0.6015625,0.550546875,0.05101562500000001
0,0,erp,30,0.6875,0.535625,0.15187499999999998
0,0,erp,31,0.6640625,0.5490625,0.11499999999999999
0,0,erp,34,0.6484375,0.5078125,0.140625
0,0,erp,35,0.625,0.5740625,0.05093749999999997
0,0,erp,37,0.625,0.5409375,0.08406250000000004
0,0,erp,38,0.6875,0.55203125,0.13546875000000003
0,0,erp,39,0.71875,0.536171875,0.18257812500000004
0,0,erp,4,0.6015625,0.49640625,0.10515625
0,0,erp,41,0.734375,0.569296875,0.16507812499999996
0,0,erp,42,0.7265625,0.525078125,0.20148437500000005
0,0,erp,43,0.7578125,0.52796875,0.22984375
0,0,erp,44,0.75,0.525390625,0.224609375
0,0,erp,46,0.7265625,0.497890625,0.22867187500000002
0,0,erp,49,0.671875,0.5584375,0.11343749999999997
0,0,erp,5,0.671875,0.520546875,0.15132812500000004
0,0,erp,51,0.6171875,0.53234375,0.08484375
0,0,erp,52,0.6171875,0.54125,0.07593749999999999
0,0,erp,7,0.6484375,0.495,0.1534375
0,0,erp,8,0.6171875,0.541796875,0.07539062500000004
0,0,erp,9,0.578125,0.513125,0.06499999999999995
0,0,ssvep,11,1.0,0.9951000000000002,0.004899999999999793
0,0,ssvep,12,0.99,0.92455,0.06545000000000001
0,0,ssvep,15,0.98,0.8975000000000002,0.0824999999999998
0,0,ssvep,16,1.0,0.9645999999999998,0.03540000000000021
0,0,ssvep,18,0.98,0.9589500000000001,0.021049999999999902
0,0,ssvep,20,1.0,0.7874500000000002,0.2125499999999998
0,0,ssvep,21,0.975,0.6771000000000003,0.2978999999999997
0,0,ssvep,22,0.9349999999999999,0.6137,0.3212999999999999
0,0,ssvep,23,0.625,0.40615,0.21885
0,0,ssvep,24,0.995,0.75615,0.23885
0,0,ssvep,25,1.0,0.8901,0.1099
0,0,ssvep,26,0.99,0.8847999999999999,0.10520000000000007
0,0,ssvep,27,0.99,0.9444500000000001,0.04554999999999987
0,0,ssvep,29,0.98,0.7121500000000001,0.2678499999999999
0,0,ssvep,30,0.995,0.7835500000000001,0.21144999999999992
0,0,ssvep,31,1.0,0.9682999999999999,0.03170000000000006
0,0,ssvep,34,0.84,0.5764,0.26359999999999995
0,0,ssvep,35,0.995,0.8438999999999998,0.15110000000000023
0,0,ssvep,37,0.99,0.93385,0.05615000000000003
0,0,ssvep,38,1.0,0.8980499999999999,0.1019500000000001
0,0,ssvep,39,1.0,0.86775,0.13224999999999998
0,0,ssvep,4,1.0,0.9733499999999999,0.026650000000000063
0,0,ssvep,41,0.99,0.9205500000000001,0.0694499999999999
0,0,ssvep,42,0.835,0.71405,0.12095
0,0,ssvep,43,1.0,0.9739999999999999,0.026000000000000134
0,0,ssvep,44,0.995,0.8429000000000001,0.1520999999999999
0,0,ssvep,46,0.99,0.8783,0.11170000000000002
0,0,ssvep,49,0.995,0.9437499999999999,0.05125000000000013
0,0,ssvep,5,0.855,0.6812999999999999,0.17370000000000008
0,0,ssvep,51,0.855,0.63215,0.22285
0,0,ssvep,52,1.0,0.7232000000000002,0.2767999999999998
0,0,ssvep,7,1.0,0.9284000000000003,0.07159999999999966
0,0,ssvep,8,0.945,0.60215,0.34285
0,0,ssvep,9,0.985,0.8364999999999999,0.14850000000000008
0,1,mi,11,0.6953125,0.58109375,0.11421875000000004
0,1,mi,12,0.8828125,0.544453125,0.338359375
0,1,mi,15,0.8515625,0.502890625,0.34867187499999996
0,1,mi,16,0.84375,0.62890625,0.21484375
0,1,mi,18,0.8828125,0.797734375,0.085078125
0,1,mi,20,0.828125,0.538515625,0.28960937499999995
0,1,mi,21,0.9765625,0.91625,0.06031249999999999
0,1,mi,22,0.75,0.597421875,0.152578125
0,1,mi,23,0.84375,0.733671875,0.11007812500000003
0,1,mi,24,0.71875,0.634453125,0.08429687500000005
0,1,mi,25,0.8515625,0.427578125,0.423984375
0,1,mi,26,0.8046875,0.645546875,0.15914062500000004
0,1,mi,27,0.8984375,0.535546875,0.362890625
0,1,mi,29,0.84375,0.776953125,0.06679687499999998
0,1,mi,30,0.78125,0.609921875,0.17132812500000005
0,1,mi,31,0.84375,0.587109375,0.25664062499999996
0,1,mi,34,0.6484375,0.55265625,0.09578125000000004
0,1,mi,35,0.9453125,0.481484375,0.463828125
0,1,mi,37,0.9296875,0.831171875,0.098515625
0,1,mi,38,0.765625,0.55,0.21562499999999996
0,1,mi,39,0.8203125,0.678515625,0.14179687500000004
0,1,mi,4,0.8046875,0.569921875,0.23476562499999998
0,1,mi,41,0.7421875,0.53015625,0.21203125
0,1,mi,42,0.7734375,0.50375,0.26968749999999997
0,1,mi,43,0.8046875,0.54984375,0.25484375000000004
0,1,mi,44,0.9296875,0.859375,0.0703125
0,1,mi,46,0.71875,0.511328125,0.20742187499999998
0,1,mi,49,0.75,0.571953125,0.17804687500000005
0,1,mi,5,0.9140625,0.651796875,0.26226562499999995
0,1,mi,51,0.7421875,0.55046875,0.19171875000000005
0,1,mi,52,0.7734375,0.58484375,0.18859375
0,1,mi,7,0.75,0.5725,0.1775
0,1,mi,8,0.7734375,0.6378125,0.135625
0,1,mi,9,0.859375,0.749375,0.10999999999999999
0,1,erp,11,0.6328125,0.57796875,0.05484374999999997
0,1,erp,12,0.7421875,0.56734375,0.17484374999999996
0,1,erp,15,0.703125,0.60640625,0.09671874999999996
0,1,erp,16,0.6953125,0.586484375,0.10882812500000005
0,1,erp,18,0.640625,0.59078125,0.049843749999999964
0,1,erp,20,0.625,0.601171875,0.023828124999999978
0,1,erp,21,0.6796875,0.55921875,0.12046875000000001
0,1,erp,22,0.6953125,0.58234375,0.11296874999999995
0,1,erp,23,0.5859375,0.5284375,0.057499999999999996
0,1,erp,24,0.640625,0.5634375,0.07718749999999996
0,1,erp,25,0.6171875,0.52484375,0.09234374999999995
0,1,erp,26,0.6484375,0.5728125,0.07562500000000005
0,1,erp,27,0.6171875,0.587421875,0.029765625000000018
0,1,erp,29,0.6484375,0.588359375,0.06007812499999998
0,1,erp,30,0.65625,0.581953125,0.07429687500000004
0,1,erp,31,0.71875,0.60484375,0.11390624999999999
0,1,erp,34,0.546875,0.5528125,-0.00593750000000004
0,1,erp,35,0.5625,0.56796875,-0.005468750000000022
0,1,erp,37,0.671875,0.515390625,0.156484375
0,1,erp,38,0.5546875,0.576640625,-0.021953125000000018
0,1,erp,39,0.7265625,0.615,0.11156250000000001
0,1,erp,4,0.6015625,0.59140625,0.010156249999999978
0,1,erp,41,0.6875,0.6259375,0.061562499999999964
0,1,erp,42,0.7109375,0.55484375,0.15609375000000003
0,1,erp,43,0.5625,0.585546875,-0.023046875000000022
0,1,erp,44,0.7734375,0.617578125,0.15585937500000002
0,1,erp,46,0.65625,0.540859375,0.11539062499999997
0,1,erp,49,0.671875,0.620625,0.05125000000000002
0,1,erp,5,0.53125,0.50546875,0.025781249999999978
0,1,erp,51,0.609375,0.562890625,0.04648437500000002
0,1,erp,52,0.65625,0.56125,0.09499999999999997
0,1,erp,7,0.53125,0.6034375,-0.07218749999999996
0,1,erp,8,0.6171875,0.516171875,0.10101562500000005
0,1,erp,9,0.5859375,0.54421875,0.04171875000000003
0,1,ssvep,11,1.0,0.9985,0.0014999999999999458
0,1,ssvep,12,0.97,0.90555,0.06445000000000001
0,1,ssvep,15,1.0,0.9124999999999999,0.08750000000000013
0,1,ssvep,16,1.0,0.96985,0.03015000000000001
0,1,ssvep,18,0.98,0.9628999999999998,0.017100000000000226
0,1,ssvep,20,0.995,0.6975000000000001,0.2974999999999999
0,1,ssvep,21,0.99,0.7198,0.2702
0,1,ssvep,22,0.945,0.6064499999999999,0.33855
0,1,ssvep,23,0.635,0.38989999999999997,0.24510000000000004
0,1,ssvep,24,0.985,0.8309499999999999,0.15405000000000013
0,1,ssvep,25,0.985,0.8695499999999999,0.11545000000000005
0,1,ssvep,26,0.99,0.9163,0.07369999999999999
0,1,ssvep,27,0.995,0.9375,0.057499999999999996
0,1,ssvep,29,0.99,0.6761,0.31389999999999996
0,1,ssvep,30,0.99,0.7167999999999999,0.2732000000000001
