fold,seed,task,rank,draws,primary_mean,cross_session_mean,margin_mean
0,0,mi,4,100,0.3974035992790921,0.40540763479476544,0.10501148423302717
0,0,erp,4,100,0.24341716082037998,0.269483973919069,0.05501019009028457
0,0,ssvep,8,100,0.48406722689075643,0.4836974789915967,1.1434453341686674
0,1,mi,7,100,0.4138631762442524,0.41575314859051427,0.16266350533206547
0,1,erp,7,100,0.4447580093541808,0.4129716121269337,0.16093531280090528
0,1,ssvep,8,100,0.6501932773109245,0.6512016806722691,1.5755253782563718
1,0,mi,7,100,0.5440376650170887,0.5439243447854912,0.2498791773784147
1,0,erp,7,100,0.33200110398522226,0.3597889525137491,0.09904440163884483
1,0,ssvep,8,100,0.4738991596638656,0.4798991596638656,1.1171687140695503
1,1,mi,4,100,0.48353874734887936,0.47811620996872295,0.16122774929430608
1,1,erp,4,100,0.29923390731330274,0.22668339529943107,0.08168265117724527
1,1,ssvep,8,100,0.4720000000000001,0.47135294117647064,0.9815086389197937
2,0,mi,8,100,0.5088124497047776,0.5153825912396112,0.2598857302587977
2,0,erp,4,100,0.2954218747706741,0.33338506821289293,0.0693155161276807
2,0,ssvep,4,100,0.6800336134453783,0.6790924369747898,1.3248833492223728
2,1,mi,8,100,0.5673264518783384,0.5563930804190068,0.26294241478685654
2,1,ssvep,8,100,0.592747899159664,0.5950252100840338,2.072927526926626
