fold,seed,task,block,dimensions,persistence_strength,geometry_primary,geometry_cross_session,u_abs,u_spec
0,0,mi,0,1,0.7331262826919556,0.23529411764705882,0.23529411764705882,0.0003929237547889,-0.0046038484318043
0,0,mi,1,1,0.4862278699874878,0.38235294117647056,0.38235294117647056,-3.199281615476975e-05,-0.0063682234675123
0,0,mi,2,2,0.3538266718387604,0.1427927789118816,0.13670745376216734,8.297019074378096e-05,-0.0128719989185812
0,0,mi,3,4,0.20432589948177338,0.3662589305427706,0.36588937609606537,0.0043702330594775,-0.0247567512239908
0,0,mi,4,4,0.11206157505512238,0.45101496821927844,0.46800927583850394,0.0062099285192802,-0.0239840792677623
0,0,mi,5,4,0.048911258578300476,0.9075448842669785,0.9081270836378321,0.12091179647656,0.1184497866696674
0,0,mi,6,4,0.01724627986550331,0.5524752159032441,0.5631370454400508,0.0008882963125938,-0.0278818212043758
0,0,erp,0,1,0.7331262826919556,0.6470588235294118,0.6470588235294118,0.0005266217634427,-0.0014286952893481
0,0,erp,1,1,0.4862278699874878,0.08823529411764706,0.08823529411764706,-0.0006066090505746,-0.0030941285924301
0,0,erp,2,2,0.3538266718387604,0.10803834252400292,0.13587142960609566,-0.0011660199743867,-0.0059644447017873
0,0,erp,3,4,0.20432589948177338,0.32937495773710035,0.3193855528276873,0.0007767893443761,-0.0111256249563465
0,0,erp,4,4,0.11206157505512238,0.3449744330698084,0.3811070332709153,0.003135504957636,-0.0074857972537932
0,0,erp,5,4,0.048911258578300476,0.056503518758084174,0.14271933153850677,-0.0018279680465709,-0.014109272242469
0,0,erp,6,4,0.01724627986550331,0.8133660564381584,0.8171671479211261,0.0448444231653569,0.0442856337285431
0,0,ssvep,0,1,0.7331262826919556,0.3647058823529412,0.3991596638655462,-0.000605137588865,-0.0036960673958301
0,0,ssvep,1,1,0.4862278699874878,0.2596638655462185,0.25966386554621856,-0.0013045505560127,-0.0042155892216119
0,0,ssvep,2,2,0.3538266718387604,0.4521008403361345,0.43781512605042017,0.000507814219462,-0.0063602675620217
0,0,ssvep,3,4,0.20432589948177338,0.8142857142857143,0.811764705882353,0.0334989098679956,0.022985580997666
0,0,ssvep,4,4,0.11206157505512238,0.7697478991596639,0.7697478991596639,0.0402488442529675,0.0328918236882551
0,0,ssvep,5,4,0.048911258578300476,0.7134453781512606,0.7134453781512606,0.0053398656609194,-0.0095386633522975
0,0,ssvep,6,4,0.01724627986550331,0.47478991596638664,0.47058823529411775,0.0028391205973174,-0.0135938286532189
0,1,mi,0,1,0.7346823215484619,0.08823529411764706,-0.14705882352941177,0.0002427036871483,-0.005708358892845
0,1,mi,1,1,0.5277566909790039,0.35294117647058826,0.35294117647058826,-0.0001555864460791,-0.0052454708113239
0,1,mi,2,3,0.3647518455982208,0.13627059868618438,0.16656626646430228,0.0002692312650248,-0.0185777817966453
0,1,mi,3,4,0.17282742261886597,0.5011912050096151,0.5071158985012928,0.009588236675898,-0.0166964965195769
0,1,mi,4,4,0.09578520059585571,0.5157207816875499,0.5186451456668897,0.0101625081363779,-0.0154678426870905
0,1,mi,5,4,0.0507485494017601,0.8249783568018855,0.8232755765179255,0.0534102817218596,0.0370664101421188
0,1,mi,6,3,0.019971266388893127,0.9046671136105313,0.9065934705014925,0.0546913236641818,0.0426277036888903
0,1,erp,0,1,0.7346823215484619,0.4117647058823529,0.4117647058823529,0.0015564051243824,-0.0004720329093522
0,1,erp,1,1,0.5277566909790039,0.14705882352941177,-0.14705882352941177,-4.531840716815518e-05,-0.0024822591561341
0,1,erp,2,3,0.3647518455982208,0.510832782548389,0.4433053489240643,0.001745164885954,-0.0055434683739422
0,1,erp,3,4,0.17282742261886597,0.49668316766541215,0.48700582099198625,0.0046180675409836,-0.0057153723861233
0,1,erp,4,4,0.09578520059585571,0.33885938588127346,0.25401701477257865,0.0021009483608715,-0.0083151170030536
0,1,erp,5,4,0.0507485494017601,0.5761777186432947,0.57905079291022,0.0134854104100853,0.0056968626285203
0,1,erp,6,3,0.019971266388893127,0.707346926056655,0.7107789086061583,0.0219742687996052,0.0177756226285414
0,1,ssvep,0,1,0.7346823215484619,0.2100840336134454,0.22941176470588232,-3.889834795102606e-05,-0.0040538880504524
0,1,ssvep,1,1,0.5277566909790039,0.21596638655462186,0.22016806722689075,0.0003725822233894,-0.0033723745788215
0,1,ssvep,2,3,0.3647518455982208,0.5218487394957985,0.5285714285714286,0.0020572237941327,-0.011270381625503
0,1,ssvep,3,4,0.17282742261886597,0.8168067226890757,0.8168067226890757,0.0397652119524939,0.028850943841047
0,1,ssvep,4,4,0.09578520059585571,0.8798319327731094,0.8798319327731094,0.0328419882514758,0.0166370947366811
0,1,ssvep,5,4,0.0507485494017601,0.919327731092437,0.919327731092437,0.0175211780700823,0.0016073299016916
0,1,ssvep,6,3,0.019971266388893127,0.6142857142857144,0.6176470588235295,0.0013650604201197,-0.0124180471432259
1,0,mi,0,1,0.8630815148353577,0.20588235294117646,0.20588235294117646,-0.000226456607707,-0.0048692861410102
1,0,mi,1,2,0.45861607789993286,0.2837848343197175,0.30011784595220725,0.0002744320992532,-0.0091350212921521
1,0,mi,2,2,0.31589430570602417,0.2750125008701327,0.2968620415412471,-0.0009952624387691,-0.0116488685314539
1,0,mi,3,4,0.18042540550231934,0.3596754213982123,0.36361836023804867,0.0033513976386874,-0.0193862154318661
1,0,mi,4,4,0.10123814642429352,0.8007113278932882,0.8051282579285253,0.0469776456030352,0.0348200209210342
1,0,mi,5,4,0.041226983070373535,0.7992142101182875,0.8018612569585383,0.0189721142496775,-0.0003351863808987
1,0,mi,6,3,0.016438927501440048,0.8552292936140679,0.8576582155496947,0.028868198707177,0.0188657019045008
1,0,erp,0,1,0.8630815148353577,0.6176470588235294,0.6176470588235294,0.0007699299969394,-0.0018668953990183
1,0,erp,1,2,0.45861607789993286,0.36598463707869633,0.3787267698739202,0.0001417166426496,-0.0043495608509429
