fold,seed,task,subject,protected_ba,random_mean_ba,delta
1,1,erp,22,0.6484375,0.538984375,0.10945312500000004
1,1,erp,3,0.5859375,0.51984375,0.06609374999999995
1,1,erp,38,0.6015625,0.58765625,0.013906250000000009
1,1,erp,40,0.6484375,0.508046875,0.140390625
1,1,erp,50,0.5859375,0.542109375,0.043828124999999996
1,1,erp,7,0.6015625,0.520546875,0.08101562500000004
1,1,ssvep,11,1.0,0.9789499999999998,0.021050000000000235
1,1,ssvep,17,0.965,0.6907500000000002,0.27424999999999977
1,1,ssvep,19,0.995,0.8773000000000002,0.1176999999999998
1,1,ssvep,22,0.87,0.58745,0.28254999999999997
1,1,ssvep,3,0.945,0.82,0.125
1,1,ssvep,38,0.99,0.8976000000000001,0.09239999999999993
1,1,ssvep,40,0.9049999999999999,0.7586999999999999,0.14629999999999999
1,1,ssvep,50,1.0,0.91415,0.08584999999999998
1,1,ssvep,7,1.0,0.9656,0.034399999999999986
2,0,mi,14,0.6328125,0.593515625,0.03929687500000001
2,0,mi,16,0.6875,0.58296875,0.10453124999999996
2,0,mi,17,0.703125,0.54390625,0.15921874999999996
2,0,mi,25,0.8828125,0.60015625,0.28265625000000005
2,0,mi,30,0.734375,0.634296875,0.10007812500000002
2,0,mi,49,0.8359375,0.670078125,0.16585937500000003
2,0,mi,5,0.75,0.666953125,0.08304687499999996
2,0,mi,6,0.828125,0.62078125,0.20734375000000005
2,0,mi,9,0.7265625,0.74,-0.013437499999999991
2,0,erp,14,0.59375,0.551640625,0.042109375000000004
2,0,erp,16,0.6484375,0.5896875,0.05874999999999997
2,0,erp,17,0.6328125,0.506875,0.12593750000000004
2,0,erp,25,0.6640625,0.55375,0.11031250000000004
2,0,erp,30,0.640625,0.565546875,0.075078125
2,0,erp,49,0.7109375,0.58421875,0.12671875
2,0,erp,5,0.5078125,0.538046875,-0.030234375000000036
2,0,erp,6,0.7265625,0.54703125,0.17953125000000003
2,0,erp,9,0.5,0.511953125,-0.011953125000000009
2,0,ssvep,14,0.7999999999999999,0.6161500000000001,0.18384999999999985
2,0,ssvep,16,0.865,0.8628,0.0021999999999999797
2,0,ssvep,17,0.7899999999999999,0.6937000000000001,0.09629999999999983
2,0,ssvep,25,0.89,0.8064000000000001,0.0835999999999999
2,0,ssvep,30,0.8949999999999999,0.7138,0.18119999999999992
2,0,ssvep,49,0.9,0.8132999999999998,0.08670000000000022
2,0,ssvep,5,0.7150000000000001,0.5513000000000001,0.16369999999999996
2,0,ssvep,6,1.0,0.8025500000000001,0.1974499999999999
2,0,ssvep,9,0.96,0.77885,0.18114999999999992
2,1,mi,14,0.5546875,0.6028125,-0.04812499999999997
2,1,mi,16,0.6953125,0.703671875,-0.008359374999999947
2,1,mi,17,0.6640625,0.56734375,0.09671874999999996
2,1,mi,25,0.6953125,0.74609375,-0.05078125
2,1,mi,30,0.78125,0.5909375,0.1903125
2,1,mi,49,0.8203125,0.689609375,0.13070312500000003
2,1,mi,5,0.8203125,0.622734375,0.19757812500000005
2,1,mi,6,0.703125,0.738203125,-0.03507812499999996
2,1,mi,9,0.828125,0.596875,0.23124999999999996
2,1,ssvep,14,0.7849999999999999,0.6699499999999999,0.11504999999999999
2,1,ssvep,16,1.0,0.991,0.009000000000000008
2,1,ssvep,17,0.85,0.7961,0.05389999999999995
2,1,ssvep,25,0.97,0.9333499999999999,0.03665000000000007
2,1,ssvep,30,0.9,0.8906999999999998,0.009300000000000197
2,1,ssvep,49,0.95,0.9512999999999998,-0.0012999999999998568
2,1,ssvep,5,0.7250000000000001,0.6803000000000001,0.04469999999999996
2,1,ssvep,6,0.995,0.9582999999999999,0.036700000000000066
2,1,ssvep,9,0.94,0.91815,0.021849999999999925
